Player,Offense,Defense,GP,Name,Squad,Viable
"ReveNeveR",,,169968,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"ReveNeveR",,,167353,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"ReveNeveR",,,587479,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"ReveNeveR",1,0,145196,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"ReveNeveR",,,529270,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"ReveNeveR",,,329768,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"ReveNeveR",1,1,101124,NS_Alt,"zzMT zAV Zombie zDaka Talia",1
"ReveNeveR",,,141735,JKL,"zzJKL zzzJKR zzHYoda zzOld Ben, Aayla",1
"ReveNeveR",,,442115,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"ReveNeveR",0,1,109705,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"ReveNeveR",0,1,135866,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"ReveNeveR",1,1,128519,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 Finn",1
"ReveNeveR",1,0,135080,Troopers,"zVeers zzPiett zGideon zDark Trooper, Range Trooper",1
"ReveNeveR",,,135024,Disintegration,"zzAurra zzGreef zBoba zzBossk zzThe Mandalorian",1
"ReveNeveR",,,112476,Mon Mothma,"zzMon Mothma, Lando Wedge Biggs Chirrut",1
"ReveNeveR",1,1,94909,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"ReveNeveR",1,0,156409,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"ReveNeveR",1,1,98856,Carth,"zCarth Onasi, zMission zZaalbar zJuhani Canderous",1
"ReveNeveR",1,0,120810,zMaul,"zDarth Maul, zSidious zDooku Sith Empire Trooper, zNest",1
"ReveNeveR",0,1,87017,FO,"zzKRU Kylo G9, FOE G9, Phasma FOO",1
"ReveNeveR",0,1,86333,Phoenix,"Hera Ezra Zeb Sabine Kanan",1
"ReveNeveR",,,105908,Bad Batch,"Hunter Echo zzOmega Tech Wrecker",1
"ReveNeveR",1,0,113021,EP (Counter, Rebel),"zzEP Shoretrooper Krennic DT zzWampa",1
"ReveNeveR",1,0,78649,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa G9, Dathcha",1
"ReveNeveR",1,0,20272,SionSolo (Counter),"zSion",1
"ReveNeveR",0,1,133759,BH,"zJango zDengar zIG-88 zzEmbo Cad",0
"Ivar Hardun",,,182798,LV,"zzzzzzLord Vader, zzPiett zzzMaul zRG zzzVader",1
"Ivar Hardun",,,175421,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"Ivar Hardun",,,580449,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Ivar Hardun",0,1,142409,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Ivar Hardun",,,427664,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Ivar Hardun",,,299408,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Ivar Hardun",,,322951,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Ivar Hardun",1,0,150120,Traya,"zzTraya zzDN zSion Sith Empire Trooper, zzThrawn",1
"Ivar Hardun",0,1,128077,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Ivar Hardun",1,1,115252,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"Ivar Hardun",1,1,81928,Ewoks,"zChirpa Elder Paploo zWicket Logray",1
"Ivar Hardun",0,1,148223,BH,"zzBossk zDengar zBoba zKrrsantan zZam",1
"Ivar Hardun",1,1,97667,Carth,"zCarth Onasi, zMission Zaalbar Juhani zCanderous",1
"Ivar Hardun",0,1,69280,Phoenix,"Hera G8, Ezra G8, Chopper G9, Zeb G8, Kanan G8",1
"Ivar Hardun",1,1,58594,Rogue1,"Jyn G8, Chirrut G8, Baze G8, K-2SO G8, Cassian G8",1
"Ivar Hardun",1,0,108013,EP (Counter, Rebel),"zzEP Shoretrooper G8, Krennic DT G8, zzWampa",1
"Ivar Hardun",1,0,15942,NestSolo (Counter),"zNest G8",1
"Ivar Hardun",,,61981,Phasma,"Phasma G8, FOTP G9, FOSFTP G6, FOST G8, Kylo G8",0
"Ivar Hardun",1,0,95718,CLS,"zzzCLS zHan zzChewbacca R2-D2 G8, Chewpio 6* G8",0
"Ivar Hardun",0,1,82958,Geonosians,"zzGBA G8, Sun Fac, Geo Soldier G8, Geo Spy, Poggle G8",0
"Ivar Hardun",1,1,79098,NS,"zMT G8, zzAV Daka G8, Zombie G7, Spirit G8",0
"Ivar Hardun",1,1,146895,GAS,"zzzzGAS zRex zEcho (501st), zzFives G9, zARC Trooper",0
"Ivar Hardun",,,74865,Mon Mothma,"Mon Mothma 5* G6, Lando Kyle Katarn, Wedge G8, Cara Dune G7",0
"Ivar Hardun",1,0,88707,Troopers,"Veers Starck zzGideon Stormtrooper G8, Snowtrooper G8",0
"Ivar Hardun",0,1,113737,BH,"Jango G9, zIG-88 zEmbo zGreedo Cad",0
"Ivar Hardun",,,117188,Bad Batch,"zHunter zEcho zOmega G6, zTech zWrecker",0
"tallon karrde",,,161748,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"tallon karrde",,,408874,Profundity,"Profundity 5* Han's MF, Outrider Rebel Y-wing, Cassian's U-wing, Ghost",1
"tallon karrde",,,562106,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"tallon karrde",1,0,141659,CLS,"zzzCLS zHan zChewbacca zzC-3PO Chewpio",1
"tallon karrde",,,489114,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"tallon karrde",,,305760,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"tallon karrde",,,132913,JKL,"zzJKL zzzJKR zHYoda Old Ben, Aayla",1
"tallon karrde",0,1,94492,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"tallon karrde",0,1,134137,Grievous-Wat,"zzGG zB2 zB1 MagnaGuard zWat Tambor",1
"tallon karrde",1,0,110664,Traya,"zzTraya DN Sion G9, zzEP zThrawn",1
"tallon karrde",1,1,107877,JTR,"zJTR Scav Rey, BB-8 G9, zzR2-D2 Finn G9",1
"tallon karrde",,,107494,Mon Mothma,"zzMon Mothma, zPao zCara Dune, Scarif Bistan",1
"tallon karrde",1,1,82550,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"tallon karrde",1,0,148697,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives ARC Trooper",1
"tallon karrde",0,1,142447,BH,"zzBossk Dengar zJango zBoba Cad",1
"tallon karrde",1,1,98779,Carth,"zCarth Onasi, zMission Zaalbar zJuhani Canderous",1
"tallon karrde",1,0,135820,Troopers,"zVeers zStarck zDark Trooper, zGideon zPiett",1
"tallon karrde",0,1,90614,Phoenix,"zHera Ezra Zeb G8, Sabine Kanan",1
"tallon karrde",1,1,100234,Rogue1,"zJyn Chirrut Baze G9, K-2SO G9, Cassian",1
"tallon karrde",,,105747,Bad Batch,"Hunter Echo zzOmega Tech Wrecker",1
"tallon karrde",1,0,13536,NestSolo (Counter),"Nest G8",1
"tallon karrde",,,55497,Phasma,"Phasma G8, FOTP FOSFTP G1, FOST G1, Kylo G9",0
"tallon karrde",1,1,83262,NS,"zMT zAV zDaka G9, Zombie Spirit G1",0
"tallon karrde",0,1,114796,DRMalak,"zzDR HK-47 zBSF zzMalak Sith Marauder",0
"MrsBlueprints",1,0,151487,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"MrsBlueprints",1,1,105207,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"MrsBlueprints",0,1,142026,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Marauder",1
"MrsBlueprints",,,507938,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"MrsBlueprints",1,1,137952,JTR,"zzzJTR zzR2-D2 zzBB-8 zRH Finn, zRH Poe",1
"MrsBlueprints",0,1,111028,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"MrsBlueprints",0,1,102742,Grievous,"zzGG zB2 zDroideka zMagnaGuard zT3-M4",1
"MrsBlueprints",1,1,155291,Revan,"zzzJKR zBS zzGMY zJolee zGK",1
"MrsBlueprints",1,1,97994,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"MrsBlueprints",1,0,128860,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives ARC Trooper G8",1
"MrsBlueprints",0,1,128208,BH,"zzBossk Dengar G9, zzThe Mandalorian, zzJango zBoba",1
"MrsBlueprints",1,1,93279,Carth,"zCarth Onasi, Mission Zaalbar zJuhani Canderous",1
"MrsBlueprints",1,1,113046,zEP,"zzEP zzzVader zTarkin TFP G9, zzDN",1
"MrsBlueprints",0,1,101237,FO,"zzKRU zKylo FOE FOTP G9, FOO",1
"MrsBlueprints",0,1,85645,Phoenix,"zHera Ezra G9, Chopper Zeb G9, zKanan",1
"MrsBlueprints",,,278180,Malevolence,"Malevolence Hyena Bomber 4*, Vulture Droid 3*, Sun Fac SF, Soldier SF, Spy SF",0
"MrsBlueprints",,,344593,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing 4*, Phantom Ghost Cassian's U-wing, Wedge X-wing",0
"MrsBlueprints",,,72468,Mon Mothma,"Mon Mothma 4* G7, Lando zKyle Katarn G4, Wedge G7, zCara Dune 6*",0
"MrsBlueprints",1,0,63705,Troopers,"Veers G7, Starck G6, Magma G8, DT G8, Stormtrooper G7",0
