Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"mini Cruzman",962295923,6067473,3728068,2339405,159,57,295,384,2077321,1646562,159,10,321,2,201,43,70,99,117,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,17,9,8
"Six",992469319,5638032,3235834,2402198,134,-41,441,348,1725423,1510411,101,0,283,1,209,40,64,76,108,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,21,13,11
"Alex Avery",453358413,6474406,3772626,2701780,139,169,143,335,2207380,1561697,145,5,300,2,226,48,60,97,135,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,21,11,9
"Marka Ragnos",777799968,7658942,4582861,3076081,148,8,116,393,2495238,2076037,192,8,462,1,248,66,94,115,150,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,24,15,13
"666",699335892,7149429,4081353,3068076,133,-141,167,382,2074956,2006397,158,10,394,1,213,62,71,124,147,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,19,9,8
"SWfan114",551549951,6562992,3869613,2693379,143,52,108,370,2153753,1715860,132,7,372,2,221,50,76,93,125,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,23,11,10
"Hima Glowbin",529813421,7425818,4317305,3108513,138,99,106,363,2449682,1859576,140,5,389,3,254,49,81,111,146,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,22,10,9
"DarthDarth",169543185,7899845,4622248,3277597,141,-105,197,428,2389289,2228687,189,8,473,2,251,74,103,141,162,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,23,12,12
"The Dude",668946646,7503922,4510129,2993793,150,95,144,406,2555034,1948420,164,11,467,4,239,66,94,118,136,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,22,7,11
"Haus Junge",687721517,8202339,4808769,3393570,141,124,212,398,2756262,2041439,190,6,444,2,272,54,87,151,174,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,26,12,11
"Obi Bonz Kenobie",948124219,7046988,4301913,2745075,156,-60,103,430,2273590,2027647,178,9,481,3,231,63,91,116,143,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,22,9,10
"Andhur P'hul",625285383,6786020,3885315,2900705,133,297,386,447,2398490,1486374,144,4,440,3,249,62,94,122,143,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,24,11,11
"Bato Kido",464953624,6006438,3538718,2467720,143,111,62,298,2021455,1516587,145,2,212,1,226,30,45,92,115,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,17,11,8
"Ivar Hardun",548955124,6686233,3866621,2819612,137,-338,240,332,1777361,2088584,136,4,382,2,259,55,66,80,95,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,17,8,7
"CptBlackBush",888364832,7405727,4175512,3230215,129,17,121,421,2286317,1886545,188,9,457,4,259,60,88,133,142,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,24,10,11
"MrsBlueprints",651313237,5659816,3361371,2298445,146,141,163,303,1943548,1415173,110,2,244,0,188,37,50,73,96,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,15,12,8
"Hoyt Nitrum",428494676,7302527,4487328,2815199,159,36,139,365,2478857,2006950,182,5,383,3,261,51,76,114,149,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,22,9,12
"Crazaig",689688922,7624239,4431584,3192655,138,43,101,386,2455432,1972530,180,11,435,4,245,57,88,120,137,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,23,10,11
"Raminar",225869313,6426598,3784887,2641711,143,-43,81,377,2011273,1764263,137,5,288,0,215,28,74,111,135,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,23,14,12
"Thux Kraç",146561726,5667878,3383292,2284586,148,274,131,374,2069338,1313278,134,2,276,1,205,43,61,96,114,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,16,11,8
"Caleb",442729443,6514550,3713580,2800970,132,75,79,337,2088218,1624686,133,1,323,3,234,41,68,87,117,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,21,11,9
"Pilgrims Plague",756648931,7031754,4131332,2900422,142,289,246,456,2542404,1588928,149,11,564,3,224,85,96,112,130,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,21,11,9
"Leo the lion",312994299,8268165,4735556,3532609,134,46,224,442,2624802,2102317,151,8,501,3,271,67,120,146,171,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,25,11,12
"DarkCoitus",825389354,7753956,4527336,3226620,140,-133,396,469,2308481,2213038,185,5,585,4,259,85,112,135,148,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,24,10,10
"JasTarter Too",234764733,7073208,4125245,2947963,139,143,237,305,2386869,1733147,167,3,291,1,248,49,53,105,121,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,20,11,7
"Bytor Snowdog",656997348,8001100,4643904,3357196,138,-8,375,488,2514272,2128956,173,6,621,4,256,86,122,145,167,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,27,10,14
"ReveNeveR",436444241,7013843,4085765,2928078,139,79,216,430,2300851,1783408,148,11,426,2,241,62,98,119,141,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,23,10,10
"Crusader5454",884293376,6259683,3655925,2603758,140,-91,274,415,1904201,1751724,133,7,422,2,216,58,83,93,112,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,20,8,10
"Crocodile Dundee",354318791,6845099,4075585,2769514,147,58,88,334,2271524,1798157,151,11,314,0,225,49,67,99,126,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,18,10,8
"Harry",444551866,7466223,4386772,3079451,142,180,322,421,2576506,1802351,157,7,427,2,239,42,99,130,149,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,20,7,10
"Jan Dodonna GAT",482748136,7726981,4477207,3249774,137,-48,195,382,2371531,2090553,163,7,493,2,277,82,82,115,133,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,20,13,8
"DarthDado",773529376,5555713,3170857,2384856,132,24,239,393,1742988,1427869,127,3,259,2,190,30,65,102,112,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,16,8,7
"Tyson",358865491,5998705,3443569,2555136,134,26,428,377,1894548,1549021,114,3,323,1,218,48,72,90,116,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,23,14,10
"Ozzy",574547774,7339308,4263585,3075723,138,35,69,346,2351890,1905889,191,2,351,2,256,49,78,106,139,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,19,13,10
"Jaycop",322352622,6392868,3697301,2695567,137,39,111,294,2044760,1649441,126,4,262,2,231,38,53,83,116,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,16,12,8
"Delmon Enz",467248887,7216512,4319838,2896674,149,-12,168,440,2332679,1982479,141,7,460,5,243,64,98,128,158,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,23,9,11
"Jastarter",476181546,7076469,4130949,2945520,140,147,220,316,2393957,1731717,159,3,305,1,241,50,55,108,126,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,20,12,8
"Papadapalous",782987592,7415717,4485496,2930221,153,-221,327,483,2191088,2293732,163,9,552,3,240,77,108,140,158,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,24,8,10
"Tad",418829766,7439066,4422728,3016338,146,190,80,354,2609921,1806614,168,2,340,3,256,51,73,123,157,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,24,11,11
"JakeBum",554665654,7035447,3985356,3050091,130,61,119,384,2222179,1754231,155,9,428,2,252,70,76,109,130,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,21,10,8
"Alias Nome",113955439,6999296,4224638,2774658,152,194,101,403,2498174,1721489,141,5,408,1,232,62,80,121,131,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,21,11,9
"tallon karrde",623616269,6517016,3782631,2734385,138,199,248,409,2243068,1539563,109,4,395,2,247,59,88,100,124,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,20,8,9
"TheMonikon",423522555,7123102,4224309,2898793,145,69,63,338,2365085,1852089,173,5,290,2,237,34,72,111,142,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,20,13,11
"Darthraki",884776838,5943663,3541458,2402205,147,-59,298,328,1872441,1668341,131,8,252,1,204,35,59,86,141,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,19,12,10
"Bobby0350",414725423,6457035,3713447,2743588,135,-58,105,253,1960015,1744695,91,4,234,1,225,35,46,71,115,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,17,13,7
"Hashslingingslasher",778222546,6511042,3788460,2722582,139,11,154,406,2070076,1718384,129,5,359,3,231,40,84,109,130,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,17,11,10
"Will Shakespeare",863487143,8397172,4932304,3464868,142,34,85,413,2717454,2203108,193,9,542,3,277,82,97,142,182,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,24,9,8
"Baxterboz",166221931,7757085,4532787,3224298,140,128,243,412,2608101,1924686,198,8,453,2,257,64,88,141,159,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,24,9,9
"Valldi",541281159,5712468,3319217,2393251,138,308,59,365,2057144,1259360,119,4,289,1,193,48,57,94,115,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,18,12,8
"gucci mane",732116369,6620906,3965906,2655000,149,-43,74,359,2110995,1851005,137,8,359,2,225,40,76,90,115,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,16,6,6
