Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Jaycop,322352622,12,12,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Jaycop,322352622,10,10,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Tad,418829766,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GMY
Tad,418829766,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Tad,418829766,0,0,0,JKL + JML (6%): JKL JMLS GAS Mace Old Ben
Tad,418829766,0,0,0,GG (2%): GG B1 Droideka B2 HK-47
Tad,418829766,0,0,0,Padme 3%: Padme JKA GK Ahsoka R2-D2
Obi Bonz Kenobie,948124219,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Obi Bonz Kenobie,948124219,0,0,0,JKL + JML (6%): JKL JMLS Mace GMY Old Ben
Obi Bonz Kenobie,948124219,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Obi Bonz Kenobie,948124219,0,0,0,GG (2%): GG B1 Droideka B2 IG-88
Obi Bonz Kenobie,948124219,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Obi Bonz Kenobie,948124219,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Tyson,358865491,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Starck Dark Trooper
Tyson,358865491,0,0,0,SEE P1 5%: SEE Malak Vader Dooku Sith Marauder
Tyson,358865491,6,6,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Tyson,358865491,0,0,0,Padme 3%: Padme JKA GK Ahsoka CAT
Tyson,358865491,10,10,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ivar Hardun,548955124,0,0,0,SEE P1 5%: SEE Malak Dooku Darth Talon Sith Marauder
Ivar Hardun,548955124,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
MrsBlueprints,651313237,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
MrsBlueprints,651313237,0,0,0,DR/Malak 3%: DR Malak BSF HK-47 Sith Marauder
MrsBlueprints,651313237,9,9,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
DarkCoitus,825389354,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Dark Trooper
DarkCoitus,825389354,0,0,0,GG (2%): GG B1 Droideka B2 IG-88
DarkCoitus,825389354,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
