Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Tad,418829766,24,8,16,Vader+Nute 12%: Vader Nute R1 Thrawn G12 Wat Tambor Traya G12
Tyson,358865491,15,10,5,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor G13 Traya
Jaycop,322352622,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
DarthDarth,169543185,8,5,3,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor R2 Traya
Obi Bonz Kenobie,948124219,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
DarkCoitus,825389354,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Darthraki,884776838,26,2,24,Vader+Nute 12%: Vader Nute G11 Thrawn R1 Wat Tambor G11 Traya G12
Crusader5454,884293376,14,14,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Alias Nome,113955439,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Six,992469319,16,7,9,Vader+Nute 12%: Vader Nute G13 Thrawn Wat Tambor R1 Traya
Crazaig,689688922,15,6,9,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor R2 Traya
TheMonikon,423522555,17,3,14,Vader+Nute 12%: Vader Nute G12 Thrawn R3 Wat Tambor R2 Traya R2
Bytor Snowdog,656997348,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Hashslingingslasher,778222546,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Leo the lion,312994299,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Marka Ragnos,777799968,23,14,9,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor G9 Traya
Hoyt Nitrum,428494676,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Bato Kido,464953624,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
maddoghansen,352978245,14,1,13,Vader+Nute 12%: Vader Nute R4 Thrawn G12 Wat Tambor Traya G12
Makashi II,145923722,28,1,27,Vader+Nute 12%: Vader R3 Nute G11 Thrawn G10 Wat Tambor Traya G8
Andhur P'hul,625285383,23,13,10,Vader+Nute 12%: Vader Nute Thrawn R1 Wat Tambor Traya G12
Will Shakespeare,863487143,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Thux Kraç,146561726,39,39,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
MrsBlueprints,651313237,33,6,27,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor G10 Traya G12
SWfan114,551549951,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
The Dude,668946646,17,17,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
tallon karrde,623616269,22,17,5,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya G13
Crocodile Dundee,354318791,27,17,10,Vader+Nute 12%: Vader Nute R3 Thrawn R3 Wat Tambor Traya G12
Ozzy,574547774,25,6,19,Vader+Nute 12%: Vader Nute G12 Thrawn R3 Wat Tambor G10 Traya R2
Ivar Hardun,548955124,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
ReveNeveR,436444241,23,23,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Cruzman,962295923,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
Delmon Enz,467248887,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
DarthDado,773529376,29,10,19,Vader+Nute 12%: Vader R4 Nute G12 Thrawn G12 Wat Tambor Traya G12
Jan Dodonna GAT,482748136,32,6,26,Vader+Nute 12%: Vader Nute Thrawn G8 Wat Tambor G12 Traya G8
Bobby0350,414725423,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
JakeBum,554665654,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
CptBlackBush,888364832,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Haus Junge,687721517,21,10,11,Vader+Nute 12%: Vader Nute G12 Thrawn R3 Wat Tambor Traya R2
JasTarter Too,234764733,28,9,19,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor Traya G12
Jastarter,476181546,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Logjammin,524698738,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Hima Glowbin,529813421,24,8,16,Vader+Nute 12%: Vader Nute R1 Thrawn Wat Tambor G12 Traya G12
Papadapalous,782987592,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Pilgrims Plague,756648931,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
