Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
SMKBlueprints,446175187,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
SMKBlueprints,446175187,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
SMKBlueprints,446175187,5,1,4,Dooku+Asajj: Dooku G8 AV
Haus Junge,687721517,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Haus Junge,687721517,0,0,0,Dooku+Asajj: Dooku AV
Haus Junge,687721517,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Haus Junge,687721517,10,4,6,Troopers: Veers Piett Gideon Dark Trooper G9 Range Trooper G9
Bato Kido,464953624,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Bato Kido,464953624,0,0,0,Dooku+Asajj: Dooku AV
Bato Kido,464953624,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
JasTarter Too,234764733,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
JasTarter Too,234764733,0,0,0,Dooku+Asajj: Dooku AV
JasTarter Too,234764733,2,2,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Six,992469319,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Six,992469319,0,0,0,Dooku+Asajj: Dooku AV
Six,992469319,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Six,992469319,14,10,4,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper G9
MrsBlueprints,651313237,1,1,0,Grievous: GG B2 B1 Droideka MagnaGuard
MrsBlueprints,651313237,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
MrsBlueprints,651313237,3,0,3,Dooku+Asajj: Dooku G9 AV
Thux Kraç,146561726,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Thux Kraç,146561726,9,2,7,Grievous: GG G5 B2 B1 Nute MagnaGuard
Thux Kraç,146561726,10,10,0,Dooku+Asajj: Dooku AV
JakeBum,554665654,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
JakeBum,554665654,0,0,0,Dooku+Asajj: Dooku AV
JakeBum,554665654,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
JakeBum,554665654,16,0,16,Troopers: Veers G9 Piett Gideon G9 Dark Trooper G7 Range Trooper G7
Crocodile Dundee,354318791,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Crocodile Dundee,354318791,0,0,0,Dooku+Asajj: Dooku AV
Crocodile Dundee,354318791,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Crocodile Dundee,354318791,7,0,7,Troopers: Veers Piett Gideon Dark Trooper G9 Range Trooper G8
Cruzman,962295923,1,1,0,Grievous: GG B2 B1 Droideka MagnaGuard
Cruzman,962295923,0,0,0,Dooku+Asajj: Dooku AV
Cruzman,962295923,17,2,15,Geos: GBA G7 4* Poggle Geo Soldier G9 Sun Fac G8 Geo Spy G9
maddoghansen,352978245,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
maddoghansen,352978245,0,0,0,Dooku+Asajj: Dooku AV
maddoghansen,352978245,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
