Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Bytor Snowdog,656997348,0,0,0,156063,Shaak Ti Fives Rex Echo (501st) ARC Trooper
CptBlackBush,888364832,8,8,0,152752,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Thux Kraç,146561726,9,9,0,150480,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DarkCoitus,825389354,0,0,0,152233,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Cruzman,962295923,0,0,0,139530,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Crazaig,689688922,37,37,0,138207,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Leo the lion,312994299,2,2,0,144144,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jan Dodonna GAT,482748136,0,0,0,154728,Shaak Ti Fives Rex Echo (501st) ARC Trooper
tallon karrde,623616269,0,0,0,148697,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Hashslingingslasher,778222546,18,10,8,129027,Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
JasTarter Too,234764733,29,29,0,134961,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jaycop,322352622,48,23,25,112843,Shaak Ti Fives G12 Rex G12 Echo (501st) G11 ARC Trooper G12
TheMonikon,423522555,42,24,18,118066,Shaak Ti Fives R2 Rex R2 Echo (501st) G12 ARC Trooper G12
Tyson,358865491,10,10,0,141276,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Six,992469319,10,10,0,140985,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Andhur P'hul,625285383,0,0,0,154688,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ozzy,574547774,31,10,21,115002,Shaak Ti Fives R1 Rex G13 Echo (501st) G12 ARC Trooper G12
Tad,418829766,29,19,10,128195,Shaak Ti Fives G13 Rex R4 Echo (501st) R3 ARC Trooper R3
Jastarter,476181546,33,33,0,136739,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Crusader5454,884293376,0,0,0,155602,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Darthraki,884776838,0,0,0,135403,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Will Shakespeare,863487143,30,30,0,147138,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Haus Junge,687721517,10,4,6,133179,Shaak Ti Fives Rex Echo (501st) ARC Trooper G12
Hoyt Nitrum,428494676,32,8,24,115202,Shaak Ti Fives G11 Rex R2 Echo (501st) G12 ARC Trooper G10
The Dude,668946646,8,8,0,149265,Shaak Ti Fives Rex Echo (501st) ARC Trooper
SWfan114,551549951,8,8,0,139178,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Bato Kido,464953624,35,13,22,117924,Shaak Ti Fives G12 Rex R1 Echo (501st) G12 ARC Trooper G12
Delmon Enz,467248887,30,30,0,147285,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Papadapalous,782987592,12,12,0,147002,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Bobby0350,414725423,48,48,0,151118,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Crocodile Dundee,354318791,2,2,0,138319,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Pilgrims Plague,756648931,0,0,0,154647,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DarthDado,773529376,15,4,11,127154,Shaak Ti Fives R3 Rex R3 Echo (501st) R2 ARC Trooper R1
Alias Nome,113955439,26,26,0,136015,Shaak Ti Fives Rex Echo (501st) ARC Trooper
ReveNeveR,436444241,0,0,0,156459,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Hima Glowbin,529813421,1,1,0,137786,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DarthDarth,169543185,0,0,0,137550,Shaak Ti Fives Rex Echo (501st) ARC Trooper
SMKBlueprints,446175187,43,3,40,75781,Shaak Ti G12 Fives G9 Rex G12 Echo (501st) G9 ARC Trooper G8
Makashi II,145923722,0,0,0,142898,Shaak Ti Fives Rex Echo (501st) ARC Trooper
JakeBum,554665654,0,0,0,155173,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MrsBlueprints,651313237,10,1,9,129694,Shaak Ti Fives Rex Echo (501st) ARC Trooper G9
maddoghansen,352978245,0,0,0,155137,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Marka Ragnos,777799968,1,0,1,143790,Shaak Ti R4 Fives Rex Echo (501st) ARC Trooper
Obi Bonz Kenobie,948124219,0,0,0,140478,Shaak Ti Fives Rex Echo (501st) ARC Trooper
