Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Hoyt Nitrum,428494676,0,0,0,padme: Padme GK JKA Ahsoka C-3PO
Hoyt Nitrum,428494676,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Hoyt Nitrum,428494676,0,0,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Hoyt Nitrum,428494676,16,0,16,GAS: GAS Rex R2 Echo (501st) G12 Fives G11 ARC Trooper G10
Hoyt Nitrum,428494676,34,0,34,Phasma: Phasma G8 FOTP G11 FOSFTP G7 FOST G8 Kylo G12
Hoyt Nitrum,428494676,1,0,1,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Hoyt Nitrum,428494676,1,0,1,Malevolence: Malevolence Hyena Bomber 5* Vulture Droid Sun Fac SF Soldier SF Spy SF
Hoyt Nitrum,428494676,28,0,28,Geonosians Omicron: GBA G12 Sun Fac G8 Geo Soldier G12 Geo Spy G10 Poggle G10
Hoyt Nitrum,428494676,11,0,11,Troopers: Veers Piett Starck Dark Trooper G12 Range Trooper G9
ReveNeveR,436444241,0,0,0,padme: Padme GK JKA Ahsoka CAT
ReveNeveR,436444241,0,0,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
ReveNeveR,436444241,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
ReveNeveR,436444241,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
ReveNeveR,436444241,3,0,3,Geonosians Omicron: GBA Sun Fac R2 Geo Soldier R2 Geo Spy Poggle R2
ReveNeveR,436444241,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
ReveNeveR,436444241,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
ReveNeveR,436444241,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
ReveNeveR,436444241,36,0,36,Phasma: Phasma G11 FOTP G10 FOSFTP G7 FOST G7 3* Kylo G9
Jaycop,322352622,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Jaycop,322352622,1,0,1,padme: Padme GK JKA R2 Ahsoka C-3PO
Jaycop,322352622,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Jaycop,322352622,0,0,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Jaycop,322352622,17,0,17,GAS: GAS Rex G12 Echo (501st) G11 Fives G12 ARC Trooper G12
Jaycop,322352622,7,0,7,Grievous Omicron: GG B2 R1 B1 R2 MagnaGuard Droideka G12
Jaycop,322352622,1,0,1,Malevolence: Malevolence Hyena Bomber 5* Vulture Droid 3* Sun Fac SF Soldier SF Spy SF
Jaycop,322352622,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Jaycop,322352622,39,0,39,Troopers: Veers G11 Piett G9 Starck G10 Dark Trooper G3 5* Range Trooper G8 6*
Thux Kraç,146561726,0,0,0,padme: Padme GK JKA Ahsoka C-3PO
Thux Kraç,146561726,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Thux Kraç,146561726,17,0,17,Geonosians Omicron: GBA R2 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Thux Kraç,146561726,0,0,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Thux Kraç,146561726,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Thux Kraç,146561726,44,0,44,Phasma: Phasma G6 FOTP G10 FOSFTP G7 FOST G4 2* Kylo G9
Thux Kraç,146561726,16,0,16,Grievous Omicron: GG G5 B2 G13 B1 MagnaGuard Droideka R1
Thux Kraç,146561726,27,0,27,Troopers: Veers G12 Piett Starck G12 Dark Trooper G1 5* Range Trooper G12
Darthraki,884776838,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Darthraki,884776838,0,0,0,padme: Padme GK JKA Ahsoka C-3PO
Darthraki,884776838,13,0,13,Troopers: Veers G12 Piett Starck G11 Dark Trooper Range Trooper G12
Darthraki,884776838,4,0,4,CLS: CLS Han Chewbacca Chewpio R2-D2 G12
Darthraki,884776838,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Darthraki,884776838,10,0,10,Grievous Omicron: GG B2 G12 B1 MagnaGuard R1 Droideka G12
Darthraki,884776838,1,0,1,Negotiator: Negotiator BTL-B Y-wing 5* Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Darthraki,884776838,1,0,1,Malevolence: Malevolence Hyena Bomber 5* Vulture Droid 3* Sun Fac SF Soldier SF Spy SF
Darthraki,884776838,12,0,12,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy Poggle G12
Will Shakespeare,863487143,0,0,0,padme: Padme GK JKA Ahsoka CAT
Will Shakespeare,863487143,0,0,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Will Shakespeare,863487143,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Will Shakespeare,863487143,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Will Shakespeare,863487143,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Will Shakespeare,863487143,8,0,8,Troopers: Veers Piett Starck Dark Trooper G12 Range Trooper G12
Will Shakespeare,863487143,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Will Shakespeare,863487143,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Will Shakespeare,863487143,28,0,28,Phasma: Phasma G11 FOTP G11 FOSFTP G9 FOST G9 Kylo G12
Tad,418829766,18,0,18,Phasma: Phasma G13 FOTP G12 Sith Trooper G12 KRU G13 Kylo G12
Tad,418829766,0,0,0,padme: Padme GK JKA Ahsoka C-3PO
Tad,418829766,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Tad,418829766,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Tad,418829766,0,0,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Tad,418829766,3,0,3,GAS: GAS Rex Echo (501st) Fives G13 ARC Trooper
Tad,418829766,1,0,1,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Tad,418829766,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Tad,418829766,22,0,22,Troopers: Veers G12 Piett G13 Gideon G12 Dark Trooper G12 Range Trooper G9
Alias Nome,113955439,0,0,0,padme: Padme GK JKA Ahsoka C-3PO
Alias Nome,113955439,0,0,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Alias Nome,113955439,0,0,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Alias Nome,113955439,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Alias Nome,113955439,30,0,30,Phasma: Phasma G9 FOTP G12 FOSFTP G9 FOST G8 Kylo G12
Alias Nome,113955439,1,0,1,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Alias Nome,113955439,24,0,24,Troopers: Veers G12 Piett G13 Starck G12 Dark Trooper G7 5* Range Trooper G12
Bato Kido,464953624,0,0,0,padme: Padme GK JKA Ahsoka C-3PO
Bato Kido,464953624,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Bato Kido,464953624,8,0,8,CLS: CLS Han Chewbacca Chewpio G12 R2-D2 G12
Bato Kido,464953624,14,0,14,GAS: GAS Rex R1 Echo (501st) G12 Fives G12 ARC Trooper G12
Bato Kido,464953624,36,0,36,Phasma: Phasma G11 FOTP G7 FOSFTP G6 FOST G8 5* Kylo G12
Bato Kido,464953624,1,0,1,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
