Player,Offense,Defense,GP,Name,Squad,Viable
"Iluvatar",1,0,122748,CLS,"zzCLS zHan zChewbacca zC-3PO zChewpio",1
"Iluvatar",0,1,92690,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Iluvatar",,,421815,HansMF,"Home One, Han's MF, HT Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Iluvatar",1,1,93437,Revan,"zzzJKR zBS GMY Jolee GK G8",1
"Iluvatar",1,1,94941,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Iluvatar",0,1,134741,BH,"zzBossk zBoba Cad IG-88 Dengar",1
"Iluvatar",1,1,111405,zEP,"zEP zzVader Tarkin Dooku TFP",1
"Iluvatar",0,1,72621,Phoenix,"Hera Ezra G9, Chopper G9, Kanan G9, Zeb G8",1
"Iluvatar",,,68685,Phasma,"Phasma G7, FOE G7, FOSFTP G9, KRU Kylo G8",0
"Iluvatar",1,1,67803,JTR,"JTR G6, Scav Rey G9, BB-8 G8, R2-D2 Finn G9",0
"Iluvatar",,,74619,Mon Mothma,"Mon Mothma 5* G8, Wedge Biggs Cara Dune, Lando",0
"Iluvatar",1,0,99735,Troopers,"zVeers Starck G9, zzPiett Dark Trooper, Gideon G9",0
"Kelattt",0,1,102058,padme,"zzPadme GK JKA zAhsoka C-3PO",1
"Kelattt",0,1,86621,Geonosians Omicron,"GBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Kelattt",,,92688,Disintegration,"Aurra zGreef Boba Bossk The Mandalorian G8",1
"Kelattt",1,1,112388,Revan Offense,"zzzJKR zGMY BS zJolee HYoda",1
"Kelattt",1,1,77498,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Kelattt",,,80311,Iden Troopers,"zIden Versio, Shoretrooper Snowtrooper G9, Magma G9, DT",1
"Kelattt",0,1,71242,Phoenix,"Hera G8, Ezra G9, Chopper Kanan G8, Zeb G8",1
"Kelattt",1,0,104373,EP (Traya),"zzEP zzTraya DN Sith Empire Trooper G8, zzVader",1
"Kelattt",0,1,99664,DRMalak,"zDR HK-47 BSF zzMalak 6* Thrawn",0
"Kelattt",,,55295,Grievous Omicron,"GG B2 G7, B1 G5, MagnaGuard G5, Droideka 4* G8",0
"Kelattt",1,1,77092,Carth,"Carth Onasi, Mission Zaalbar Juhani G7, Canderous",0
"Kelattt",1,0,58040,CLS,"CLS G9, Han G7, Leia G8, Old Ben G9, Chewbacca G8",0
"xXDarth YetiXx",,,124880,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"xXDarth YetiXx",1,1,148257,SL Kylo,"zzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn",1
"xXDarth YetiXx",0,1,110796,padme,"zzPadme zGK JKA zAhsoka C-3PO",1
"xXDarth YetiXx",,,286138,Malevolence,"Malevolence 5* Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"xXDarth YetiXx",0,1,89764,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"xXDarth YetiXx",0,1,112460,Grievous,"zzGG zB2 zB1 MagnaGuard Dooku",1
"xXDarth YetiXx",1,1,82566,JTR,"zJTR Scav Rey G8, BB-8 R2-D2 Finn",1
"xXDarth YetiXx",1,1,123177,GAS,"zzzGAS Rex Echo (501st), zFives ARC Trooper",1
"xXDarth YetiXx",1,1,71758,Ewoks,"zChirpa G9, Elder Paploo G9, Wicket Logray G9",1
"xXDarth YetiXx",0,1,84064,BH,"zBossk Boba Cad Jango IG-88 G9",1
"xXDarth YetiXx",1,1,108958,zEP,"zEP zzVader Tarkin TFP G9, BSF",1
"xXDarth YetiXx",0,1,61065,Phoenix,"Hera G8, Ezra G9, Chopper G8, Kanan G8, Zeb G8",1
"xXDarth YetiXx",1,0,13522,SionSolo (Counter),"Sion G9",1
"xXDarth YetiXx",,,53661,Admiral Raddus,"Admiral Raddus 3* G8, Cassian G9, Jyn 6* G8, K-2SO G8, Chirrut G8",0
"xXDarth YetiXx",,,241199,HansMF,"Home One, Han's MF 5*, Biggs X-wing, Bistan's U-wing, Phantom 6* Ghost Cassian's U-wing, Wedge X-wing",0
"xXDarth YetiXx",1,1,63562,NS,"MT G8, AV Daka Zombie 5* G8, Spirit G9",0
"xXDarth YetiXx",1,1,59988,Carth,"Carth Onasi, Mission G9, Zaalbar G7, Juhani 6* G8, Canderous",0
"xXDarth YetiXx",,,67684,Iden Troopers,"zIden Versio, Stormtrooper G8, Snowtrooper G9, Magma G7, DT",0
"xXDarth YetiXx",1,0,66283,Wiggs,"Wedge G8, Biggs G8, CLS Han Leia G8",0
"xXDarth YetiXx",1,0,70967,Troopers,"Veers Starck zPiett G8, Shoretrooper 5* Range Trooper G9",0
"Yeti no kles",,,554511,Executor,"Executor 5* HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Yeti no kles",1,0,140646,CLS,"zzzCLS zHan zChewbacca zC-3PO zChewpio",1
"Yeti no kles",,,330473,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Yeti no kles",1,0,89547,Traya,"zzTraya DN Sion Sith Empire Trooper, Thrawn",1
"Yeti no kles",1,0,116075,Troopers,"zVeers zzPiett zGideon Dark Trooper, Range Trooper",1
"Yeti no kles",,,116099,Disintegration,"Aurra zGreef zBoba zzBossk zThe Mandalorian",1
"Yeti no kles",1,1,72280,Ewoks,"zChirpa G9, Elder Paploo G9, Wicket Logray G9",1
"Yeti no kles",1,1,116903,zEP,"zEP zzzVader Tarkin Dooku TFP",1
"Yeti no kles",0,1,62632,Phoenix,"Hera G8, Ezra G8, Chopper Kanan G8, Zeb G8",1
"Yeti no kles",,,61615,Phasma,"Phasma G8, FOTP G8, FOO G8, KRU Kylo G8",0
"Yeti no kles",,,46937,Admiral Raddus,"Admiral Raddus 3* G8, Cassian G9, Jyn 5* G8, Baze 6* G8, Chirrut 5* G8",0
"Yeti no kles",0,1,69589,Qira,"Qira L3-37 zVandor Chewbacca, Mission G8, Zaalbar G7",0
"Yeti no kles",0,1,87405,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Yeti no kles",1,1,72496,JTR,"JTR G8, Scav Rey G8, BB-8 G9, zzR2-D2 Finn G8",0
"Yeti no kles",1,1,71030,NS,"MT G8, AV G9, zDaka Zombie 6* Spirit G9",0
"Yeti no kles",,,84550,Mon Mothma,"zMon Mothma G9, Wedge Biggs Cara Dune, Lando",0
"Yeti no kles",1,1,92394,Revan,"JKR BS zGMY Jolee GK",0
"Yeti no kles",1,0,68250,ShaakClones,"Shaak Ti G8, Rex Echo (501st), Fives G8, Clone Sergeant G8",0
"Yeti no kles",0,1,108609,BH,"Jango zZam Cad IG-88 Dengar",0
"Classy Squirrel",1,1,88748,Ewoks,"zChirpa Elder Paploo Teebo Scout",1
"Classy Squirrel",1,0,117413,CLS,"zzzCLS zHan Wedge Biggs zzChewbacca",1
"Classy Squirrel",1,0,80739,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"Classy Squirrel",0,1,88085,Geonosians Omicron,"GBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Classy Squirrel",1,1,83244,JTR,"JTR Scav Rey, BB-8 G9, R2-D2 Finn",0
"Classy Squirrel",0,1,71589,FO,"KRU G9, Kylo G9, FOSFTP G9, FOO G9, Phasma G9",0
"VikingKoala",0,1,122522,padme,"zzPadme zGK zJKA zAhsoka C-3PO",1
"VikingKoala",1,0,91385,CLS,"zzzCLS zHan Chewbacca R2-D2 G9, Chewpio",1
"VikingKoala",,,103239,Disintegration,"Aurra zGreef Boba zzBossk The Mandalorian",1
"VikingKoala",1,1,93853,Ewoks,"zChirpa Elder zPaploo zWicket Logray",1
"VikingKoala",1,1,86345,zEP,"zEP zzVader Tarkin G9, Dooku TFP G8",1
"VikingKoala",0,1,63936,Phoenix,"Hera G9, Ezra G9, Chopper G9, Kanan G9, Zeb G8",1
"VikingKoala",1,1,59811,Rogue1,"Jyn G8, Chirrut G8, Baze G8, K-2SO G8, Cassian G8",1
"VikingKoala",,,47871,Phasma,"Phasma G8, FOE 5* G8, FOO G8, KRU G8, Kylo G8",0
"VikingKoala",,,83936,Grievous Omicron,"GG B2 B1 MagnaGuard Droideka",0
"VikingKoala",0,1,88039,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
