Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"BallistaShan",221463986,2123578,1270518,853060,148,96,261,184,711723,558344,22,2,36,0,70,5,9,23,49,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4
"TacopMark",961927581,3683229,2137870,1545359,138,-100,96,136,1092795,1044399,24,5,51,0,166,7,10,30,53,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,3
"beanboi",776711776,1877496,1153087,724409,159,-205,22,47,551866,586469,13,1,0,0,56,0,0,9,32,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
"Tomb",644419262,1380437,926311,454126,203,-25,28,99,490552,435083,13,0,9,0,63,0,3,9,24,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
"Iluvatar",367597549,2886369,1605822,1280547,125,6,77,167,863613,741522,12,2,47,0,124,8,8,31,45,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,2
"Yeti no kles",483657413,4074530,2230021,1844509,120,33,275,172,1214590,1014755,32,5,101,0,147,18,18,32,70,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,4
"e4embo",651266171,2198826,1308407,890419,146,201,155,156,759692,534486,18,1,27,0,66,4,7,22,50,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
"Jed",492425346,2341487,1590420,751067,211,146,10,97,910670,679063,2,1,14,0,120,2,4,16,33,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Xnalanx",136637536,1693307,918853,774454,118,-164,130,118,455272,463581,16,0,15,0,56,3,3,14,34,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2
"Kristian45",713547513,1941827,1222494,719333,169,-46,117,153,641570,580924,18,2,29,0,88,4,6,18,38,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2
