Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Elon Muscle,274334641,13,0,13,ROLO: ROLO G7 6* Cpt Solo G12 Han Chewbacca Lando
spyinglyfe,798345146,20,0,20,Shaak Ti: Shaak Ti G12 Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
JClarkey98,743332718,20,0,20,CLS: CLS G12 Han G12 Chewbacca G12 Chewpio G12 C-3PO G12
VikingKoala,431562251,20,4,16,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
Ta152,474737449,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Ta152,474737449,20,0,20,CLS: CLS G12 Han G12 Chewbacca G12 Chewpio G12 C-3PO G12
Wolffe Pack,787254278,0,0,0,GAS Special: GAS Ahsoka
Wolffe Pack,787254278,0,0,0,JKL: JKL HYoda GMY JKR GK
Wolffe Pack,787254278,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Wolffe Pack,787254278,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Wolffe Pack,787254278,6,0,6,ROLO: ROLO Cpt Solo Leia Baze G10 Lando
BallistaShan,221463986,15,15,0,CLS: CLS Han Chewbacca Chewpio C-3PO
SitOnMySith,727179611,13,10,3,GAS Special: GAS Ahsoka G13
SitOnMySith,727179611,4,0,4,ROLO: ROLO Cpt Solo Han G12 CLS Lando
SitOnMySith,727179611,20,0,20,JKL: JKL G9 HYoda GMY G11 JKR G12 Jolee G12
SitOnMySith,727179611,20,4,16,Shaak Ti: Shaak Ti G12 Rex G12 Echo (501st) G12 ARC Trooper G12 Fives
Kristian45,713547513,20,20,0,CLS: CLS Han Chewbacca Chewpio C-3PO
toaster1241,388951769,0,0,0,JKL: JKL HYoda GMY Jolee GAS
toaster1241,388951769,4,0,4,ROLO: ROLO Cpt Solo Han G12 CLS Lando
toaster1241,388951769,16,12,4,Shaak Ti: Shaak Ti G12 Rex Echo (501st) ARC Trooper Fives
Ah Loi,122661345,0,0,0,GAS Special: GAS Ahsoka
Ah Loi,122661345,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Ah Loi,122661345,2,0,2,CLS: CLS Han Chewbacca Chewpio R1 C-3PO
ThePatience,536653765,16,16,0,CLS: CLS Han Chewbacca Chewpio C-3PO
dicksharpe,175858197,20,20,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Xnalanx,136637536,17,0,17,CLS: CLS Han G12 Chewbacca G12 Chewpio G12 C-3PO G11 6*
xXDarth YetiXx,879719549,13,9,4,GAS Special: GAS Ahsoka G12
xXDarth YetiXx,879719549,19,11,8,Shaak Ti: Shaak Ti G12 Rex G12 Echo (501st) ARC Trooper Fives
BluntSkull,979223516,19,11,8,Shaak Ti: Shaak Ti Rex Echo (501st) G12 ARC Trooper G12 Fives
Yeti no kles,483657413,18,18,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Yeti no kles,483657413,12,0,12,ROLO: ROLO Cpt Solo Biggs G12 Baze G8 6* Lando
Toby18,523572162,19,18,1,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper R2 Fives
Iluvatar,367597549,18,9,9,ROLO: ROLO G11 Cpt Solo G12 Han CLS Chewbacca
Bo Diddle,627568373,20,16,4,CLS: CLS Han Chewbacca Chewpio C-3PO G12
Classy Squirrel,277557845,14,6,8,ROLO: ROLO G12 Cpt Solo G12 Han CLS Chewbacca
tobster,569316171,19,19,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Smurf24,648873927,8,4,4,GAS Special: GAS G12 Ahsoka
Smurf24,648873927,20,0,20,Shaak Ti: Shaak Ti G12 Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
