Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Sankster10,196872712,14,0,14,122311,Padme G12 JKA R4 Ahsoka G12 GK R4 GMY
BubbaBeSlayin,159445147,50,30,20,110345,Padme R3 JKA G12 Ahsoka GK R4 GMY G7
DarthWampa,519796236,71,31,40,77198,Padme G9 6* JKA G9 1* Ahsoka G8 GK G12 GMY G12
Kichler10,945937226,80,53,27,101663,Padme G12 JKA G12 Ahsoka G12 GK R2 GMY G12
Tomb,644419262,80,46,34,81869,Padme G10 JKA R3 Ahsoka G9 GK G10 GMY G11
Studkiller21,317881235,62,13,49,66741,Padme G9 JKA G9 Ahsoka G10 GK G1 6* GMY G12
Delmon,963988395,83,48,35,85757,Padme G9 JKA G12 Ahsoka G12 GK G11 GMY G11
GeneralZab,229646639,86,57,29,88651,Padme G9 JKA R3 Ahsoka G12 GK G12 GMY G12
Kristian45,713547513,86,36,50,55310,Padme G0 0* JKA G11 Ahsoka G10 GK G8 GMY G11
SitOnMySith,727179611,74,47,27,99701,Padme G12 JKA G11 Ahsoka G13 GK R3 GMY G11
jack0,342891997,67,30,37,85654,Padme G9 JKA Ahsoka G11 GK G8 6* GMY G7
Elon Muscle,274334641,79,37,42,68761,Padme G8 JKA G11 Ahsoka G11 GK G8 GMY G10
Kelattt,384197343,83,52,31,97386,Padme G12 JKA G11 Ahsoka G12 GK G12 GMY G12
ElJediDasCouvesJr,715728792,69,39,30,93854,Padme G8 6* JKA R3 Ahsoka G12 GK G12 GMY G12
Toby18,523572162,75,33,42,69584,Padme G10 JKA G11 6* Ahsoka G12 GK G9 GMY G6
Ta152,474737449,79,24,55,46966,Padme G1 JKA G7 5* Ahsoka G9 GK G7 GMY G11
Bo Diddle,627568373,67,39,28,102663,Padme G10 JKA R3 Ahsoka G12 GK G12 GMY G12
Classy Squirrel,277557845,84,15,69,30461,Padme G1 JKA G3 1* Ahsoka G8 GK G8 GMY G1
Wolffe Pack,787254278,0,0,0,149019,Padme JKA Ahsoka GK GMY
Iluvatar,367597549,83,38,45,70674,Padme G1 JKA G12 Ahsoka G12 GK G8 GMY G12
tobster,569316171,84,18,66,30876,Padme G1 5* JKA G5 2* Ahsoka G10 GK G8 GMY G0 0*
Jed,492425346,84,37,47,68647,Padme G7 JKA G7 Ahsoka G10 GK G7 GMY G12
TacopMark,961927581,79,43,36,93042,Padme G10 JKA G12 Ahsoka G12 GK G8 GMY G12
Belisarius,362364277,81,52,29,101418,Padme G12 JKA G12 Ahsoka G12 GK G9 GMY R3
Ferran Jubei,151173958,64,51,13,118179,Padme JKA R3 Ahsoka G12 GK R1 GMY R4
Smurf24,648873927,19,18,1,132173,Padme JKA R4 Ahsoka GK GMY
ThEeSSs,647418233,64,46,18,111986,Padme R3 JKA R4 Ahsoka R2 GK G12 GMY G12
BluntSkull,979223516,66,27,39,70347,Padme G9 JKA G11 6* Ahsoka G11 GK G8 GMY G12
TheHighGround,911996617,87,5,82,16773,Padme G1 JKA G1 4* Ahsoka G5 GK G1 GMY G0 0*
dicksharpe,175858197,84,37,47,64472,Padme G8 JKA G8 5* Ahsoka G8 GK G7 GMY G12
spyinglyfe,798345146,88,36,52,53279,Padme G1 JKA G9 5* Ahsoka G11 GK G6 6* GMY G11
beanboi,776711776,70,30,40,59853,Padme G8 6* JKA G11 5* Ahsoka G11 GK G11 6* GMY G9 5*
Deansod,611317187,56,6,50,44025,Padme G8 6* JKA G8 5* Ahsoka G9 GK G6 5* GMY G9
BallistaShan,221463986,82,55,27,95161,Padme G12 JKA R4 Ahsoka G11 GK G12 GMY G11
Yeti no kles,483657413,79,49,30,89429,Padme G8 JKA Ahsoka G11 GK G12 GMY G11
xXDarth YetiXx,879719549,87,66,21,106413,Padme G12 JKA R4 Ahsoka G12 GK R4 GMY G11
ThePatience,536653765,65,30,35,83280,Padme G8 JKA Ahsoka G10 GK G8 GMY G11
Thehighground420,661933162,78,64,14,105143,Padme G12 JKA Ahsoka R4 GK GMY G11
e4embo,651266171,81,61,20,103543,Padme R3 JKA Ahsoka G12 GK G12 GMY G12
DarthWilli,228477644,41,0,41,71867,Padme G8 JKA G10 Ahsoka G11 GK G8 GMY G12
DarthTalon,387869794,7,0,7,129404,Padme R4 JKA Ahsoka R1 GK R4 GMY R4
Indrid Cold,411626163,72,28,44,69456,Padme G8 JKA G9 6* Ahsoka G11 GK G8 6* GMY G10
Xnalanx,136637536,68,35,33,92952,Padme G11 JKA G12 Ahsoka G11 GK G11 GMY G12
Raven3199,716952923,73,20,53,51897,Padme G2 6* JKA G8 5* Ahsoka G8 GK G9 GMY G10
VikingKoala,431562251,63,63,0,130110,Padme JKA Ahsoka GK GMY
JSchill,342467647,87,38,49,55616,Padme G7 JKA G4 2* Ahsoka G10 GK G9 GMY G11
toaster1241,388951769,18,10,8,130845,Padme R3 JKA Ahsoka G12 GK GMY
