Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Toby18,523572162,43,0,43,EP: EP G8 Mara Jade, The Emperor's Hand G9 3* Vader Thrawn G7 RG G5
Toby18,523572162,35,5,30,Troopers: Veers G12 Piett R1 Dark Trooper G11 Range Trooper G12 Starck G11
Iluvatar,367597549,33,3,30,EP: EP G12 Mara Jade, The Emperor's Hand G11 Vader Thrawn G12 RG G7
Iluvatar,367597549,44,1,43,CLS: CLS G12 C-3PO G8 6* Han G10 Chewbacca G9 Chewpio G8 5*
Kenobi4242,232231859,41,0,41,Troopers: Veers G11 Piett G9 Dark Trooper G9 Range Trooper G11 Gideon G9
PolarBear,399278196,8,1,7,Troopers: Veers Piett Dark Trooper Range Trooper G12 Starck R4
BallistaShan,221463986,9,9,0,CLS: CLS C-3PO Han Chewbacca Chewpio
BallistaShan,221463986,47,3,44,Troopers: Veers G11 6* Piett G8 6* Dark Trooper G7 5* Range Trooper G10 6* Starck G10
Jed,492425346,40,8,32,EP: EP G11 Mara Jade, The Emperor's Hand G11 Vader Thrawn G7 RG G11
Kelattt,384197343,45,5,40,EP: EP G12 Mara Jade, The Emperor's Hand G11 Vader R3 Thrawn G7 6* RG G4
Delmon,963988395,37,2,35,Troopers: Veers G10 Piett G12 Dark Trooper G11 Range Trooper G11 Starck G11
Delmon,963988395,49,2,47,CLS: CLS G9 C-3PO G7 6* Han G9 Chewbacca G9 Chewpio G9 5*
VikingKoala,431562251,33,2,31,EP: EP G11 Mara Jade, The Emperor's Hand G9 Vader Thrawn G9 Shoretrooper G12
Kristian45,713547513,46,28,18,CLS: CLS C-3PO G12 Han R3 Chewbacca R3 Chewpio G10
Kristian45,713547513,30,1,29,EP: EP G12 Mara Jade, The Emperor's Hand G11 Vader Thrawn G9 Shoretrooper G11
spyinglyfe,798345146,44,0,44,EP: EP G12 Mara Jade, The Emperor's Hand G8 4* Vader G12 Thrawn G7 RG G7
TacopMark,961927581,37,0,37,Troopers: Veers G12 Piett G11 Dark Trooper G10 Range Trooper G9 Gideon G11
tobster1241,388951769,20,0,20,Troopers: Veers R3 Piett Dark Trooper G11 Range Trooper G9 Starck R3
tobster1241,388951769,36,6,30,CLS: CLS R3 C-3PO G12 Han G12 Chewbacca G12 Chewpio G8
tobster1241,388951769,39,0,39,Padme/BB: Padme R3 Hunter G9 Echo G10 Tech G9 Wrecker G7
ElJediDasCouvesJr,715728792,49,1,48,Troopers: Veers G10 5* Piett G9 4* Dark Trooper G9 4* Range Trooper G8 3* Starck G6
Elon Muscle,274334641,20,0,20,CLS: CLS R3 C-3PO G10 6* Han R3 Chewbacca Chewpio G10
Ta152,474737449,38,1,37,Troopers: Veers G11 Piett G12 Dark Trooper G11 Range Trooper G10 Gideon G9
Ta152,474737449,38,3,35,CLS: CLS G12 C-3PO G12 Han G11 Chewbacca G10 5* Chewpio G10 5*
Indrid Cold,411626163,34,12,22,EP: EP R3 Mara Jade, The Emperor's Hand G10 4* Vader Thrawn R3 Shoretrooper G8 5*
ThePatience,536653765,8,0,8,EP: EP Mara Jade, The Emperor's Hand G12 Vader Thrawn RG R3
ThePatience,536653765,13,1,12,Troopers: Veers Piett Dark Trooper G12 Range Trooper G12 Starck
Ferran Jubei,151173958,32,1,31,EP: EP G12 Mara Jade, The Emperor's Hand G11 Vader Thrawn G12 RG G6
Ferran Jubei,151173958,48,2,46,Troopers: Veers G9 Piett G10 Dark Trooper G8 5* Range Trooper G8 5* Gideon G9
e4embo,651266171,45,3,42,Padme/BB: Padme G12 Hunter G9 5* Echo G9 4* Tech G9 5* Wrecker G9 5*
e4embo,651266171,43,0,43,Troopers: Veers G10 5* Piett G10 Dark Trooper G9 Range Trooper G9 3* Gideon G9
tobster,569316171,18,14,4,Troopers: Veers Piett Dark Trooper Range Trooper R1 Gideon
tobster,569316171,38,12,26,CLS: CLS R3 C-3PO G12 Han G12 Chewbacca G12 Chewpio G12
dicksharpe,175858197,39,22,17,CLS: CLS C-3PO G9 6* Han Chewbacca Chewpio G10
dicksharpe,175858197,31,0,31,EP: EP Mara Jade, The Emperor's Hand G8 4* Vader Thrawn G7 Shoretrooper G8 6*
dicksharpe,175858197,45,9,36,Troopers: Veers G10 Piett Dark Trooper G9 Range Trooper G9 Gideon G8
BluntSkull,979223516,31,1,30,Troopers: Veers G12 Piett G12 Dark Trooper G12 Range Trooper G12 Gideon G12
Thehighground420,661933162,42,0,42,Troopers: Veers G11 Piett G9 Dark Trooper G11 Range Trooper G8 Gideon G9
Raven3199,716952923,38,0,38,EP: EP R2 Mara Jade, The Emperor's Hand G8 3* Vader G12 Thrawn G9 Shoretrooper G8 5*
Yeti no kles,483657413,24,17,7,CLS: CLS C-3PO R4 Han Chewbacca Chewpio G12
Yeti no kles,483657413,28,9,19,Troopers: Veers G12 Piett Dark Trooper Range Trooper G11 Gideon G12
Yeti no kles,483657413,30,1,29,EP: EP G12 Mara Jade, The Emperor's Hand G11 6* Vader Thrawn G8 RG G12
Wolffe Pack,787254278,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Wolffe Pack,787254278,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Wolffe Pack,787254278,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Wolffe Pack,787254278,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Wolffe Pack,787254278,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Wolffe Pack,787254278,15,0,15,Troopers: Veers R3 Piett Dark Trooper R4 Range Trooper G12 Starck G12
jack0,342891997,19,1,18,EP: EP Mara Jade, The Emperor's Hand G7 4* Vader Thrawn RG G11
SitOnMySith,727179611,29,0,29,EP: EP G11 Mara Jade, The Emperor's Hand Vader G12 Thrawn G8 Malak G12
SitOnMySith,727179611,46,9,37,CLS: CLS G12 C-3PO G12 Han G10 Chewbacca G10 Chewpio G9
beanboi,776711776,41,2,39,Padme/BB: Padme G8 6* Hunter G11 5* Echo G11 4* Tech G11 5* Wrecker G10 6*
beanboi,776711776,39,2,37,Troopers: Veers G10 6* Piett G9 3* Dark Trooper G11 6* Range Trooper G12 Gideon G11
GeneralZab,229646639,45,0,45,Troopers: Veers G10 6* Piett G8 4* Dark Trooper G9 Range Trooper G9 3* Gideon G9
Bo Diddle,627568373,30,17,13,CLS: CLS C-3PO G12 Han R4 Chewbacca Chewpio G12
Bo Diddle,627568373,36,3,33,EP: EP G11 Mara Jade, The Emperor's Hand G11 6* Vader R3 Thrawn G7 5* Malak G12
Bo Diddle,627568373,40,1,39,Troopers: Veers G11 Piett G10 Dark Trooper G10 Range Trooper G9 Gideon G11
xXDarth YetiXx,879719549,36,1,35,EP: EP Mara Jade, The Emperor's Hand G8 5* Vader G12 Thrawn G7 Shoretrooper G10 5*
NuclearCC,572853445,29,9,20,EP: EP Mara Jade, The Emperor's Hand G8 5* Vader Thrawn G8 Malak
NuclearCC,572853445,38,1,37,Troopers: Veers G10 Piett Dark Trooper G11 Range Trooper G7 Starck G7
NuclearCC,572853445,37,3,34,CLS: CLS C-3PO G9 Han G10 Chewbacca G9 Chewpio G10
