Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
tobster,569316171,90,1,89,1014,Shaak Ti G0 0* Fives G0 0* Rex G1 4* Echo (501st) G0 0* ARC Trooper G0 0*
Ta152,474737449,90,4,86,3493,Shaak Ti G1 2* Fives G1 4* Rex G1 4* Echo (501st) G1 4* ARC Trooper G0 0*
Iluvatar,367597549,90,4,86,15530,Shaak Ti G1 5* Fives G1 Rex G1 Echo (501st) G1 ARC Trooper G0 0*
dicksharpe,175858197,90,43,47,62204,Shaak Ti G8 Fives G8 Rex G12 Echo (501st) G8 ARC Trooper G7 6*
Yeti no kles,483657413,90,45,45,62782,Shaak Ti G8 Fives G8 Rex G12 Echo (501st) G10 ARC Trooper G7 5*
Jed,492425346,90,25,65,26169,Shaak Ti G6 2* Fives G7 Rex G6 Echo (501st) G6 ARC Trooper G0 0*
TacopMark,961927581,90,33,57,42368,Shaak Ti G7 6* Fives G8 Rex G10 Echo (501st) G8 ARC Trooper G0 0*
Bo Diddle,627568373,90,51,39,75808,Shaak Ti Fives G9 Rex G8 Echo (501st) G8 ARC Trooper G8 5*
e4embo,651266171,90,54,36,76463,Shaak Ti G9 Fives G12 Rex G12 Echo (501st) G11 ARC Trooper G10 5*
TheHighGround,911996617,90,4,86,16670,Shaak Ti G1 6* Fives G1 Rex G1 Echo (501st) G1 ARC Trooper G0 0*
Kristian45,713547513,90,27,63,45506,Shaak Ti G8 Fives G8 Rex G7 Echo (501st) G3 ARC Trooper G1
Kichler10,945937226,85,28,57,43596,Shaak Ti G8 4* Fives G9 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
xXDarth YetiXx,879719549,90,71,19,103822,Shaak Ti G12 Fives Rex G12 Echo (501st) R4 ARC Trooper G12
BallistaShan,221463986,90,11,79,7046,Shaak Ti G1 4* Fives G1 3* Rex G8 5* Echo (501st) G1 3* ARC Trooper G0 0*
Tomb,644419262,90,32,58,39297,Shaak Ti G8 4* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Elon Muscle,274334641,90,1,89,676,Shaak Ti G0 0* Fives G1 3* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
GeneralZab,229646639,90,13,77,15698,Shaak Ti G1 2* Fives G10 Rex G1 6* Echo (501st) G1 3* ARC Trooper G0 0*
Toby18,523572162,27,21,6,123738,Shaak Ti R4 Fives Rex Echo (501st) R3 ARC Trooper R2
toaster1241,388951769,44,38,6,133696,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
Classy Squirrel,277557845,90,4,86,6797,Shaak Ti G1 2* Fives G1 Rex G1 4* Echo (501st) G1 3* ARC Trooper G0 0*
DarthWampa,519796236,78,1,77,18404,Shaak Ti G1 3* Fives G4 Rex G7 Echo (501st) G1 5* ARC Trooper G0 0*
SitOnMySith,727179611,66,41,25,96468,Shaak Ti G12 Fives R4 Rex G12 Echo (501st) G12 ARC Trooper G12
Ferran Jubei,151173958,66,19,47,63678,Shaak Ti G9 Fives G12 Rex G12 Echo (501st) G10 ARC Trooper G0 0*
BluntSkull,979223516,66,54,12,119043,Shaak Ti Fives Rex Echo (501st) G12 ARC Trooper G12
ThEeSSs,647418233,66,6,60,38341,Shaak Ti G1 2* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G5 5*
beanboi,776711776,61,30,31,95080,Shaak Ti G11 6* Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Xnalanx,136637536,90,7,83,5802,Shaak Ti G0 0* Fives G7 6* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
jack0,342891997,53,8,45,58830,Shaak Ti G8 4* Fives G11 Rex G12 Echo (501st) G9 ARC Trooper G5
Wolffe Pack,787254278,0,0,0,152068,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Thehighground420,661933162,90,27,63,40110,Shaak Ti G1 Fives G12 Rex R1 Echo (501st) G0 0* ARC Trooper G0 0*
VikingKoala,431562251,66,42,24,96329,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Delmon,963988395,90,46,44,73147,Shaak Ti G9 6* Fives G9 Rex G10 Echo (501st) G9 ARC Trooper G9
Kelattt,384197343,90,27,63,37668,Shaak Ti G6 Fives G8 Rex G4 Echo (501st) G4 ARC Trooper G5
HendoSon,221154482,61,0,61,38396,Shaak Ti G0 0* Fives G9 Rex G11 Echo (501st) G8 6* ARC Trooper G1 4*
spyinglyfe,798345146,89,59,30,90651,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
jex222,821134319,58,0,58,49052,Shaak Ti G1 3* Fives G9 Rex G8 Echo (501st) G7 ARC Trooper G7 4*
DarthWilli,228477644,57,0,57,45452,Shaak Ti G8 Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G1 4*
Smurf24,648873927,30,0,30,104533,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Ryan xoxo,119543872,65,0,65,27290,Shaak Ti G0 0* Fives G9 Rex G8 Echo (501st) G8 5* ARC Trooper G0 0*
DarthEf2Pee,588329247,87,1,86,2817,Shaak Ti G1 2* Fives G1 3* Rex G1 4* Echo (501st) G1 3* ARC Trooper G0 0*
Ah Loi,122661345,1,1,0,150013,Shaak Ti Fives Rex Echo (501st) ARC Trooper
