Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"tacomansir",585681935,4889568,3002096,1887472,159,-77,228,436,1552138,1449958,96,3,288,2,172,27,70,86,100,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,13,8,7
"Brill council",832472676,3767731,2338942,1428789,163,-40,245,446,1230942,1108000,79,5,266,2,125,38,52,63,72,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,9,7,3
"Demogorgon",139721217,6069847,3616444,2453403,147,-74,87,225,1870355,1741495,129,1,169,1,226,19,39,64,97,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,15,11,8
"Ahsokanubhis",134384739,3599168,2328437,1270731,183,165,44,143,1343374,981876,48,6,44,0,118,5,8,35,62,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,4
"BDBVader",886177647,4694770,2879523,1815247,158,-104,71,207,1468497,1407902,88,0,128,1,172,14,27,45,74,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,11,7,3
"Madskillz007",167116754,6305544,3722667,2582877,144,83,193,294,2068946,1644505,120,4,184,0,222,24,41,108,131,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,19,13,9
"ItzCk03",619198756,1858894,1163063,695831,167,-176,58,94,572366,590021,13,1,8,0,78,1,2,14,26,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,0
"Gul Ski",723993198,7377410,4227636,3149774,134,36,230,341,2305536,1921424,177,12,335,3,260,33,76,109,145,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,26,14,13
"DARTHINVADE HERCERVIX",478465791,4394945,2730813,1664132,164,145,123,285,1563935,1166878,86,2,153,0,162,11,39,56,85,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,8,7
"Mikill",398941496,7036438,3848447,3187991,120,125,85,265,2180437,1660713,144,7,219,0,223,18,53,90,112,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,17,10,7
"JD",773718842,6039956,3629844,2410112,150,-7,66,349,1938439,1688498,116,7,301,2,227,40,68,83,104,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,15,10,7
"Dru Neech",781238565,5439221,3340633,2098588,159,114,76,237,1884249,1450407,107,7,185,0,162,27,28,64,74,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11,7,6
"BigTexN",221852267,5587654,3296354,2291300,143,178,69,263,1912697,1380387,104,7,180,0,207,16,43,68,94,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,16,12,7
"AtillaDX",476411885,6244320,3858423,2385897,161,72,218,381,2134994,1714932,154,9,272,1,213,26,76,108,123,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,18,13,9
"Waiter",619831899,7217324,4281393,2935931,145,63,130,263,2358928,1912123,126,8,237,0,260,23,52,91,178,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,22,12,11
"BigWalkingCarpet",674293548,5903869,3413256,2490613,137,30,122,232,1848741,1548935,121,6,151,0,227,12,38,69,116,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,20,13,9
"Falen Lacer",412149896,4931816,2900789,2031027,142,-151,56,266,1446755,1453358,79,2,152,1,180,16,40,61,90,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,14,9,6
"Anraeth Erith",562712763,6494583,3746930,2747653,136,75,62,274,2076628,1663368,116,2,203,0,251,9,61,77,113,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,18,11,9
"Biggles",786886424,7952525,4653938,3298587,141,6,152,358,2501372,2147484,166,7,411,2,269,55,76,127,158,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,23,9,11
"Beluminium",337351818,6759348,3855992,2903356,132,-11,227,347,2056776,1798540,150,9,329,2,222,51,64,105,126,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,19,8,8
"IIISunDownIII",323563219,5446257,3332914,2113343,157,304,41,334,2038132,1290402,102,7,187,0,201,17,56,89,113,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,11
"Lasman starguard",714143532,6475612,3713007,2762605,134,90,76,343,2075138,1637869,160,6,313,2,233,37,73,87,112,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,17,12,7
"Hoss",641294119,6169264,3717251,2452013,151,-72,75,360,1924742,1788626,110,9,308,0,202,37,60,101,119,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,16,9,9
"HK71",458914434,5699605,3423709,2275896,150,157,107,269,1967757,1450788,114,1,159,0,219,22,50,72,97,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,13,11,4
"Mol Bal",717358912,4060066,2457304,1602762,153,-181,32,195,1204887,1247421,42,3,87,1,161,13,18,44,71,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9,5,4
"SkinnyKrogan",552414927,6637304,3870636,2766668,139,46,301,344,2120943,1749242,132,5,339,2,236,33,69,92,120,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,22,9,11
"DarthCephalus",164743168,6125069,3659865,2465204,148,-80,67,356,1888392,1768823,143,3,282,2,214,39,62,100,117,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,14,7,6
"Mol Eliza",628148255,5986490,3453848,2532642,136,99,82,393,1938004,1515168,150,6,313,1,206,38,70,103,115,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,17,10,7
"Mol Eliza",624843493,5359856,3138568,2221288,141,194,300,321,1835499,1303069,109,0,197,1,212,22,53,80,116,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,18,12,6
"Crossbow13",397167862,6622405,3939530,2682875,146,79,135,248,2186504,1743830,152,5,219,1,228,30,49,72,118,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,16,11,8
"Ju Ansalli Madlyn",618553972,7874617,4631106,3243511,142,104,236,348,2599483,2023043,172,8,401,2,270,57,76,118,158,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,23,10,9
"Andrew2440",293826154,4554452,2761588,1792864,154,-79,47,196,1426166,1334746,68,6,107,1,161,13,22,46,72,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,11,9,5
"Cam Jetsu",279764511,6064150,3659854,2404296,152,115,132,265,2063430,1586647,132,7,204,0,202,21,45,75,94,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,16,12,8
"huntdown97",687857116,5449791,3226145,2223646,145,107,68,350,1816438,1409031,114,5,251,2,209,26,62,79,103,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,18,12,10
"Antonio",986527771,5612812,3168082,2444730,129,-154,53,300,1577779,1590303,99,4,157,1,249,15,58,79,110,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,18,12,9
"D'arthSyyth",561363768,6580152,3805748,2774404,137,117,234,252,2147211,1647875,122,5,171,0,265,23,38,94,126,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,23,13,11
"yaminashi",496575753,5660189,3310396,2349793,140,181,164,313,1917649,1378361,130,0,222,0,224,30,49,84,111,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,16,11,7
"wilbr",594392214,6069285,3617865,2451420,147,66,59,293,1995791,1613329,98,0,220,1,211,31,51,83,97,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,13,9,8
"animalrescuer97",375332479,4999651,2878740,2120911,135,109,62,215,1620128,1254468,75,7,88,0,197,9,27,63,86,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,16,13,8
"Loreck Avery",945628811,6974449,3972425,3002024,132,97,60,240,2222105,1739822,136,8,174,0,247,21,38,95,134,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,23,13,13
"QuiGonJim",396942887,5404628,3473798,1930830,179,227,67,363,2059732,1414066,109,3,288,1,198,45,56,83,114,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,19,10,10
"KoolBeans",454321516,5337290,3008789,2328501,129,-27,91,274,1592025,1413881,99,4,213,1,200,27,44,60,89,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,14,9,5
"Doomspikinator",692437781,4993306,2987799,2005507,148,-145,136,300,1494800,1492999,94,3,210,1,198,25,43,65,91,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,16,9,7
"Matthew Darkstar",523332526,5574999,3112606,2462393,126,53,63,338,1710776,1401154,113,1,84,0,254,3,74,98,104,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,18,12,9
"Malottobuck",951289295,6008749,3540858,2467891,143,130,72,217,2009968,1522301,87,8,162,0,193,27,30,68,99,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,14,9,7
"Dang",985846889,6356681,3631947,2724734,133,57,164,337,1999907,1632040,148,10,284,2,230,39,60,98,134,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,25,14,12
"Mediated",284273572,2576340,1815945,760395,238,244,22,345,1084558,731387,40,0,130,1,96,17,25,38,48,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,5,5,3
"Rynoman2597",827547649,7161912,4234676,2927236,144,3,158,298,2267726,1953381,139,8,318,3,257,53,58,92,130,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,22,11,12
"Stubaru Prime",738526411,6925963,3963424,2962539,133,121,128,343,2243784,1716795,157,10,321,0,214,53,55,119,135,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,20,13,9
"JM5555",457786942,5064284,2934718,2129566,137,-315,205,262,1342793,1589275,108,4,165,1,170,20,30,70,93,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,14,8,6
