Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Lasman starguard,714143532,0,0,0,SEE P1 5%: SEE Malak DR Darth Talon Sith Marauder
StoneDarrow,671468239,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
StoneDarrow,671468239,2,2,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
QuiGonJim,396942887,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Mace
QuiGonJim,396942887,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
JM5555,457786942,0,0,0,SEE P1 5%: SEE Malak DR Darth Talon Sith Marauder
JM5555,457786942,0,0,0,GG (2%): GG B1 Droideka B2 MagnaGuard
JD,773718842,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
JD,773718842,0,0,0,SEE P1 5%: SEE Malak EP Vader Sith Marauder
JD,773718842,8,8,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
wilbr,594392214,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Doomspikinator,692437781,11,11,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
Falen Lacer,412149896,15,15,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
BOOGIEBEAR,944133643,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
BOOGIEBEAR,944133643,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
BOOGIEBEAR,944133643,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
BOOGIEBEAR,944133643,0,0,0,GG (2%): GG B1 Droideka B2 HK-47
BOOGIEBEAR,944133643,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
MooCowOla,196325448,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
KoolBeans,454321516,0,0,0,SEE P1 5%: SEE Malak EP Vader Sith Marauder
KoolBeans,454321516,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
BigTexN,221852267,2,2,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Legend Brands,712311723,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Legend Brands,712311723,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
Legend Brands,712311723,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Madskillz007,167116754,3,3,0,Padme 3%: Padme JKA GK Ahsoka GMY
Madskillz007,167116754,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Beluminium,337351818,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Beluminium,337351818,0,0,0,GG (2%): GG B1 Droideka B2 IG-88
Beluminium,337351818,0,0,0,Seps (1%): Dooku Jango Sun Fac GBA MagnaGuard
Beluminium,337351818,0,0,0,SEE P1 5%: SEE Malak Darth Talon Vader Sith Marauder
Beluminium,337351818,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Beluminium,337351818,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
yaminashi,496575753,5,5,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
DarthNox,672273972,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Dang,985846889,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Dang,985846889,2,2,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
HK71,458914434,0,0,0,GG (2%): GG B1 Droideka B2 IG-88
