Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Mol Eliza,624843493,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
KoolBeans,454321516,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
yaminashi,496575753,30,30,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
DarthCephalus,164743168,56,56,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
DarthCephalus,164743168,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber 6* JKA Thrawn Tarkin Veers Starck
tacomansir,585681935,27,27,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
tacomansir,585681935,52,0,52,Supreme Leader Kylo Ren: KRU R3 Kylo R2 FOST G12 FOE R2 FOO G12 FOTP G12 Phasma G12 Hux R1 FOSFTP G12 Sith Trooper G12 Vet Han G12 EP Finalizer
tacomansir,585681935,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber 6* JKA Thrawn Tarkin Veers Starck
Stubaru Prime,738526411,54,54,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
Stubaru Prime,738526411,59,13,46,Jedi Master Luke Skywalker: Old Ben G12 JTR G12 C-3PO Mon Mothma G9 6* Chewpio R4 JKL R2-D2 G12 Han R5 Chewbacca Rebel Y-wing 5* Leia G11 HYoda Wedge G12 Biggs G12 Lando
BigWalkingCarpet,674293548,57,31,26,Sith Eternal Emperor: EP Vader RG G11 Piett Krennic Sidious R4 Darth Maul R3 Dooku R4 Sith Marauder G12 Imperial TIE Bomber JKA Thrawn R3 Tarkin G12 Veers Starck
JM5555,457786942,56,56,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber 6* JKA Thrawn Tarkin Veers Starck
SkinnyKrogan,552414927,58,58,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
SkinnyKrogan,552414927,59,59,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
Mediated,284273572,57,57,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
JD,773718842,57,57,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
JD,773718842,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
JD,773718842,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber 6* JKA Thrawn Tarkin Veers Starck
Crossbow13,397167862,57,57,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
Crossbow13,397167862,59,8,51,Jedi Master Luke Skywalker: Old Ben G12 JTR R1 C-3PO Mon Mothma G9 6* Chewpio R3 JKL R5 R2-D2 R5 Han R5 Chewbacca R5 Rebel Y-wing 6* Leia G9 HYoda R3 Wedge G11 Biggs G8 Lando
Doomspikinator,692437781,58,58,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
Doomspikinator,692437781,37,37,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber 6* JKA Thrawn Tarkin Veers Starck
wilbr,594392214,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
wilbr,594392214,51,19,32,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma G12 Chewpio R4 JKL R5 R2-D2 R2 Han R3 Chewbacca R5 Rebel Y-wing 5* Leia G12 HYoda R3 Wedge G12 Biggs G12 Lando
Cam Jetsu,279764511,59,59,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber 6* JKA Thrawn Tarkin Veers Starck
Beluminium,337351818,52,52,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
Beluminium,337351818,58,58,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
Dang,985846889,20,20,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
Dang,985846889,57,57,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
DARTHINVADE HERCERVIX,478465791,59,21,38,Jedi Master Kenobi: GK Bo-Katan G12 Aayla Mace Negotiator 5* GG R5 Wat Tambor G10 6* MagnaGuard Clone Sergeant G12 QGJ GMY R5 Jango R5 Shaak Ti R1 Cad Cody R2
