Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Crossbow13,397167862,7,4,3,CLS: CLS C-3PO Han Chewbacca Chewpio R2
Crossbow13,397167862,23,9,14,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G10 Malak G12
Crossbow13,397167862,36,0,36,Padme/BB: Padme Hunter G10 5* Echo G10 4* Tech G8 5* Wrecker G8 5*
Crossbow13,397167862,42,0,42,Troopers: Veers G9 Piett G11 Dark Trooper G9 6* Range Trooper G7 6* Gideon G12
Malottobuck,951289295,19,1,18,EP: EP Mara Jade, The Emperor's Hand G9 Vader Thrawn RG G9
Malottobuck,951289295,24,12,12,CLS: CLS C-3PO R3 Han Chewbacca Chewpio G8 5*
Malottobuck,951289295,36,1,35,Padme/BB: Padme Hunter G11 Echo G8 4* Tech G11 Wrecker G7 5*
Malottobuck,951289295,37,0,37,Troopers: Veers R4 Piett G12 Dark Trooper G8 5* Range Trooper G5 5* Gideon G11
Mol Bal,717358912,45,0,45,Padme/BB: Padme G8 Hunter G11 4* Echo G9 2* Tech G9 4* Wrecker G8 3*
DARTHINVADE HERCERVIX,478465791,13,4,9,CLS: CLS C-3PO R4 Han R3 Chewbacca Chewpio G12
Gul Ski,723993198,11,2,9,EP: EP Mara Jade, The Emperor's Hand G11 Vader Thrawn Malak R3
Gul Ski,723993198,16,0,16,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G12 Starck R3
Gul Ski,723993198,11,0,11,CLS: CLS R4 C-3PO R3 Han R4 Chewbacca R4 Chewpio G12
Gul Ski,723993198,33,4,29,Padme/BB: Padme R4 Hunter G12 Echo G10 Tech G10 Wrecker G12
HK71,458914434,16,0,16,CLS: CLS C-3PO Han R1 Chewbacca Chewpio G6 6*
HK71,458914434,32,0,32,EP: EP R1 Mara Jade, The Emperor's Hand G4 4* Vader Thrawn G8 Malak R1
Rynoman2597,827547649,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Rynoman2597,827547649,6,0,6,JMLS: JMLS JKL JKR GMY G12 HYoda
Rynoman2597,827547649,7,0,7,EP: EP Mara Jade, The Emperor's Hand G11 Vader Thrawn Malak
Rynoman2597,827547649,15,0,15,Troopers: Veers Piett Dark Trooper G11 Range Trooper G12 Starck R3
Rynoman2597,827547649,44,0,44,Padme/BB: Padme G12 Hunter G9 Echo G8 Tech G9 Wrecker G8
Andrew2440,293826154,34,3,31,CLS: CLS C-3PO G12 Han G11 Chewbacca G12 Chewpio G6 4*
JM5555,457786942,8,0,8,EP: EP Mara Jade, The Emperor's Hand G10 3* Vader Thrawn Malak
Waiter,619831899,8,1,7,CLS: CLS C-3PO Han Chewbacca Chewpio G11
Waiter,619831899,11,9,2,EP: EP Mara Jade, The Emperor's Hand R4 Vader Thrawn R4 Malak
Waiter,619831899,39,0,39,Padme/BB: Padme Hunter G9 Echo G8 Tech G8 Wrecker G8
Waiter,619831899,36,9,27,Troopers: Veers G12 Piett R4 Dark Trooper G11 Range Trooper G11 Gideon G12
Anraeth Erith,562712763,2,0,2,CLS: CLS R4 C-3PO Han Chewbacca Chewpio R4
Anraeth Erith,562712763,36,0,36,Padme/BB: Padme Hunter G9 Echo G8 Tech G9 Wrecker G10
Anraeth Erith,562712763,22,0,22,EP: EP R3 Mara Jade, The Emperor's Hand G5 4* Vader R3 Thrawn R2 Malak R3
Anraeth Erith,562712763,36,0,36,Troopers: Veers G10 Piett G8 Dark Trooper R2 Range Trooper G6 6* Gideon R2
BigWalkingCarpet,674293548,21,5,16,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G12 Starck R3
BigWalkingCarpet,674293548,18,1,17,CLS: CLS R3 C-3PO R3 Han G12 Chewbacca Chewpio G11
Brill council,832472676,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Dru Neech,781238565,27,0,27,EP: EP Mara Jade, The Emperor's Hand G6 4* Vader Thrawn G12 RG G9
Dru Neech,781238565,33,2,31,CLS: CLS C-3PO G6 6* Han G12 Chewbacca Chewpio G5 4*
Dru Neech,781238565,47,2,45,Padme/BB: Padme Hunter G7 5* Echo G8 5* Tech G8 4* Wrecker G4 5*
BigTexN,221852267,12,5,7,CLS: CLS C-3PO Han R4 Chewbacca Chewpio G12
Antonio,986527771,23,4,19,EP: EP Mara Jade, The Emperor's Hand G9 4* Vader Thrawn G13 Malak G13
Antonio,986527771,27,2,25,CLS: CLS R4 C-3PO R3 Han G13 Chewbacca Chewpio G1
KoolBeans,454321516,35,4,31,CLS: CLS R2 C-3PO R3 Han G12 Chewbacca G12 Chewpio G4
Beluminium,337351818,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Beluminium,337351818,9,9,0,JMLS: JMLS JKL JKR GMY HYoda
Beluminium,337351818,12,0,12,EP: EP Mara Jade, The Emperor's Hand G6 5* Vader Thrawn Malak
Biggles,786886424,15,15,0,JMK: JMK CAT GK GAS Ahsoka
Biggles,786886424,6,0,6,SEE: SEE Malak Darth Malgus BSF G12 DR
Biggles,786886424,7,1,6,CLS: CLS C-3PO Han Chewbacca Chewpio G12
Biggles,786886424,12,1,11,EP: EP Mara Jade, The Emperor's Hand G9 Vader Thrawn RG R3
Biggles,786886424,20,0,20,Troopers: Veers R3 Piett Dark Trooper G11 Range Trooper G9 Starck R3
Biggles,786886424,37,0,37,Padme/BB: Padme Hunter G9 Echo G9 Tech G9 Wrecker G8
QuiGonJim,396942887,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
QuiGonJim,396942887,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
QuiGonJim,396942887,10,1,9,EP: EP Mara Jade, The Emperor's Hand G9 6* Vader Thrawn Malak
IIISunDownIII,323563219,1,1,0,Padme/BB: Padme Hunter Echo Tech Wrecker
IIISunDownIII,323563219,18,1,17,CLS: CLS R1 C-3PO R4 Han R1 Chewbacca R1 Chewpio R1
IIISunDownIII,323563219,15,0,15,Troopers: Veers R4 Piett R2 Dark Trooper R4 Range Trooper G9 Gideon R4
geandrezacher,466366683,14,8,6,SEE: SEE Malak Darth Malgus G12 BSF DR
geandrezacher,466366683,41,0,41,Padme/BB: Padme Hunter G7 Echo G10 4* Tech G7 Wrecker G7
DarthCephalus,164743168,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
DarthCephalus,164743168,36,0,36,Padme/BB: Padme Hunter G9 5* Echo G9 4* Tech G10 5* Wrecker G8 4*
Doomspikinator,692437781,19,0,19,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G9 Starck R3
tacomansir,585681935,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Loreck Avery,945628811,18,0,18,EP: EP Mara Jade, The Emperor's Hand G9 4* Vader Thrawn R4 RG G10
Loreck Avery,945628811,31,0,31,CLS: CLS C-3PO G12 Han G12 Chewbacca G9 Chewpio G8 5*
Loreck Avery,945628811,37,1,36,Padme/BB: Padme G12 Hunter G12 Echo G8 Tech G11 Wrecker G11
Loreck Avery,945628811,43,1,42,Troopers: Veers G9 Piett G9 Dark Trooper G9 Range Trooper G9 Gideon G12
AtillaDX,476411885,12,1,11,EP: EP Mara Jade, The Emperor's Hand G11 4* Vader Thrawn R1 Malak
