Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Stubaru Prime,738526411,0,0,0,padme: Padme GK JKA Ahsoka C-3PO
Stubaru Prime,738526411,0,0,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Stubaru Prime,738526411,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Stubaru Prime,738526411,4,0,4,CLS: CLS Han Chewbacca Chewpio R2-D2 G12
Stubaru Prime,738526411,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Stubaru Prime,738526411,27,0,27,Phasma: Phasma G12 FOTP G10 FOSFTP G8 FOST G11 4* Kylo G12
Stubaru Prime,738526411,1,0,1,Malevolence: Malevolence Hyena Bomber 5* Vulture Droid 3* Sun Fac SF Soldier SF Spy SF
Stubaru Prime,738526411,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Stubaru Prime,738526411,34,0,34,Troopers: Veers G12 Piett Starck G10 Dark Trooper G1 5* Range Trooper G7 6*
AtillaDX,476411885,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
AtillaDX,476411885,0,0,0,padme: Padme GK JKA Ahsoka C-3PO
AtillaDX,476411885,0,0,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
AtillaDX,476411885,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
AtillaDX,476411885,6,0,6,CLS: CLS Han Chewbacca Chewpio R1 R2-D2 G12
AtillaDX,476411885,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
AtillaDX,476411885,37,0,37,Troopers: Veers G12 Piett G8 Starck G10 Dark Trooper G4 Range Trooper G9 6*
KoolBeans,454321516,0,0,0,padme: Padme GK JKA Ahsoka C-3PO
KoolBeans,454321516,4,0,4,Grievous Omicron: GG B2 G12 B1 MagnaGuard Droideka
KoolBeans,454321516,1,0,1,Negotiator: Negotiator BTL-B Y-wing 6* Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
KoolBeans,454321516,16,0,16,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
KoolBeans,454321516,4,0,4,GAS: GAS Rex Echo (501st) Fives ARC Trooper G12
KoolBeans,454321516,50,0,50,Phasma: Phasma G8 FOTP G9 FOSFTP G1 FOST G6 3* Kylo G6
KoolBeans,454321516,22,0,22,Troopers: Veers Piett Starck Dark Trooper G7 Range Trooper G3 5*
KoolBeans,454321516,16,0,16,CLS: CLS Han Chewbacca Chewpio G4 R2-D2 G12
JD,773718842,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
JD,773718842,0,0,0,padme: Padme GK JKA Ahsoka C-3PO
JD,773718842,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
JD,773718842,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
JD,773718842,11,0,11,Grievous Omicron: GG G9 B2 B1 G12 MagnaGuard Droideka
JD,773718842,1,0,1,Negotiator: Negotiator 6* BTL-B Y-wing 5* Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
JD,773718842,20,0,20,Troopers: Veers Piett Starck Dark Trooper G3 Range Trooper G9
JD,773718842,21,0,21,CLS: CLS Han G9 Chewbacca Chewpio G2 6* R2-D2
Dang,985846889,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Dang,985846889,0,0,0,padme: Padme GK JKA Ahsoka C-3PO
Dang,985846889,0,0,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Dang,985846889,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Dang,985846889,0,0,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Dang,985846889,0,0,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Dang,985846889,16,0,16,GAS: GAS Rex G12 Echo (501st) G12 Fives G12 ARC Trooper G12
Dang,985846889,1,0,1,Malevolence: Malevolence Hyena Bomber 4* Vulture Droid 5* Sun Fac SF Soldier SF Spy SF
Dang,985846889,40,0,40,Troopers: Veers G11 Piett Starck G11 Dark Trooper G1 5* Range Trooper G1 5*
Ju Ansalli Madlyn,618553972,4,0,4,padme: Padme G12 GK JKA Ahsoka CAT
Ju Ansalli Madlyn,618553972,4,0,4,Grievous Omicron: GG B2 B1 MagnaGuard Droideka G12
Ju Ansalli Madlyn,618553972,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Ju Ansalli Madlyn,618553972,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Ju Ansalli Madlyn,618553972,12,0,12,Geonosians Omicron: GBA G12 Sun Fac Geo Soldier Geo Spy G12 Poggle G12
Ju Ansalli Madlyn,618553972,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
