Player,Offense,Defense,GP,Name,Squad,Viable
"phillipmonseu",1,1,163366,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zRH Poe, zRH Finn",1
"phillipmonseu",0,1,136488,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"phillipmonseu",0,1,109613,DRMalak,"zzzDR zHK-47 zBSF zzMalak Sith Empire Trooper",1
"phillipmonseu",,,474348,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"phillipmonseu",,,465986,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"phillipmonseu",0,1,107293,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"phillipmonseu",0,1,109311,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"phillipmonseu",1,0,103789,Traya,"zzTraya zzDN G8, zSion zNest zThrawn",1
"phillipmonseu",1,0,129875,Troopers,"zVeers zzPiett zzGideon zDark Trooper, Range Trooper",1
"phillipmonseu",,,107286,Mon Mothma,"zzMon Mothma, Biggs zPao Hoth Rebel Scout, Wedge",1
"phillipmonseu",1,1,140806,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"phillipmonseu",1,1,119260,Revan Offense,"zzzJKR zGMY zBS zJolee zzHYoda",1
"phillipmonseu",1,1,82521,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"phillipmonseu",1,1,96033,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"phillipmonseu",0,1,114329,BH,"zzBossk zzJango zBoba zzThe Mandalorian, zDengar",1
"phillipmonseu",0,1,90592,FO,"zzKRU zKylo zHux FOO G9, FOE G8",1
"phillipmonseu",0,1,97821,Phoenix,"zHera zKanan G9, zSabine zEzra Zeb",1
"phillipmonseu",,,127108,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"phillipmonseu",1,1,81626,NS,"MT G8, zzAV Daka G9, Zombie Spirit G3",0
"phillipmonseu",,,327001,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper 6*, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter 5*, FO TIE Fighter",0
"phillipmonseu",1,1,101952,zEP,"zEP zzzVader Tarkin zIPD TFP",0
"phillipmonseu",1,0,137492,CLS,"zzCLS zHan zLeia zzOld Ben, zzChewbacca",0
"phillipmonseu",1,0,52793,Jawas,"Nebit G8, Jawa Engineer G9, Jawa Scavenger G7, Jawa G8, Dathcha G9",0
"Letsgetmouldy",,,163292,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Letsgetmouldy",1,1,99231,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Letsgetmouldy",0,1,136151,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Letsgetmouldy",0,1,96465,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Letsgetmouldy",,,381759,HansMF,"Home One, Han's MF, HT Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Letsgetmouldy",0,1,120914,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Letsgetmouldy",,,111753,Nute-OR,"zNute zDooku zzJango zZaalbar zMission",1
"Letsgetmouldy",1,1,142407,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Letsgetmouldy",1,1,127699,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"Letsgetmouldy",1,1,85609,Ewoks,"zChirpa G9, Elder zPaploo Wicket G8, zLogray",1
"Letsgetmouldy",0,1,110459,BH,"zzBossk zzEmbo zBoba IG-88 zDengar",1
"Letsgetmouldy",0,1,72672,Phoenix,"Hera G9, Kanan G8, Sabine G8, zEzra Zeb G8",1
"Letsgetmouldy",1,0,119655,EP (Counter, Rebel),"zzEP zKrennic zzWampa Stormtrooper G8, zStarck",1
"Letsgetmouldy",,,51286,Phasma,"Phasma G8, FOTP G9, FOSFTP 6* G7, FOST 5* G8, Kylo G8",0
"Letsgetmouldy",,,424309,Negotiator,"Negotiator 6* BTL-B Y-wing 3*, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF 6*, Clone Sergeant's ARC-170",0
"Letsgetmouldy",1,1,78620,JTR,"JTR G8, Scav Rey, BB-8 G8, zzR2-D2 Finn G8",0
"Letsgetmouldy",1,0,101483,zMaul,"zDarth Maul, zSidious Sith Empire Trooper G8, Sith Marauder, Nest 6* G9",0
"Letsgetmouldy",1,0,105513,CLS,"zzzCLS zHan Wedge Biggs G8, zzChewbacca",0
"Letsgetmouldy",1,0,85735,Thragma (Counter),"zzThrawn Magma G7, DT 6* G8, zzTarkin Shoretrooper 6* G8",0
"Letsgetmouldy",1,1,51596,Rogue1,"Jyn 6* Chirrut 5* G8, Baze 5* G8, K-2SO G9, Cassian G8",0
"Letsgetmouldy",1,0,51541,Jawas,"Nebit G7, Jawa Engineer 6* G8, Jawa Scavenger G8, Jawa 6* G7, Dathcha G8",0
"Goshen",,,168860,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Goshen",,,571838,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Goshen",,,158305,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"Goshen",1,0,145573,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Goshen",0,1,122948,padme,"zzPadme zGK zJKA zAhsoka CW Chewbacca G9",1
"Goshen",,,422143,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Goshen",0,1,101397,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Goshen",0,1,121582,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Goshen",1,1,115034,JTR,"zzzJTR Scav Rey, BB-8 zzR2-D2 Finn G8",1
"Goshen",,,105755,Mon Mothma,"Mon Mothma, Lando Biggs Pao Wedge",1
"Goshen",1,1,104648,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Goshen",0,1,139339,BH,"zzBossk zBoba IG-88 zDengar Cad",1
"Goshen",1,1,95098,Carth,"zCarth Onasi, zMission Zaalbar zJuhani Canderous",1
"Goshen",0,1,84251,FO,"zzKRU Kylo G9, FOO FOE G9, FOST G8",1
"Goshen",0,1,78339,Phoenix,"Hera Kanan Sabine G8, Ezra Zeb",1
"Goshen",1,0,118696,Wampa (Counter),"zRex zzWampa zKrennic zzHYoda Jyn",1
