Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"RingoBingo",753267475,8111133,4610170,3500963,131,87,183,367,2581575,2021797,166,6,476,2,269,78,89,114,154,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,20,11,12
"Grogg",962697893,5898187,3324631,2573556,129,-51,157,281,1747634,1574347,115,6,181,1,217,22,49,81,103,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,13,7,8
"Spitfire9137",995891585,6770003,3892065,2877938,135,-37,112,470,2061198,1830191,145,6,459,3,242,52,101,126,138,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,21,10,11
"Madmartigan813",598483432,6492664,4109230,2383434,172,156,154,359,2359221,1720915,146,8,307,1,229,34,63,109,134,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,21,10,7
"atlasz",569717448,6388880,3606214,2782666,129,122,74,310,2048321,1548797,117,5,271,2,240,38,58,86,99,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,17,11,6
"Goshen",585393715,6751173,3977646,2773527,143,66,265,336,2209278,1767692,138,11,336,2,243,43,70,90,120,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,19,9,8
"DarthBane71",174384318,8356393,4982812,3373581,147,-106,62,448,2547341,2422918,171,4,603,4,272,81,113,141,177,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,21,8,10
"Jorir Orilin",926977164,5935412,3534710,2400702,147,83,134,238,1971188,1550781,105,7,158,0,232,25,25,85,108,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,16,9,9
"DisneySucksBallz",956864957,4752981,2873446,1879535,152,144,215,377,1651534,1221236,93,8,262,2,168,43,56,71,80,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,10,5,3
"Masta Tgray",927877699,6786960,3928741,2858219,137,-131,317,377,1989046,1939019,137,7,365,2,234,45,74,109,133,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,25,10,13
"phillipmonseu",789863213,6452414,3856121,2596293,148,405,157,380,2467085,1389036,147,7,333,2,233,40,69,110,141,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,18,11,7
"Kybur",384886172,6138832,3649658,2489174,146,189,94,346,2137268,1509464,130,8,319,1,215,44,67,82,106,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,17,9,7
"Chmrda",974657467,5780481,3188656,2591825,123,-289,199,360,1487198,1697099,112,10,291,1,185,35,59,91,105,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,16,7,8
