Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Spitfire9137,995891585,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Spitfire9137,995891585,10,10,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Spitfire9137,995891585,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Spitfire9137,995891585,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS BS
Spitfire9137,995891585,0,0,0,SEE P1 5%: SEE Malak EP Vader Sith Marauder
Necrobe75,198884116,0,0,0,SEE P1 5%: SEE Malak Darth Talon Vader Sith Marauder
Necrobe75,198884116,1,1,0,Padme 3%: Padme JKA GK Ahsoka GMY
EmperorPalpamemes66,753689425,17,17,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
EmperorPalpamemes66,753689425,0,0,0,SEE P1 5%: SEE Malak EP Vader Sith Marauder
EmperorPalpamemes66,753689425,0,0,0,JKL + JML (6%): JKL JMLS JKR Jolee Old Ben
EmperorPalpamemes66,753689425,19,19,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Starck
jacensolo,921673719,10,10,0,Padme 3%: Padme JKA GK Ahsoka GMY
jacensolo,921673719,15,15,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Kybur,384886172,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Kybur,384886172,0,0,0,JKL + JML (6%): JKL JMLS JKR Mace Old Ben
Kybur,384886172,17,17,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Letsgetmouldy,964851743,0,0,0,SEE P1 5%: SEE Malak EP Vader Sith Marauder
Neres Warjan,995319363,2,2,0,BH 2%: Aurra Greef Bossk Jango Boba
DarthBurr11,477475456,33,33,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Chmrda,974657467,7,7,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Rall Kran,797432228,0,0,0,SEE P1 5%: SEE Malak EP Vader Sith Marauder
Rall Kran,797432228,19,19,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Rall Kran,797432228,16,16,0,Padme 3%: Padme JKA GK Ahsoka GMY
Rall Kran,797432228,0,0,0,Seps (1%): Dooku Jango GG GBA B1
DisneySucksBallz,956864957,0,0,0,Seps (1%): Dooku Jango Nute GG GBA
DisneySucksBallz,956864957,6,6,0,Padme 3%: Padme JKA GK Ahsoka GMY
DisneySucksBallz,956864957,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
JediKnightSkywalker,233534786,28,28,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
phillipmonseu,789863213,0,0,0,JKL + JML (6%): JKL JMLS JKA GAS Old Ben
Lumar,557114342,16,16,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Lumar,557114342,11,11,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Goshen,585393715,0,0,0,JKL + JML (6%): JKL JMLS JKR Jolee BS
Goshen,585393715,0,0,0,SEE P1 5%: SEE Malak EP Vader Sith Marauder
LegendsShouldBCannon,964741322,0,0,0,JKL + JML (6%): JKL JMLS HYoda GMY Old Ben
LegendsShouldBCannon,964741322,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Masta Tgray,927877699,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
