Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Younglings killer,124655149,20,2,18,CLS: CLS Han G12 Chewbacca G11 Chewpio G11 C-3PO G12
Younglings killer,124655149,20,8,12,Shaak Ti: Shaak Ti G12 Rex G12 Echo (501st) ARC Trooper G12 Fives
Letsgetmouldy,964851743,0,0,0,GAS Special: GAS Ahsoka
Letsgetmouldy,964851743,4,0,4,ROLO: ROLO Cpt Solo Han G12 CLS Lando
Letsgetmouldy,964851743,1,0,1,Shaak Ti: Shaak Ti R2 Rex Echo (501st) ARC Trooper Fives
DarthBane71,174384318,0,0,0,GAS Special: GAS Ahsoka
DarthBane71,174384318,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
DarthBane71,174384318,5,5,0,JKL: JKL HYoda GMY Jolee GK
DarthBane71,174384318,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Bubbah,564463657,5,0,5,GAS Special: GAS G11 6* Ahsoka
Bubbah,564463657,17,3,14,CLS: CLS R1 Han R1 Chewbacca R1 Chewpio G12 C-3PO G12
Bubbah,564463657,20,0,20,Shaak Ti: Shaak Ti G12 Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
Necrobe75,198884116,6,6,0,GAS Special: GAS Ahsoka
Necrobe75,198884116,20,14,6,Shaak Ti: Shaak Ti Rex R1 Echo (501st) R2 ARC Trooper R2 Fives R1
atlasz,569717448,12,12,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
atlasz,569717448,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
atlasz,569717448,11,5,6,GAS Special: GAS G12 Ahsoka R1
Kybur,384886172,7,7,0,JKL: JKL HYoda GMY Jolee GK
Kybur,384886172,10,10,0,CLS: CLS Han Chewbacca Chewpio C-3PO
EmperorPalpamemes66,753689425,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
EmperorPalpamemes66,753689425,0,0,0,JKL: JKL HYoda JMLS JKR Jolee
Kristian,578514369,7,7,0,GAS Special: GAS Ahsoka
Kristian,578514369,20,10,10,CLS: CLS Han Chewbacca Chewpio G10 C-3PO G12
Kristian,578514369,20,0,20,Shaak Ti: Shaak Ti G12 Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
Grogg,962697893,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Grogg,962697893,20,1,19,JKL: JKL G9 HYoda GMY G12 Jolee G9 GK R2
RingoBingo,753267475,5,5,0,CLS: CLS Han Chewbacca Chewpio C-3PO
RingoBingo,753267475,17,17,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
RingoBingo,753267475,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
RingoBingo,753267475,20,1,19,ROLO: ROLO G12 Chirrut G8 Biggs Baze G9 R2-D2
Infected Tiger7,462647597,4,0,4,GAS Special: GAS Ahsoka G12
Infected Tiger7,462647597,4,0,4,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper G12 Fives
Ussoshi,428318741,1,1,0,GAS Special: GAS Ahsoka
Ussoshi,428318741,18,18,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Ussoshi,428318741,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
Ussoshi,428318741,16,8,8,JKL: JKL HYoda GMY JKR G12 Jolee G12
Ussoshi,428318741,16,8,8,Shaak Ti: Shaak Ti Rex Echo (501st) G12 ARC Trooper G12 Fives
Maath Faselli,887365988,9,5,4,GAS Special: GAS G12 Ahsoka
Maath Faselli,887365988,4,0,4,ROLO: ROLO Cpt Solo Han G12 CLS Lando
Maath Faselli,887365988,17,0,17,JKL: JKL G7 HYoda GMY G12 Jolee G12 GK
DisneySucksBallz,956864957,0,0,0,GAS Special: GAS Ahsoka
DisneySucksBallz,956864957,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
phillipmonseu,789863213,0,0,0,Finn: Finn RT RH Finn RH Poe Rey
phillipmonseu,789863213,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
phillipmonseu,789863213,0,0,0,JKL: JKL HYoda JMLS GK GAS
phillipmonseu,789863213,1,0,1,Shaak Ti: Shaak Ti R2 Rex Echo (501st) ARC Trooper Fives
Chmrda,974657467,17,17,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Chmrda,974657467,12,8,4,GAS Special: GAS Ahsoka G12
Chmrda,974657467,19,15,4,Shaak Ti: Shaak Ti G12 Rex Echo (501st) ARC Trooper Fives
Jorir Orilin,926977164,20,16,4,Shaak Ti: Shaak Ti G12 Rex Echo (501st) ARC Trooper Fives
Kaeya,559179796,9,7,2,GAS Special: GAS Ahsoka R1
Kaeya,559179796,20,8,12,Shaak Ti: Shaak Ti G12 Rex R1 Echo (501st) R1 ARC Trooper R1 Fives R1
Goshen,585393715,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Goshen,585393715,8,8,0,JKL: JKL HYoda GMY Jolee GK
Goshen,585393715,12,11,1,GAS Special: GAS Ahsoka R2
Goshen,585393715,20,2,18,Shaak Ti: Shaak Ti Rex G13 Echo (501st) G12 ARC Trooper G12 Fives G9
Neres Warjan,995319363,16,6,10,ROLO: ROLO R1 Cpt Solo R1 Han G12 CLS Chewbacca R1
Neres Warjan,995319363,20,0,20,Shaak Ti: Shaak Ti G12 Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
X'lor Bintaghr,754828667,8,8,0,GAS Special: GAS Ahsoka
X'lor Bintaghr,754828667,7,0,7,ROLO: ROLO Cpt Solo Han G9 CLS Lando
X'lor Bintaghr,754828667,7,0,7,JKL: JKL G9 HYoda GMY Jolee GK
X'lor Bintaghr,754828667,18,3,15,Shaak Ti: Shaak Ti Rex R2 Echo (501st) G11 ARC Trooper G11 Fives G12
Rall Kran,797432228,9,9,0,GAS Special: GAS Ahsoka
Rall Kran,797432228,20,20,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Rall Kran,797432228,4,0,4,ROLO: ROLO Cpt Solo Han G12 Chewbacca Lando
Prophet11,458271363,17,0,17,CLS: CLS Han G12 Chewbacca G12 Chewpio G11 C-3PO G12
jacensolo,921673719,8,8,0,GAS Special: GAS Ahsoka
jacensolo,921673719,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
jacensolo,921673719,20,20,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
jacensolo,921673719,12,6,6,JKL: JKL HYoda GMY Jolee G10 GK
Lumar,557114342,0,0,0,JKL: JKL HYoda GMY JKR Jolee
Lumar,557114342,19,19,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Lumar,557114342,15,0,15,ROLO: ROLO Cpt Solo Leia G9 Baze G8 Lando
Ava Adams,562632911,20,16,4,CLS: CLS Han Chewbacca Chewpio C-3PO G12
Masta Tgray,927877699,0,0,0,JKL: JKL HYoda GMY GK GAS
Masta Tgray,927877699,17,17,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Masta Tgray,927877699,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Masta Tgray,927877699,15,7,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
JediKnightSkywalker,233534786,20,20,0,CLS: CLS Han Chewbacca Chewpio C-3PO
DarthBurr11,477475456,18,18,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Madmartigan813,598483432,5,5,0,GAS Special: GAS Ahsoka
Madmartigan813,598483432,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Madmartigan813,598483432,0,0,0,JKL: JKL HYoda GMY JKR GK
Madmartigan813,598483432,20,16,4,Shaak Ti: Shaak Ti G12 Rex Echo (501st) ARC Trooper Fives
Sendo,643445114,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Spitfire9137,995891585,0,0,0,GAS Special: GAS Ahsoka
Spitfire9137,995891585,0,0,0,JKL: JKL HYoda GMY Jolee GK
Spitfire9137,995891585,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Spitfire9137,995891585,4,4,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Spitfire9137,995891585,8,2,6,ROLO: ROLO Cpt Solo Leia Baze G10 Lando
LegendsShouldBCannon,964741322,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
LegendsShouldBCannon,964741322,20,12,8,JKL: JKL HYoda GMY Jolee G10 GK R1
