Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Brian Theus,333864694,50,0,50,CLS: CLS G9 C-3PO G7 6* Han G8 Chewbacca G9 6* Chewpio G7 5*
X'lor Bintaghr,754828667,21,1,20,EP: EP Mara Jade, The Emperor's Hand G8 5* Vader Thrawn G8 Malak
X'lor Bintaghr,754828667,28,2,26,CLS: CLS C-3PO Han G9 Chewbacca G10 Chewpio G9
X'lor Bintaghr,754828667,48,3,45,Padme/BB: Padme Hunter G7 Echo G7 Tech G6 Wrecker G7
LegendsShouldBCannon,964741322,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
LegendsShouldBCannon,964741322,12,7,5,JMLS: JMLS JKL JKR R3 GMY R2 HYoda
LegendsShouldBCannon,964741322,23,0,23,EP: EP R3 Mara Jade, The Emperor's Hand G12 Vader R4 Thrawn G12 RG G10
TaytaytheTitan,458125686,28,0,28,CLS: CLS R3 C-3PO G12 Han G12 Chewbacca G12 Chewpio G10
TaytaytheTitan,458125686,44,6,38,EP: EP G9 Mara Jade, The Emperor's Hand G10 6* Vader R1 Thrawn G8 Malak G11 6*
TaytaytheTitan,458125686,46,2,44,Padme/BB: Padme R2 Hunter G8 5* Echo G8 5* Tech G8 5* Wrecker G7
Madmartigan813,598483432,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Madmartigan813,598483432,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Madmartigan813,598483432,7,0,7,EP: EP R4 Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
Madmartigan813,598483432,36,0,36,Padme/BB: Padme Hunter G9 Echo G9 Tech G9 Wrecker G9
Madmartigan813,598483432,30,0,30,Troopers: Veers G11 Piett G11 Dark Trooper G11 Range Trooper G12 Gideon R2
DarthBurr11,477475456,30,0,30,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G12 Chewpio G12
Zamus,948937511,9,0,9,EP: EP Mara Jade, The Emperor's Hand G9 4* Vader Thrawn Malak
Zamus,948937511,16,0,16,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G12 Starck R3
Zamus,948937511,33,0,33,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G11 Chewpio G10
Kristian,578514369,23,3,20,CLS: CLS R3 C-3PO G12 Han R3 Chewbacca R3 Chewpio G10
DarthBane71,174384318,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
DarthBane71,174384318,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
DarthBane71,174384318,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
DarthBane71,174384318,16,7,9,JMK: JMK CAT G9 GK GAS Ahsoka
DarthBane71,174384318,8,6,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
DarthBane71,174384318,13,0,13,Troopers: Veers Piett Dark Trooper R4 Range Trooper G8 Starck R3
DarthBane71,174384318,26,0,26,Padme/BB: Padme Hunter R2 Echo G10 Tech G12 Wrecker G9
EmperorPalpamemes66,753689425,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
EmperorPalpamemes66,753689425,7,0,7,EP: EP Mara Jade, The Emperor's Hand G11 5* Vader Thrawn Malak
Younglings killer,124655149,40,10,30,CLS: CLS C-3PO G10 Han G12 Chewbacca G10 Chewpio G10
Prophet11,458271363,34,3,31,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G12 Chewpio G11 6*
Prophet11,458271363,43,1,42,Troopers: Veers G11 Piett G10 Dark Trooper G9 Range Trooper G9 Gideon G9
LargeFarva,279965171,29,0,29,Troopers: Veers G11 Piett G13 Dark Trooper G12 Range Trooper G11 Gideon R1
zodd th imortal,285592276,33,4,29,EP: EP G12 Mara Jade, The Emperor's Hand G8 4* Vader Thrawn G8 Malak R2
Spitfire9137,995891585,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Spitfire9137,995891585,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Kybur,384886172,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Kybur,384886172,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Kybur,384886172,7,6,1,EP: EP R4 Mara Jade, The Emperor's Hand Vader Thrawn Malak
JediKnightSkywalker,233534786,28,7,21,CLS: CLS C-3PO G11 Han G12 Chewbacca Chewpio G10
JediKnightSkywalker,233534786,42,0,42,Troopers: Veers G11 Piett G10 Dark Trooper G9 Range Trooper G9 Starck G9
Neres Warjan,995319363,27,0,27,Troopers: Veers G12 Piett Dark Trooper G9 Range Trooper G12 Starck G12
