Player,Offense,Defense,GP,Name,Squad,Viable
"SlomoH2O jr",0,1,60403,Phoenix,"Hera G9, Kanan G8, Chopper Zeb G8, Ezra",1
"SlomoH2O jr",,,37576,Phasma,"Phasma 6* G8, FOE 5* G9, FOO 5* G8, KRU 5* G8, Kylo 5* G8",0
"SlomoH2O jr",1,1,33161,NS_Alt,"MT 5* G8, AV 5* G8, Talia 5* G8, Spirit 5* G8, Daka 5* G8",0
"SlomoH2O jr",1,1,63789,zEP,"EP zVader Tarkin 5* G8, Dooku 5* G8, zDN 5* G9",0
"SlomoH2O jr",1,0,34298,501st,"Rex 5* G8, Clone Sergeant 5* G8, Echo (501st) 5* G8, Fives 5* G8, Ahsoka 5* G8",0
"SlomoH2O jr",1,0,36511,Wiggs,"Wedge 5* G8, Biggs G8, Leia 5* G8, Chirrut 5* G8, Baze 5* G8",0
"Mhann Uhdea",,,32609,Phasma,"Phasma 5* G8, FOE 5* G8, FOO 5* G8, KRU 5* G8, Kylo 5* G8",0
"Mhann Uhdea",1,1,33161,NS_Alt,"MT 5* G8, AV 5* G8, Talia 5* G8, Spirit 5* G8, Daka 5* G8",0
"Mhann Uhdea",1,0,34090,501st,"Rex 5* G8, Clone Sergeant 5* G8, Echo (501st) 5* G8, Fives 5* G8, Ahsoka 5* G8",0
"Mhann Uhdea",1,0,36490,Wiggs,"Wedge 5* G8, Biggs 5* G8, Leia 5* G8, Chirrut 5* G8, Baze 5*",0
"Mhann Uhdea",0,1,33328,Phoenix,"Hera 5* G8, Kanan 5* G8, Chopper 5* G8, Zeb 5* G8, Sabine 5* G8",0
"VoidedSouls24",1,0,94124,Troopers,"zVeers zzPiett Gideon zDark Trooper, Range Trooper",1
"VoidedSouls24",,,71574,Iden Troopers,"zIden Versio, Stormtrooper G9, Snowtrooper G9, Magma DT",1
"VoidedSouls24",0,1,72621,Phoenix,"Hera G9, Kanan G9, Zeb G8, Sabine zEzra G9",1
"VoidedSouls24",0,1,77717,FO,"zKRU Kylo G9, zHux Sith Trooper G9, FOST G9",1
"VoidedSouls24",1,0,105162,CLS,"zzzCLS zHan zzChewbacca 6* R2-D2 G7, zChewpio",0
"VoidedSouls24",0,1,66383,Geonosians,"GBA Sun Fac G8, Geo Soldier, Geo Spy G9, Poggle",0
"VoidedSouls24",,,76285,Disintegration,"Aurra 6* G8, Greef G9, Boba Bossk 6* zThe Mandalorian",0
"VoidedSouls24",,,61314,Mon Mothma,"zMon Mothma 5* G8, Pao G9, Kyle Katarn G9, Hoth Rebel Scout, Cara Dune 5*",0
"VoidedSouls24",1,0,78042,ShaakClones,"zShaak Ti 4* G9, Rex Echo (501st) G9, zFives ARC Trooper",0
"VoidedSouls24",,,73315,Bad Batch,"zHunter Echo 6* G9, Omega 6* G8, zTech zWrecker G9",0
"VoidedSouls24",0,1,62773,BS,"BS 5* G9, GMY JKA GK 6* G8, Ahsoka G8",0
"DarthShade",0,1,62661,BS,"BS G9, GMY JKA G9, Old Ben G7, Ahsoka G9",0
"RichmalTheReborn",0,1,54181,Phoenix,"Hera G9, Kanan G8, Chopper G8, Zeb G8, Ezra G8",1
"Captainblinx",,,173564,JMK,"zzzzzzJMK zAhsoka zzzCAT zJKA zGK",1
"Captainblinx",,,177953,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Captainblinx",,,552991,Executor,"Executor 6* HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Captainblinx",,,177756,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Captainblinx",1,0,145423,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Captainblinx",,,384382,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Captainblinx",0,1,99472,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Captainblinx",0,1,118223,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Captainblinx",,,107303,Mon Mothma,"zzMon Mothma, Wedge Lando Biggs Cara Dune",1
"Captainblinx",1,1,85746,Ewoks,"zChirpa Elder zPaploo G9, zWicket zLogray",1
"Captainblinx",1,0,136654,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Captainblinx",0,1,137263,BH,"zzBossk IG-88 Jango Dengar zBoba",1
"Captainblinx",1,0,110158,Troopers,"zVeers Starck zzPiett Gideon DT",1
"Captainblinx",0,1,69119,Phoenix,"Hera G8, Kanan G8, Chopper G9, Zeb G8, Ezra",1
"Captainblinx",0,1,140410,BS,"zBS zGMY zJolee zOld Ben, zzHYoda",1
"Captainblinx",1,0,107073,EP (Counter, Rebel),"zEP Shoretrooper G8, Krennic zzWampa zNest",1
"Captainblinx",,,66365,Phasma,"Phasma G8, FOE G9, FOO KRU G8, Kylo G9",0
"Captainblinx",,,468717,Negotiator,"Negotiator BTL-B Y-wing 4*, Anakin's Eta-2, Rex's ARC-170 4*, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",0
"Captainblinx",,,286842,Malevolence,"Malevolence Hyena Bomber 4*, Vulture Droid 5*, Sun Fac SF, Soldier SF, Spy SF",0
"Captainblinx",1,1,68189,NS,"MT G8, zAV Daka Zombie 6* G8, Spirit G8",0
"Captainblinx",1,0,85629,Traya,"zTraya G9, DN G8, Sion 6* G9, Sith Empire Trooper, Thrawn",0
"Captainblinx",1,1,97671,JTR,"JTR Scav Rey, BB-8 G7, zR2-D2 Finn G8",0
"Captainblinx",1,1,82847,Carth,"zCarth Onasi, Mission zZaalbar Juhani Canderous G7",0
"Captainblinx",1,1,48900,Rogue1,"Jyn 6* G8, Chirrut 5* G8, Baze 6* G8, Cassian G8, K-2SO G8",0
"Captainblinx",,,71205,Bad Batch,"zHunter Echo 5* G9, Omega 5* G8, Tech zWrecker G8",0
"Captainblinx",1,0,53885,Jawas,"Nebit G5, Jawa Engineer G5, Jawa Scavenger G5, Jawa G5, Dathcha G5",0
"Edd Vadah",1,0,38674,Troopers,"Veers 5* G9, Starck G7, Gideon 6* G7, Dark Trooper 4* G8, Magma G7",0
"Nitz'd",0,1,141760,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Nitz'd",,,461448,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Jedi Consular's Starfighter, Plo's SF",1
"Nitz'd",0,1,107528,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Nitz'd",0,1,109366,Grievous,"zzGG zB2 zB1 Droideka MagnaGuard",1
"Nitz'd",1,1,136827,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Nitz'd",1,1,106344,Revan Offense,"zzzJKR zGMY zHYoda zJolee Ezra",1
"Nitz'd",1,1,83346,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Nitz'd",0,1,101806,BH,"zzBossk Zam The Mandalorian, Jango Boba",1
"Nitz'd",0,1,67190,Phoenix,"Hera G8, Kanan G8, Chopper Zeb G8, Sabine G8",1
"Nitz'd",1,1,87623,NS_Alt,"zMT G9, Acolyte G9, Daka zAV Zombie",0
"Nitz'd",1,1,106456,zEP,"zzEP zzzVader Tarkin Traya G7, zMara Jade, The Emperor's Hand 6*",0
"Nitz'd",1,0,81593,Troopers,"zVeers Starck G8, zPiett 4* G8, zGideon zDark Trooper",0
"Nitz'd",1,0,73849,CLS,"zCLS Han Leia G8, Old Ben G7, Chewbacca G9",0
"Nitz'd",0,1,66627,FO,"KRU Kylo G9, FOO G7, FOSFTP G7, FOE",0
"HB1990",0,1,61190,Phoenix,"Hera G8, Kanan G8, Chopper G8, Zeb G8, Ezra G9",1
"HB1990",,,32609,Phasma,"Phasma 5* G8, FOE 5* G8, FOO 5* G8, KRU 5* G8, Kylo 5* G8",0
"HB1990",1,1,33161,NS_Alt,"MT 5* G8, AV 5* G8, Talia 5* G8, Spirit 5* G8, Daka 5* G8",0
"HB1990",1,1,55711,zEP,"EP Vader Tarkin G8, Dooku 5* G8, DN 5* G8",0
"HB1990",1,0,33161,501st,"Rex 5* G8, Clone Sergeant 5* G8, Echo (501st) 5* G8, Fives 5* G8, Ahsoka 5* G8",0
"HB1990",1,0,46495,Troopers,"Veers 5* Starck G9, Piett 4* G9, Gideon 5* Dark Trooper 4* G9",0
"HB1990",1,0,35441,Wiggs,"Wedge 5* G8, Biggs 6* G8, Leia 6* G8, Chirrut 5* G8, Baze 5* G8",0
"Analyst",,,32609,Phasma,"Phasma 5* G8, FOE 5* G8, FOO 5* G8, KRU 5* G8, Kylo 5* G8",0
"Analyst",1,1,33161,NS_Alt,"MT 5* G8, AV 5* G8, Talia 5* G8, Spirit 5* G8, Daka 5* G8",0
"Analyst",1,1,55248,zEP,"EP 5* Vader Tarkin Dooku 5* G8, DN 5* G8",0
"Analyst",0,1,61817,BH,"Bossk 3* G9, IG-88 G9, Cad G8, Greedo 5* G8, Boba G9",0
"Analyst",1,0,33161,501st,"Rex 5* G8, Clone Sergeant 5* G8, Echo (501st) 5* G8, Fives 5* G8, Ahsoka 5* G8",0
"Analyst",1,0,33161,Wiggs,"Wedge 5* G8, Biggs 5* G8, Leia 5* G8, Chirrut 5* G8, Baze 5* G8",0
"Analyst",0,1,46641,Phoenix,"Hera 5* G9, Kanan 6* G8, Chopper 6* G8, Zeb 6* G8, Ezra 6* G8",0
"Hondo",0,1,68566,BS,"BS G9, GMY Jolee G9, Old Ben G9, JKA G9",0
"Fallen",0,1,110225,DRMalak,"zzzDR HK-47 zBSF zMalak 6* Sith Empire Trooper",1
"Fallen",1,1,98699,Revan Offense,"zzJKR GMY BS Jolee JKA",1
"Fallen",1,1,85159,Carth,"Carth Onasi, Mission Zaalbar Juhani Canderous",1
"Fallen",0,1,59820,Grievous,"GG B2 G7, Dooku G7, IG-88 G7, T3-M4 G7",0
"Fallen",1,0,78001,ShaakClones,"Shaak Ti 4* G9, Rex Echo (501st), zzFives Clone Sergeant G8",0
"Fallen",1,0,67661,Wiggs,"Wedge G8, Biggs G8, CLS Fulcrum G8, Leia G7",0
"Fallen",0,1,52571,Phoenix,"Hera G8, Kanan G7, Chopper G7, Zeb G7, Ezra G7",0
"Fallen",1,0,62413,Jawas,"Nebit Jawa Engineer G8, Jawa Scavenger G7, Jawa G9, Dathcha",0
"Belrosa",0,1,44093,Phoenix,"Hera G8, Kanan 6* G7, Chopper G7, Zeb G7, Ezra G7",0
"Grant1913",0,1,61990,Phoenix,"Hera Kanan G9, Chopper G8, Zeb G8, Ezra",1
"Grant1913",,,48057,Phasma,"Phasma G7, FOTP G7, FOSFTP G7, KRU Kylo G7",0
"Grant1913",0,1,53442,BH,"Bossk 5* G9, Cad G7, The Mandalorian G8, Greef 6* G9, Boba G8",0
"lolxd",0,1,60203,Phoenix,"Hera Kanan G9, Chopper G8, Zeb G8, Ezra G9",1
"lolxd",0,1,72988,Geonosians,"GBA Sun Fac, Geo Soldier G9, Geo Spy, Poggle",0
"lolxd",0,1,44098,BS,"BS 5* G8, GMY G6, JKA G8, Old Ben G9, Ahsoka G7",0
"AvGPuD",0,1,39082,Phoenix,"Hera G7, Kanan G7, Chopper G6, Zeb G6, Ezra G7",0
"Alecblake123",,,176538,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Alecblake123",,,170372,LV,"zzzzzzLord Vader, zzPiett zzzMaul zRG zzzVader",1
"Alecblake123",,,123076,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Alecblake123",1,1,156897,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Alecblake123",,,163059,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"Alecblake123",1,1,161539,GL Rey,"zzzzzzRey zzzJTR zzBB-8 zRH Poe, zRH Finn",1
"Alecblake123",1,1,112091,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Alecblake123",,,593240,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Tie Adv, TIE Reaper",1
"Alecblake123",,,156937,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"Alecblake123",1,0,145880,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Alecblake123",,,516473,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Alecblake123",,,307524,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Alecblake123",,,469508,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Alecblake123",0,1,93072,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Alecblake123",0,1,140854,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Alecblake123",1,0,127378,Traya,"zzTraya zzDN zSion zzEP Sith Empire Trooper",1
"Alecblake123",,,108551,Mon Mothma,"zzMon Mothma, zPao Hoth Rebel Scout, Bistan zCara Dune",1
"Alecblake123",,,137789,Disintegration,"Aurra zzGreef zBoba zzBossk zzThe Mandalorian",1
"Alecblake123",1,1,86112,Ewoks,"zChirpa Elder Paploo G9, zWicket Logray G9",1
"Alecblake123",1,0,155216,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Alecblake123",1,1,92937,Carth,"zCarth Onasi, zMission zZaalbar zVandor Chewbacca G9, Canderous",1
"Alecblake123",0,1,147824,BH,"zzJango zZam zDengar zFennec Shand, zBoba Fett, Scion of Jango",1
"Alecblake123",1,0,124131,Troopers,"zVeers zStarck Shoretrooper zzGideon zDark Trooper",1
"Alecblake123",0,1,85501,Phoenix,"Hera Kanan G8, Zeb G8, Sabine G8, zEzra",1
"Alecblake123",1,1,111639,Rogue1,"zzJyn Chirrut Baze zCassian K-2SO G9",1
"Alecblake123",1,0,76282,Jawas,"Nebit G8, Jawa Engineer G9, Jawa Scavenger G8, Jawa Dathcha",1
"Alecblake123",1,0,68279,QiraNest,"zQira zNest zzHYoda",1
"Alecblake123",,,80504,Iden Troopers,"zIden Versio, Stormtrooper G8, Snowtrooper Magma G8, DT",0
"Alecblake123",,,117202,Bad Batch,"zHunter zEcho Omega G9, zTech zWrecker",0
"Allana",0,1,66646,Phoenix,"Hera G9, Kanan G8, Chopper G8, Zeb G8, Ezra",1
"Allana",,,38429,Phasma,"Phasma 6* G8, FOE 5* G8, FOO 5* G8, KRU 5* Kylo 5* G8",0
"Allana",1,1,33161,NS_Alt,"MT 5* G8, AV 5* G8, Talia 5* G8, Spirit 5* G8, Daka 5* G8",0
"Allana",1,1,50984,zEP,"EP Vader G8, Tarkin 6* Dooku 5* G8, DN 5* G8",0
"Allana",1,0,33161,501st,"Rex 5* G8, Clone Sergeant 5* G8, Echo (501st) 5* G8, Fives 5* G8, Ahsoka 5* G8",0
"Allana",1,0,36280,Wiggs,"Wedge 5* G8, Biggs 5* G8, Leia 6* G9, Chirrut 5* G8, Baze 5* G8",0
"znub",,,131994,Phasma,"zPhasma zFOTP FOE zzKRU zKylo",1
"znub",0,1,88407,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"znub",0,1,90966,BH,"zBossk IG-88 Cad Jango Boba",1
"znub",0,1,65741,padme,"Padme G8, GK G8, JKA 6* G9, Ahsoka C-3PO 5* G7",0
"znub",1,0,81461,CLS,"zzCLS zHan zChewbacca 6* R2-D2 G6, Chewpio 4* G7",0
"znub",1,0,66168,Traya,"zTraya 6* G9, DN 4* G8, Sion 5* G8, BSF 4* G8, zEP",0
"znub",1,1,68743,Ewoks,"zChirpa 5* Elder zPaploo G9, Teebo G8, Logray 5* G8",0
"znub",1,0,75899,Clones,"Cody G7, Rex Echo (501st) G9, zFives Clone Sergeant G8",0
"znub",1,0,58118,Troopers,"zVeers G7, Starck G6, zPiett 5* G7, zIden Versio 3* G7, Stormtrooper G7",0
"znub",,,61905,Bad Batch,"zHunter 5* Echo 4* G9, Omega 5* G7, Tech 5* zWrecker 5* G9",0
"znub",1,0,34419,ThrawnTroopers,"Thrawn 5* G6, Range Trooper 5* G6, DT 5* G7, Shoretrooper 6* G7, Snowtrooper G6",0
"znub",0,1,51145,Phoenix,"Hera G7, Kanan G7, Chopper G8, Zeb G7, Ezra G7",0
"Nitz",,,176590,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzMace zGK",1
"Nitz",,,124790,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Nitz",1,1,161261,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Nitz",1,1,136412,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Nitz",,,178633,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Nitz",1,0,151322,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Nitz",0,1,120551,DRMalak,"zzzDR zHK-47 zBSF zzMalak Sith Assassin G8",1
"Nitz",,,528729,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing 6*, Clone Sergeant's ARC-170, Plo's SF",1
"Nitz",,,370798,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Nitz",,,424365,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Nitz",0,1,133787,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Nitz",0,1,127321,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"Nitz",1,1,126509,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 Finn G8",1
"Nitz",,,111082,Mon Mothma,"zzMon Mothma, Wedge Lando Biggs zCara Dune",1
"Nitz",1,1,82728,Ewoks,"zChirpa G9, Elder Paploo Wicket G8, zLogray",1
"Nitz",1,0,154958,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Nitz",0,1,150670,BH,"zzBossk Cad zzJango zDengar zBoba",1
"Nitz",1,1,125697,zEP,"zzEP zzzVader Tarkin TFP zzMara Jade, The Emperor's Hand 6*",1
"Nitz",1,0,119031,Troopers,"zVeers zStarck zzPiett zGideon zDark Trooper",1
"Nitz",0,1,97767,Phoenix,"zHera G8, zKanan zZeb G8, zSabine zEzra",1
"Nitz",1,0,115146,zMaul,"zDarth Maul, zDooku zDN zSidious zSavage",1
"Nitz",0,1,149500,BS,"zBS zzGMY zJolee zzOld Ben, zzHYoda",1
"Nitz",1,0,72688,Jawas,"Nebit G8, Jawa Engineer, Jawa Scavenger, Jawa G9, Dathcha G9",1
"Nitz",1,0,29347,NestSolo (Counter),"zNest",1
"Nitz",1,0,20236,SionSolo (Counter),"zSion",1
"Nitz",1,1,84474,Carth,"zCarth Onasi, Mission G8, zZaalbar zJuhani Canderous G7",0
"Nitz",,,68233,Iden Troopers,"zIden Versio 3* G8, Shoretrooper G9, Snowtrooper Magma G8, DT G8",0
"Nitz",,,85875,Bad Batch,"zHunter G9, zEcho 6* zzOmega G8, zTech G9, zWrecker G9",0
"MINI Hope",0,1,116899,DRMalak,"zzzDR HK-47 zBSF zzMalak Sith Empire Trooper",1
"MINI Hope",1,1,105242,Revan,"zzzJKR BS GMY zJolee zGK",1
"MINI Hope",1,1,87106,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
