Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Nitz",991936212,7452634,4421392,3031242,145,41,503,418,2423308,1998084,175,9,560,3,241,85,94,106,132,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,23,10,11
"Edd Vadah",752936177,641848,386239,255609,151,-1033,20,0,107308,276801,0,0,0,0,22,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sylph",969146723,459240,346274,112966,306,-228,75,0,158778,173072,0,0,0,0,16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"DarthShade",612692916,1083431,594955,488476,121,-613,13,92,228838,365430,4,0,0,0,45,0,0,10,19,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Grant1913",853288313,1461768,824721,637047,129,-1,19,58,442975,381295,5,1,3,0,38,0,1,7,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"VoidedSouls24",896149329,2493438,1606960,886478,181,167,120,130,929586,675243,39,1,13,0,84,1,3,27,53,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3
"znub",913947995,2992482,1795704,1196778,150,-98,61,153,921292,873725,31,6,45,0,96,6,10,27,40,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"lnquisitor Saldag",618688236,507458,309557,197901,156,-578,0,0,121967,187590,2,0,0,0,24,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chaotik",726473466,1492987,890824,602163,147,91,0,13,492733,385940,3,1,0,0,60,0,0,2,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Zamp",613466415,588600,403774,184826,218,-379,19,0,178721,224602,0,0,0,0,17,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Sans",156217258,1515859,1057927,457932,231,57,0,105,584065,473862,9,0,5,0,35,1,1,14,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Itzcoatl",755865424,601027,354132,246895,143,-334,0,16,160991,193141,1,0,0,0,15,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
