Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Akatosh,485165597,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Akatosh,485165597,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Akatosh,485165597,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Akatosh,485165597,0,0,0,Seps (1%): Dooku Jango GG B1 AV
Akatosh,485165597,0,0,0,SEE P1 5%: SEE Malak Darth Talon EP Sith Marauder
Akatosh,485165597,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Akatosh,485165597,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Akatosh,485165597,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Akatosh,485165597,0,0,0,JKL + JML (6%): JKL JMLS HYoda GMY Old Ben
Nitz,991936212,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Nitz,991936212,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Nitz,991936212,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Nitz,991936212,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Nitz,991936212,0,0,0,JKL + JML (6%): JKL JMLS Mace Ezra Old Ben
Nitz,991936212,0,0,0,Seps (1%): Dooku Jango Geo Spy Sun Fac AV
Nitz,991936212,0,0,0,GG (2%): GG B1 Droideka B2 Dark Trooper
Nitz,991936212,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
Captainblinx,613873926,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Captainblinx,613873926,0,0,0,SEE P1 5%: SEE Malak Sidious DR Sith Marauder
Captainblinx,613873926,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Captainblinx,613873926,0,0,0,Seps (1%): Dooku Jango GG GBA B1
Captainblinx,613873926,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS BS
Captainblinx,613873926,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
