Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Nitz'd,961325798,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Nitz'd,961325798,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Nitz'd,961325798,7,0,7,Dooku+Asajj: Dooku G5 AV
Fallen,961276461,10,0,10,Dooku+Asajj: Dooku G7 AV G7
Sans,156217258,17,9,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
Captainblinx,613873926,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Captainblinx,613873926,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Captainblinx,613873926,0,0,0,Dooku+Asajj: Dooku AV
SlomoH2O jr,761727626,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
Allana,934272141,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
Nitz,991936212,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Nitz,991936212,0,0,0,Dooku+Asajj: Dooku AV
Nitz,991936212,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Nitz,991936212,7,1,6,Troopers: Veers G11 Piett Gideon G11 Dark Trooper Range Trooper G8 6*
Chaotik,726473466,11,0,11,Dooku+Asajj: Dooku G8 6* AV G5 3*
Mhann Uhdea,778762287,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
VoidedSouls24,896149329,3,1,2,Troopers: Veers Piett Gideon Dark Trooper G11 Range Trooper G11
VoidedSouls24,896149329,20,0,20,Dooku+Asajj: Dooku G1 3* AV G3 4*
VoidedSouls24,896149329,12,0,12,Geos: GBA G10 Poggle G10 Geo Soldier G11 Sun Fac G8 Geo Spy G9
znub,913947995,13,0,13,Dooku+Asajj: Dooku G5 6* AV G6
znub,913947995,4,0,4,Geos: GBA Poggle G11 Geo Soldier G11 Sun Fac G11 Geo Spy G11
lolxd,177442627,8,0,8,Dooku+Asajj: Dooku G9 AV G7 3*
lolxd,177442627,15,8,7,Geos: GBA Poggle G11 Geo Soldier G9 Sun Fac G10 Geo Spy G11
MINI Hope,246311295,11,0,11,Dooku+Asajj: Dooku AV G1
MINI Hope,246311295,18,0,18,Geos: GBA G1 Poggle G10 Geo Soldier G10 Sun Fac G9 Geo Spy
Mitty1972,974318615,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mitty1972,974318615,12,0,12,Grievous: GG G8 B2 G9 B1 G9 Nute G11 MagnaGuard G11
Mitty1972,974318615,13,0,13,Troopers: Veers G10 Piett G10 6* Gideon G11 Dark Trooper G9 Range Trooper G7 6*
Mitty1972,974318615,6,1,5,Dooku+Asajj: Dooku G7 AV
Analyst,258563482,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
HB1990,678394388,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
