Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Nitz,991936212,0,0,0,151643,Padme JKA Ahsoka GK GMY
lnquisitor Saldag,618688236,78,4,74,20382,Padme G0 0* JKA G8 Ahsoka G7 GK G0 0* GMY G1
DarthShade,612692916,76,23,53,52342,Padme G1 5* JKA G12 Ahsoka G12 GK G0 0* GMY G12
Edd Vadah,752936177,82,6,76,13881,Padme G0 0* JKA G7 5* Ahsoka G7 GK G0 0* GMY G0 0*
lolxd,177442627,70,33,37,71761,Padme G12 JKA G12 Ahsoka G9 GK G8 5* GMY G12
znub,913947995,49,1,48,65899,Padme G8 JKA G9 6* Ahsoka G10 GK G8 GMY G7
Sylph,969146723,86,2,84,3772,Padme G0 0* JKA G2 1* Ahsoka G4 6* GK G0 0* GMY G0 0*
VoidedSouls24,896149329,46,12,34,86794,Padme G9 JKA G12 Ahsoka G11 GK G12 GMY G12
RichmalTheReborn,575915113,88,0,88,6177,Padme G0 0* JKA G1 5* Ahsoka G1 GK G0 0* GMY G0 0*
Grant1913,853288313,74,14,60,30999,Padme G0 0* JKA G8 4* Ahsoka G4 3* GK G8 5* GMY G10
Sans,156217258,71,13,58,36203,Padme G8 6* JKA G8 5* Ahsoka G8 GK G0 0* GMY G8
Fallen,961276461,50,1,49,59669,Padme G0 0* JKA G11 Ahsoka G11 GK G7 GMY G12
Itzcoatl,755865424,77,13,64,32128,Padme G0 0* JKA G9 Ahsoka G8 GK G0 0* GMY G9 6*
Brucem558,347336842,83,8,75,18670,Padme G0 0* JKA G7 Ahsoka G7 GK G0 0* GMY G1 5*
Nitz'd,961325798,0,0,0,140748,Padme JKA Ahsoka GK GMY
Zamp,613466415,82,5,77,9552,Padme G0 0* JKA G8 5* Ahsoka G5 5* GK G0 0* GMY G0 0*
AvGPuD,545584614,71,7,64,34895,Padme G0 0* JKA G9 Ahsoka G7 GK G0 0* GMY G10
Belrosa,983233755,79,17,62,35087,Padme G0 0* JKA G8 5* Ahsoka G8 GK G0 0* GMY G12
HahalolXD,985332689,83,1,82,3162,Padme G0 0* JKA G4 2* Ahsoka G4 4* GK G0 0* GMY G0 0*
The World Champ,367296627,73,7,66,27556,Padme G0 0* JKA G8 5* Ahsoka G8 GK G0 0* GMY G8
Captainblinx,613873926,6,0,6,145190,Padme G12 JKA Ahsoka GK GMY
Tommy Angelo,429527937,84,1,83,3415,Padme G0 0* JKA G3 1* Ahsoka G4 2* GK G0 0* GMY G0 0*
Chiss Ascendancy,384471193,71,6,65,34714,Padme G0 0* JKA G8 Ahsoka G8 GK G0 0* GMY G9
Mini Noah Boat,698942577,37,9,28,91799,Padme JKA G12 Ahsoka G12 GK G8 6* GMY G12
Sombra,655445779,78,9,69,18169,Padme G0 0* JKA G7 5* Ahsoka G7 GK G0 0* GMY G7 5*
Ethan Owens,443949414,57,12,45,62472,Padme G0 0* JKA Ahsoka G11 GK G4 5* GMY G12
Crovax,873218834,79,5,74,16289,Padme G0 0* JKA G8 5* Ahsoka G8 GK G0 0* GMY G0 0*
HostileHunter,135614982,66,0,66,31031,Padme G0 0* JKA G8 6* Ahsoka G8 GK G0 0* GMY G8
Gonzaleez12,122593812,74,8,66,25529,Padme G0 0* JKA G8 5* Ahsoka G8 GK G0 0* GMY G8
PolarBear,399278196,64,0,64,41666,Padme G1 6* JKA G8 Ahsoka G8 GK G1 GMY G8
allidrA,673329616,0,0,0,149381,Padme JKA Ahsoka GK GMY
Chaotik,726473466,75,8,67,29242,Padme G0 0* JKA G1 1* Ahsoka G8 GK G8 5* GMY G6
FlightingPig,324911882,80,2,78,7387,Padme G0 0* JKA G6 3* Ahsoka G6 4* GK G0 0* GMY G0 0*
BigKopsing,532597427,78,0,78,7305,Padme G0 0* JKA G6 5* Ahsoka G6 4* GK G0 0* GMY G0 0*
Hdwolf,445881368,65,5,60,35992,Padme G0 0* JKA G8 5* Ahsoka G11 GK G0 0* GMY G11
Oberon Calad,771197337,59,12,47,62935,Padme G1 5* JKA G11 Ahsoka G11 GK G8 5* GMY G12
The force,686882798,57,1,56,45493,Padme G0 0* JKA G11 5* Ahsoka G11 GK G0 0* GMY G12
TheRedNihba,385242855,83,8,75,10463,Padme G0 0* JKA G3 1* Ahsoka G4 2* GK G0 0* GMY G8
Cid,475939388,81,4,77,7555,Padme G0 0* JKA G7 4* Ahsoka G6 4* GK G0 0* GMY G0 0*
Vinerax,978892464,63,1,62,33479,Padme G0 0* JKA G8 5* Ahsoka G9 GK G0 0* GMY G11
DragonDeezNutts,245541138,66,0,66,29980,Padme G0 0* JKA G8 Ahsoka G8 GK G0 0* GMY G8
Sidonplays,192852549,73,0,73,14675,Padme G0 0* JKA G8 5* Ahsoka G8 5* GK G0 0* GMY G1 5*
Akatosh,485165597,0,0,0,160291,Padme JKA Ahsoka GK GMY
JediLukeSkywalker Alt,873328237,19,0,19,104877,Padme R3 JKA R3 Ahsoka R3 GK R3 GMY G7
AesirCon,625939589,68,10,58,40014,Padme G9 JKA G8 6* Ahsoka G8 GK G0 0* GMY G7
Nütshot,541627491,33,0,33,91413,Padme G12 JKA G12 Ahsoka G10 GK G12 GMY G11
