Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Mitty1972,974318615,27,0,27,CLS: CLS G12 C-3PO R4 Han G12 Chewbacca G11 6* Chewpio G11
Nitz,991936212,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Nitz,991936212,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Nitz,991936212,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Nitz,991936212,7,0,7,EP: EP Mara Jade, The Emperor's Hand G11 6* Vader Thrawn Malak
Nitz,991936212,25,1,24,Troopers: Veers G11 Piett Dark Trooper Range Trooper G8 6* Gideon G11
Nitz,991936212,36,1,35,Padme/BB: Padme Hunter G9 Echo G10 6* Tech G9 Wrecker G9
MINI Hope,246311295,22,0,22,EP: EP G12 Mara Jade, The Emperor's Hand G11 3* Vader Thrawn G11 6* Malak R3
VoidedSouls24,896149329,33,0,33,Troopers: Veers G12 Piett G12 Dark Trooper G11 Range Trooper G11 Gideon G11
VoidedSouls24,896149329,36,2,34,EP: EP G12 Mara Jade, The Emperor's Hand G11 5* Vader G12 Thrawn G12 Shoretrooper G9 5*
VoidedSouls24,896149329,44,0,44,Padme/BB: Padme G8 Hunter G10 Echo G9 6* Tech G10 Wrecker G9
znub,913947995,35,0,35,EP: EP R4 Mara Jade, The Emperor's Hand G9 4* Vader R3 Thrawn G6 5* RG G7
znub,913947995,43,0,43,Padme/BB: Padme G8 Hunter G11 5* Echo G9 4* Tech G10 5* Wrecker G9 5*
