Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Mitty2023,661571949,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Nitz,991936212,0,0,0,154958,Shaak Ti Fives Rex Echo (501st) ARC Trooper
tfyanks,444795955,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
NaN Bin Arrrgh,453173712,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
MINI Hope,246311295,35,0,35,80636,Shaak Ti G9 4* Fives G12 Rex G12 Echo (501st) G11 ARC Trooper G11
Chaotik,726473466,66,1,65,27340,Shaak Ti G0 0* Fives G11 Rex G7 6* Echo (501st) G7 5* ARC Trooper G0 0*
Sans,156217258,79,16,63,30143,Shaak Ti G0 0* Fives G8 5* Rex G10 5* Echo (501st) G9 5* ARC Trooper G0 0*
VoidedSouls24,896149329,43,1,42,71605,Shaak Ti G9 4* Fives G10 Rex G11 Echo (501st) G9 ARC Trooper G9
DarthShade,612692916,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Belrosa,983233755,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Blinky,631238639,66,0,66,20283,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
RichmalTheReborn,575915113,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Sylph,969146723,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
MittyB2023,765399366,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Force Horse,565651426,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
SlomoH2O jr,761727626,66,0,66,21199,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Grant1913,853288313,80,11,69,16045,Shaak Ti G0 0* Fives G7 6* Rex G7 4* Echo (501st) G7 6* ARC Trooper G0 0*
ExcomuniousForFree,913413975,90,6,84,2941,Shaak Ti G0 0* Fives G6 4* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Pulcho,265698371,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
