Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Edd Vadah,752936177,23,0,23,Troopers: Veers G12 Piett G10 Gideon G11 Dark Trooper G12 Range Trooper G12
Edd Vadah,752936177,28,0,28,Phasma: Phasma G9 FOTP G11 FOSFTP G12 FOST G11 Kylo G9
lolxd,177442627,32,0,32,Phasma: Phasma G12 FOTP G8 4* FOSFTP G9 FOST G7 6* Kylo G12
lolxd,177442627,21,0,21,Geonosians Omicron: GBA G12 Sun Fac G11 Geo Soldier G12 Geo Spy G12 Poggle G12
lolxd,177442627,48,0,48,Troopers: Veers G7 5* Piett G8 5* Starck G7 Dark Trooper G6 3* Range Trooper G4 2*
Crovax,873218834,40,0,40,Phasma: Phasma G8 5* FOE G8 5* FOO G8 5* KRU G8 Kylo G8 5*
Crovax,873218834,23,0,23,Troopers: Veers G12 Piett G10 Gideon G12 Dark Trooper G12 Range Trooper G11 6*
Grant1913,853288313,42,0,42,Phasma: Phasma G7 FOTP G12 FOSFTP G9 FOST G1 4* Kylo G9
Grant1913,853288313,50,0,50,Troopers: Veers G7 5* Piett G9 Gideon G6 5* Dark Trooper G7 5* Range Trooper G1 2*
FlightingPig,324911882,40,0,40,Phasma: Phasma G8 5* FOE G8 5* FOO G8 5* KRU G8 5* Kylo G8 5*
FlightingPig,324911882,37,0,37,Geonosians Omicron: GBA G6 6* Sun Fac G8 Geo Soldier G12 Geo Spy G11 Poggle G6 4*
FlightingPig,324911882,41,0,41,Troopers: Veers G10 Piett G7 4* Starck G7 6* Dark Trooper G7 4* Range Trooper G8 4*
DarthShade,612692916,34,0,34,Grievous Omicron: GG G11 B2 G8 B1 G10 2* MagnaGuard G8 Droideka G9
DarthShade,612692916,24,0,24,Geonosians Omicron: GBA G12 Sun Fac G10 Geo Soldier G11 Geo Spy G12 Poggle G11
AesirCon,625939589,0,0,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
AesirCon,625939589,47,0,47,Phasma: Phasma G8 FOTP G5 4* FOSFTP G3 3* FOST G8 5* Kylo G9
znub,913947995,0,0,0,Phasma: Phasma FOTP FOE KRU Kylo
znub,913947995,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
znub,913947995,36,0,36,padme: Padme G8 GK G8 JKA G9 6* Ahsoka G11 C-3PO G8 5*
znub,913947995,46,0,46,Troopers: Veers G7 Piett G7 5* Starck G6 Dark Trooper G8 5* Range Trooper G6 5*
znub,913947995,27,0,27,CLS: CLS Han G12 Chewbacca G12 Chewpio G7 5* R2-D2 G6
Sans,156217258,21,0,21,Grievous Omicron: GG G12 B2 B1 G11 2* MagnaGuard G8 Droideka G12
The World Champ,367296627,25,0,25,Geonosians Omicron: GBA G11 Sun Fac G11 Geo Soldier G11 Geo Spy G11 Poggle G11
The World Champ,367296627,34,0,34,CLS: CLS G12 Han G10 Chewbacca G11 Chewpio G5 3* R2-D2 G8
JediLukeSkywalker Alt,873328237,0,0,0,padme: Padme GK JKA Ahsoka C-3PO
JediLukeSkywalker Alt,873328237,12,0,12,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy Poggle G12
lnquisitor Saldag,618688236,21,0,21,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G11 6* Geo Spy G12 Poggle G12
lnquisitor Saldag,618688236,43,0,43,Troopers: Veers G1 3* Piett G11 Starck G7 Dark Trooper G9 1* Range Trooper G9
allidrA,673329616,0,0,0,padme: Padme GK JKA Ahsoka CAT
allidrA,673329616,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
allidrA,673329616,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
allidrA,673329616,0,0,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
allidrA,673329616,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
allidrA,673329616,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
allidrA,673329616,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
allidrA,673329616,45,0,45,Phasma: Phasma G1 FOTP G9 FOSFTP G1 FOST G12 Kylo G12
allidrA,673329616,1,0,1,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Mini Noah Boat,698942577,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
