Player,Offense,Defense,GP,Name,Squad,Viable
"MatejC",0,1,88697,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"MatejC",0,1,78624,BH,"zBossk Jango Boba G9, IG-88 G8, zGreef",1
"MatejC",0,1,62855,Phoenix,"Hera G8, Zeb G9, Ezra Chopper G9, Kanan G8",1
"MatejC",1,0,75603,CLS,"zCLS zHan zChewbacca 6* G9, R2-D2 G8, Chewpio 5*",0
"MatejC",1,1,72359,zEP,"EP zzVader Tarkin G8, Dooku 6* G8, Mara Jade, The Emperor's Hand 5* G9",0
"MatejC",0,1,79541,BS,"BS G9, GMY JKA zGK 6* Ahsoka",0
"The JLS",1,0,107646,501st,"zRex Clone Sergeant, zEcho (501st), zzFives zAhsoka",1
"The JLS",0,1,77025,Phoenix,"Hera Zeb G9, Ezra G8, Chopper Kanan G9",1
"The JLS",0,1,120222,BS,"zBS zzGMY G8, zzHYoda zGK zJKA",1
"The JLS",,,56603,Phasma,"Phasma G6, FOE G6, FOO G6, KRU G6, Kylo G6",0
"The JLS",0,1,88546,DR,"zzDR G8, zHK-47 zBSF Sith Assassin G8, Thrawn G9",0
"The JLS",0,1,88895,Geonosians,"zzGBA Sun Fac G8, Geo Soldier, Geo Spy, Poggle",0
"The JLS",,,95970,Mon Mothma,"zzMon Mothma G9, zKyle Katarn, Lando Wedge G9, Jyn",0
"The JLS",1,1,93364,zEP,"zzEP zzzVader Tarkin G7, TFP G8, zMara Jade, The Emperor's Hand",0
"The JLS",1,1,56158,Ewoks,"Chirpa G6, Elder G4, Paploo G5, Wicket G4, Logray G5",0
"The JLS",0,1,58374,BH,"Bossk G7, Boba G6, IG-88 G8, Dengar G5, Cad G5",0
"Gerehe Zosma",0,1,77176,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Gerehe Zosma",0,1,94114,BH,"zzBossk Jango Boba IG-88 Cad",1
"Gerehe Zosma",0,1,110138,FO,"zzKRU zKylo zFOST zHux FOE",1
"Gerehe Zosma",0,1,68760,Phoenix,"Hera G8, Zeb G8, Ezra Sabine G8, zKanan G8",1
"Gerehe Zosma",1,1,50897,NS_Alt,"MT 6* G8, AV G8, Daka G9, Talia 5* G9, Spirit 6* G8",0
"Gerehe Zosma",1,1,84955,zEP,"zEP zVader Tarkin Dooku 6* G8, zSith Trooper",0
"Gerehe Zosma",1,0,49086,501st,"Rex G8, Clone Sergeant 5* G8, Echo (501st) G8, Fives G8, Ahsoka G8",0
"Gerehe Zosma",1,0,54333,Wiggs,"Wedge 5* G8, Biggs G8, Han G8, Chewbacca G9, Leia G8",0
"Gerehe Zosma",1,0,38750,Troopers,"Veers 5* G8, Starck G7, DT 5* G8, Snowtrooper 5* G8, Shoretrooper 5* G8",0
"Gerehe Zosma",1,1,40552,Rogue1,"Jyn 5* G8, Chirrut 5* G8, Baze 5* G8, K-2SO G9, Scarif G7",0
"Gerehe Zosma",0,1,51024,BS,"BS G9, GMY Jolee 6* G8, GK 5* G9, JKA 5* G8",0
"zyb",,,181870,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"zyb",,,189995,LV,"zzzzzzLord Vader, zzPiett zzzMaul zRG zzzVader",1
"zyb",,,145514,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller zJuhani zVisas",1
"zyb",1,1,168673,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"zyb",,,171941,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"zyb",0,1,121052,Qira,"zQira zL3-37 zVandor Chewbacca, zMission zZaalbar",1
"zyb",1,1,172846,GL Rey,"zzzzzzRey zzzJTR zzBB-8 zRH Poe, zRH Finn",1
"zyb",1,1,130044,NS,"zzMT zzAV zDaka Zombie Spirit",1
"zyb",,,643198,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Tie Adv, TIE Reaper",1
"zyb",,,168639,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"zyb",1,0,160682,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"zyb",,,533762,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"zyb",,,354870,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"zyb",,,518300,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Biggs X-wing",1
"zyb",0,1,119670,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"zyb",0,1,140810,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"zyb",1,0,129050,Traya,"zzTraya zDN zSion Sith Empire Trooper, zNest",1
"zyb",,,121649,Mon Mothma,"zzMon Mothma, zPao Scarif zCara Dune, Hoth Rebel Scout",1
"zyb",,,158599,Disintegration,"zAurra zzGreef zBoba zzBossk zzThe Mandalorian",1
"zyb",1,1,89243,Ewoks,"zChirpa Elder zPaploo Wicket Logray",1
"zyb",1,0,153843,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"zyb",0,1,154567,BH,"zzJango zFennec Shand, zDengar Cad zZam",1
"zyb",1,0,138576,Troopers,"zVeers zStarck zIden Versio, zzGideon zDark Trooper",1
"zyb",0,1,98764,Phoenix,"Hera Zeb zEzra zSabine Kanan",1
"zyb",1,1,103775,Rogue1,"zzJyn Chirrut G8, Baze G8, K-2SO G9, zCassian",1
"zyb",,,129469,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"zyb",1,0,75010,Jawas,"Nebit G8, Jawa Engineer G9, Jawa Scavenger G8, Jawa Dathcha G9",1
"zyb",,,123664,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",0
"Untamed Sloth",0,1,105861,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
