Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Millz20",684712353,3199230,1933665,1265565,152,426,110,338,1246607,686271,65,8,126,0,137,22,24,59,65,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,8,7,3
"Bakufett",152667675,3435828,1881127,1554701,120,140,26,263,1079037,801414,52,6,122,0,110,18,26,40,56,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3
"KingKrille",295729596,4163504,2498331,1665173,150,61,212,330,1384189,1113691,65,5,147,0,152,16,38,70,86,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,9,6
"The JLS",647474141,3531821,2257091,1274730,177,189,31,155,1321607,933737,55,3,39,0,157,7,7,40,44,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,2
"Danja",583496927,4689105,2783517,1905588,146,320,56,224,1721175,1060329,59,6,107,0,203,10,28,56,80,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,10,6,5
"Jose Longo",633696187,5238851,3231616,2007235,160,209,51,192,1908754,1320761,89,6,109,0,204,17,22,57,78,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,13,10,7
"Millz",332392187,4518037,2568987,1949050,131,-208,107,297,1250760,1317440,88,8,168,1,164,30,30,71,77,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,9,7,6
"Gloom Walker",516227655,4740551,2733726,2006825,136,86,193,230,1532073,1201653,79,3,121,0,189,18,25,60,85,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,11,8,6
"Naga Sadów",936392725,3354422,2060882,1293540,159,-167,147,259,1024747,1035459,61,7,80,0,128,7,21,50,79,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,6
"Zar Anduli",889632856,4768705,2551896,2216809,115,-25,123,189,1359218,1192678,61,5,73,0,185,9,16,60,93,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,15,9,8
"Jannah Longo",482599677,2933684,1725307,1208377,142,252,85,172,1034340,684129,39,4,18,0,109,0,11,36,55,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
"MrPickles",237175899,4381011,2461630,1919381,128,199,36,157,1448913,1012717,51,6,51,0,182,8,10,49,76,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11,5,7
"Trav",146343631,4331614,2557574,1774040,144,256,67,212,1541355,1016219,46,5,95,0,145,15,17,56,83,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,5
"Sneaky Soy Boy 123",494765873,3847336,2219413,1627923,136,5,26,238,1198645,1020092,33,3,99,0,184,12,23,49,66,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,7,6,4
"Peepeepoopooman",827513585,3822382,2388020,1434362,166,-249,45,185,1138823,1249197,46,2,80,0,152,13,15,40,62,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,4
"lucathepuka",812752189,1559774,863232,696542,123,-590,27,202,338623,524609,20,2,38,0,50,4,9,15,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"Untamed Sloth",741217131,3562237,2197276,1364961,160,-90,56,240,1134168,1062432,59,2,29,0,167,2,24,56,73,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,5
"TRICKSHOT",436272696,3061756,1828329,1233427,148,107,94,102,1033973,793680,39,5,22,0,124,2,6,21,50,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,6,3
"MINI Techno Union",648966762,3586553,2210057,1376496,160,-99,109,243,1136668,1073389,61,6,111,1,132,11,25,40,71,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,7,5
"Mulleg",193362682,2836903,1640896,1196007,137,271,181,260,994886,645334,36,4,90,0,116,13,20,36,59,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,4,3
"blactastic",281334117,3317516,1841612,1475904,124,-74,124,196,958243,883369,44,4,71,0,152,9,15,36,72,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12,6,8
"MatejC",759526265,1465957,832351,633606,131,-125,84,120,419142,406606,14,3,8,0,53,1,2,14,32,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0
"j13hall13",662956843,4226117,2371543,1854574,127,-391,145,332,1047128,1324415,78,9,187,1,159,30,37,66,77,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,14,6,6
"Bski",938232767,6660317,3737696,2922621,127,-134,346,378,1887811,1846053,122,11,386,3,224,57,72,103,131,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,19,12,11
"SirSchuSchu",863647631,5634130,3398883,2235247,152,58,266,291,1878916,1514927,100,9,211,0,195,28,46,76,106,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,16,10,8
"B",948356963,3388544,2079853,1308691,158,137,137,250,1191486,887680,42,6,84,0,143,9,23,45,62,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,9,7,5
"Abra",184464142,2717778,1555717,1162061,133,-242,78,165,743066,809740,31,2,60,0,99,10,12,21,31,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,2
"YeeterSkeeter",819259195,4004048,2369089,1634959,144,125,57,238,1350210,1017540,42,5,133,1,151,18,29,40,63,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,8,7,4
"Bobmaloogax5",993486218,3953049,2634875,1318174,199,181,66,231,1538519,1095669,52,2,107,0,141,19,21,49,82,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,6
"Tantema Garnik",788233588,3187387,1965485,1221902,160,113,89,304,1113342,849485,50,3,105,0,152,17,34,42,48,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,3,2
"wookieguy69",912381174,4815963,2624583,2191380,119,182,280,267,1529988,1088289,73,8,159,1,179,18,36,61,86,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,15,10,5
"Gerehe Zosma",441557869,2737198,1483139,1254059,118,-161,22,165,739640,742823,17,2,41,0,102,6,10,27,39,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,7,6,2
"Schmidty2318",419954121,4377013,2388776,1988237,120,-89,90,229,1233679,1154410,42,5,88,0,199,6,24,59,70,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12,5,6
"Stahzo",647615227,4521035,2662448,1858587,143,-67,108,207,1390185,1272263,90,2,118,0,178,21,21,49,83,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16,13,8
"FunkyWizard",217482916,3401259,2010087,1391172,144,-22,36,89,1071605,937795,11,2,12,0,146,1,4,24,54,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1
"Mol Eliza",669656989,3913949,2257820,1656129,136,-10,61,55,1209040,1045615,5,2,19,0,140,3,3,15,33,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
"canth reed",552172719,243128,132477,110651,119,-381,0,0,58852,73625,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megared",155754252,5639330,3307937,2331393,141,35,77,200,1810398,1494889,122,2,146,0,203,14,33,51,83,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,13,11,6
"Brizz",214666834,113804,91530,22274,410,-884,0,0,27606,60938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gundam Viver",278185814,2883059,1828128,1054931,173,2,115,160,986483,841645,44,2,27,0,136,1,11,30,48,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,5
"BbqBeru",298712984,1231034,836061,394973,211,-27,11,24,444740,391321,12,0,0,0,61,0,0,3,19,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
"Kenn Skirata",446373369,4278091,2295476,1982615,115,-116,53,252,1170529,1124271,39,0,165,0,174,21,33,42,55,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4,1
"DereckRM13",966819857,1613848,938600,675248,139,-524,144,190,381101,552987,17,3,49,0,46,8,9,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
"Dark Shawi",144245956,3408814,2111538,1297276,162,169,45,254,1226497,884365,60,6,79,0,132,10,16,55,73,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4
"BigCon",715466673,734771,485048,249723,194,-342,0,40,220082,264966,2,0,0,0,40,0,0,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Valektra Jetberg",661932482,3712888,2315274,1397614,165,480,34,225,1523782,790816,44,2,74,1,161,11,16,53,68,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,8,7,5
"Bountyy",964856849,844529,486956,357573,136,-86,36,118,252035,234921,5,0,10,0,39,1,2,6,10,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Sam",218527368,2107357,1234401,872956,141,-19,66,120,658775,574950,12,1,17,0,68,1,5,17,27,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
"DarthTalon",387869794,7237699,4237205,3000494,141,142,173,419,2432647,1801908,162,2,357,3,251,45,83,149,167,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,24,11,11
"Willey",136186513,4547329,2693995,1853334,145,-164,55,391,1341777,1352218,85,3,215,0,160,33,42,93,105,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,6,6
