Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
TRICKSHOT,436272696,6,0,6,L1 Old Republic: JKR G9 BS Jolee Mission G10 Zaalbar G11
TRICKSHOT,436272696,4,0,4,L0 BH: Boba Jango Cad The Mandalorian Greedo G4
MINI Techno Union,648966762,7,0,7,L1 Old Republic: JKR BS G11 Jolee G11 Mission G10 Zaalbar G9
MINI Techno Union,648966762,11,0,11,L1 Jawas: Nebit G11 Jawa Engineer Jawa Scavenger G9 Dathcha G8 Jawa G9
MINI Techno Union,648966762,1,0,1,L0 BH: Boba Jango Cad The Mandalorian Greedo G7
MINI Techno Union,648966762,6,5,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R 5*
Untamed Sloth,741217131,7,0,7,L2 Old Republic: JKR BS G12 Jolee G13 Mission G12 Zaalbar G12
Untamed Sloth,741217131,19,0,19,L0 Jawas: Nebit G4 Jawa Engineer G2 Jawa Scavenger G3 Dathcha G7 Jawa G5
Kenn Skirata,446373369,4,0,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
Kenn Skirata,446373369,2,0,2,L0 Carth: Carth Onasi Mission G7 5* Zaalbar 5* Canderous T3-M4 G7 4*
Peepeepoopooman,827513585,8,0,8,L2 Jawas: Nebit Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa G12
Peepeepoopooman,827513585,1,0,1,L0 BH: Boba Jango G7 Cad The Mandalorian Greedo
Peepeepoopooman,827513585,1,0,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R G7 6*
Willey,136186513,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Bobmaloogax5,993486218,8,0,8,L5 Old Republic: JKR BS R5 Jolee R5 Mission R5 Zaalbar R5
Bobmaloogax5,993486218,5,0,5,L1 Jawas: Nebit G11 Jawa Engineer G11 Jawa Scavenger G11 Dathcha G11 Jawa G11
Bobmaloogax5,993486218,7,0,7,L1 BH: Boba Jango G9 Cad G9 The Mandalorian G11 5* Greedo
Bobmaloogax5,993486218,12,11,1,L0 Tuskens: Tusken Chieftain 4* Tusken Raider Tusken Shaman Tusken Warrior 5* URoRRuR'R'R 6*
Dark Shawi,144245956,3,0,3,L1 Old Republic: JKR BS Jolee Mission G10 Zaalbar G11
Dark Shawi,144245956,3,0,3,L0 BH: Boba Jango G5 Cad The Mandalorian Greedo
Stahzo,647615227,6,0,6,L1 Old Republic: JKR BS Jolee Mission G8 Zaalbar G10
Stahzo,647615227,3,0,3,L1 BH: Boba Jango G11 Cad The Mandalorian G11 Greedo G11
Stahzo,647615227,6,0,6,L0 Jawas: Nebit G7 Jawa Engineer Jawa Scavenger G7 Dathcha G7 Jawa G5 5*
B,948356963,5,0,5,L1 Old Republic: JKR BS Jolee Mission G9 Zaalbar G10
B,948356963,3,2,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Trav,146343631,3,0,3,L1 Jawas: Nebit Jawa Engineer G11 Jawa Scavenger Dathcha G11 Jawa G11
Trav,146343631,8,0,8,L1 BH: Boba Jango G11 Cad G9 The Mandalorian G11 Greedo G9
MrPickles,237175899,2,0,2,L2 Old Republic: JKR BS Jolee Mission Zaalbar G12
MrPickles,237175899,8,0,8,L1 Jawas: Nebit Jawa Engineer G10 Jawa Scavenger G11 Dathcha G9 Jawa G10
Valektra Jetberg,661932482,10,0,10,L2 Old Republic: JKR G12 BS G12 Jolee G12 Mission G12 Zaalbar G12
Valektra Jetberg,661932482,5,0,5,L0 Jawas: Nebit G7 Jawa Engineer G7 Jawa Scavenger G7 Dathcha G7 Jawa G7 6*
