Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Willey,136186513,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
SirSchuSchu,863647631,1,1,0,Padme 3%: Padme JKA GK Ahsoka GMY
Bobmaloogax5,993486218,18,18,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
YeeterSkeeter,819259195,14,14,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
wookieguy69,912381174,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
wookieguy69,912381174,0,0,0,JKL + JML (6%): JKL JMLS HYoda GAS Old Ben
Hord,942644416,26,26,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
zyb,515612881,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Sith Trooper Darth Talon
zyb,515612881,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
zyb,515612881,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Dark Trooper
zyb,515612881,0,0,0,SLKR+Armorer 12%: SL Kylo Armorer HYoda Daka Zombie
zyb,515612881,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
zyb,515612881,0,0,0,Seps (1%): Dooku Jango Geo Spy GG Nute
zyb,515612881,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
zyb,515612881,0,0,0,JKL + JML (6%): JKL JMLS Aayla Jolee Mace
zyb,515612881,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Trav,146343631,30,30,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jose Longo,633696187,25,25,0,Padme 3%: Padme JKA GK Ahsoka GMY
Mulleg,193362682,50,50,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Millz20,684712353,28,28,0,Padme 3%: Padme JKA GK Ahsoka GMY
Millz,332392187,0,0,0,DR/Malak 3%: DR Malak BSF HK-47 Sith Marauder
Iridium,812495668,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Iridium,812495668,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Iridium,812495668,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Bski,938232767,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Bski,938232767,1,1,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Bski,938232767,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
j13hall13,662956843,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
B,948356963,40,40,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Zar Anduli,889632856,41,19,22,p1: Padme 3%: Padme G12 JKA R3 GK R1 Ahsoka G12 GMY R1
j13hall13,662956843,9,3,6,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G12
Naga Sadów,936392725,21,3,18,p2: Imperial Troopers 5%: Veers R2 Piett Gideon G12 Range Trooper G12 Dark Trooper R2
Naga Sadów,936392725,35,19,16,p1: DR/Malak 3%: DR Malak BSF R2 HK-47 G11 Sith Marauder G12
The JLS,647474141,22,0,22,p1: Padme 3%: Padme G12 JKA G12 GK Ahsoka GMY G8
Jose Longo,633696187,26,10,16,p2: Shaak 6%: Shaak Ti Fives Rex Echo (501st) G12 ARC Trooper G8
Peepeepoopooman,827513585,41,9,32,p4: Seps (1%): Dooku G12 Jango G7 6* GBA G10 Geo Spy G11 AV
Peepeepoopooman,827513585,35,1,34,p2: Imperial Troopers 5%: Veers G12 Piett G11 5* Gideon G11 Starck G10 Dark Trooper G12
Danja,583496927,4,2,2,p1: Padme 3%: Padme JKA R3 GK Ahsoka CAT
Trav,146343631,38,30,8,p1: Padme 3%: Padme JKA G12 GK Ahsoka R3 GMY
Stahzo,647615227,19,0,19,p2: Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G11 5* Traya G12
Stahzo,647615227,20,0,20,p1: Padme 3%: Padme G12 JKA G11 GK Ahsoka G11 GMY
Bski,938232767,10,8,2,p4: JKR + Rey (7%): JKR R3 Rey RH Finn RH Poe GAS
TRICKSHOT,436272696,43,15,28,p4: Seps (1%): Dooku G8 Jango G12 Geo Soldier GBA G12 Poggle G12
SirSchuSchu,863647631,13,5,8,p2: Shaak 6%: Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
SirSchuSchu,863647631,11,7,4,p4: Rebels (2%): CLS Chewbacca Han Chewpio R3 C-3PO R3
Vertigone,255751531,30,14,16,p1: Padme 3%: Padme G12 JKA R3 GK Ahsoka R3 R2-D2 G12
