Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
YeeterSkeeter,819259195,16,2,14,Dooku+Asajj: Dooku G3 6* AV G7
YeeterSkeeter,819259195,4,0,4,Geos: GBA Poggle G11 Geo Soldier Sun Fac G9 Geo Spy
Mulleg,193362682,10,10,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Zar Anduli,889632856,5,5,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Zar Anduli,889632856,20,15,5,Troopers: Veers G11 Piett Gideon G11 Dark Trooper G9 Range Trooper
Zar Anduli,889632856,15,10,5,Dooku+Asajj: Dooku G11 AV G8
Millz,332392187,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Millz,332392187,13,2,11,Dooku+Asajj: Dooku G7 AV G6
PorgWhispererV2,662884978,10,10,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
PorgWhispererV2,662884978,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
Dark Shawi,144245956,0,0,0,Dooku+Asajj: Dooku AV
Dark Shawi,144245956,18,18,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
MatejC,759526265,15,15,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Willey,136186513,1,0,1,Dooku+Asajj: Dooku AV G11
Willey,136186513,2,1,1,Geos: GBA G11 Poggle Geo Soldier Sun Fac Geo Spy
Kenn Skirata,446373369,8,0,8,Dooku+Asajj: Dooku G8 AV G8 6*
Sneaky Soy Boy 123,494765873,1,1,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Sneaky Soy Boy 123,494765873,7,2,5,Dooku+Asajj: Dooku G10 AV G9
Trav,146343631,14,14,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Trav,146343631,17,2,15,Grievous: GG G9 B2 G8 B1 G9 5* Nute G10 MagnaGuard G9
Trav,146343631,9,5,4,Dooku+Asajj: Dooku G9 AV G11
Vertigone,255751531,14,14,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Vertigone,255751531,10,5,5,Troopers: Veers Piett Gideon Dark Trooper G9 Range Trooper G10
Vertigone,255751531,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
Hord,942644416,16,16,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Hord,942644416,19,14,5,Troopers: Veers Piett Gideon Dark Trooper G9 Range Trooper G10
Hord,942644416,20,3,17,Grievous: GG B2 G8 B1 G8 Nute G8 MagnaGuard G7
Hord,942644416,8,0,8,Dooku+Asajj: Dooku G8 AV G8
Bski,938232767,3,3,0,Grievous: GG B2 B1 Nute MagnaGuard
Bski,938232767,0,0,0,Dooku+Asajj: Dooku AV
Bski,938232767,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Stahzo,647615227,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Stahzo,647615227,0,0,0,Dooku+Asajj: Dooku AV
Stahzo,647615227,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Stahzo,647615227,10,1,9,Troopers: Veers G11 Piett Gideon Dark Trooper G9 5* Range Trooper G7 5*
Millz20,684712353,7,7,0,Grievous: GG B2 B1 Droideka MagnaGuard
Millz20,684712353,11,11,0,Dooku+Asajj: Dooku AV
Millz20,684712353,6,6,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Gerehe Zosma,441557869,8,0,8,Dooku+Asajj: Dooku G8 6* AV G8
Gerehe Zosma,441557869,20,19,1,Geos: GBA Poggle Geo Soldier Sun Fac G11 Geo Spy
SirSchuSchu,863647631,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
SirSchuSchu,863647631,4,4,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
SirSchuSchu,863647631,1,0,1,Dooku+Asajj: Dooku G11 AV
Jose Longo,633696187,17,17,0,Grievous: GG B2 B1 Droideka MagnaGuard
Jose Longo,633696187,5,5,0,Dooku+Asajj: Dooku AV
Jose Longo,633696187,20,11,9,Geos: GBA Poggle G11 Geo Soldier G11 Sun Fac G8 Geo Spy G9
Untamed Sloth,741217131,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Untamed Sloth,741217131,11,1,10,Dooku+Asajj: Dooku G7 AV G7
TRICKSHOT,436272696,12,12,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
TRICKSHOT,436272696,12,1,11,Dooku+Asajj: Dooku G8 AV G5 5*
Danja,583496927,11,9,2,Grievous: GG B2 G11 B1 Droideka G11 MagnaGuard
Danja,583496927,4,1,3,Dooku+Asajj: Dooku G9 AV
Danja,583496927,20,7,13,Geos: GBA G10 Poggle G11 Geo Soldier G11 Sun Fac G7 Geo Spy G8
The JLS,647474141,4,1,3,Dooku+Asajj: Dooku G9 AV
The JLS,647474141,16,10,6,Geos: GBA Poggle G10 Geo Soldier Sun Fac G8 Geo Spy
Valektra Jetberg,661932482,6,6,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Valektra Jetberg,661932482,7,4,3,Dooku+Asajj: Dooku AV G9
Driggz24,586498455,4,4,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Driggz24,586498455,8,0,8,Dooku+Asajj: Dooku G8 AV G8
Schmidty2318,419954121,19,19,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Schmidty2318,419954121,19,1,18,Grievous: GG G8 B2 G8 4* B1 G9 Nute G10 MagnaGuard G7
Schmidty2318,419954121,8,0,8,Dooku+Asajj: Dooku G8 AV G8
Peepeepoopooman,827513585,5,5,0,Dooku+Asajj: Dooku AV
Peepeepoopooman,827513585,14,3,11,Geos: GBA G10 Poggle G10 Geo Soldier G10 Sun Fac G8 Geo Spy G11
zyb,515612881,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
zyb,515612881,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
zyb,515612881,0,0,0,Dooku+Asajj: Dooku AV
zyb,515612881,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
j13hall13,662956843,12,12,0,Grievous: GG B2 B1 Droideka MagnaGuard
j13hall13,662956843,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
j13hall13,662956843,17,0,17,Dooku+Asajj: Dooku G6 4* AV G1
MINI Techno Union,648966762,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
MINI Techno Union,648966762,16,9,7,Troopers: Veers Piett Starck Dark Trooper G9 6* Range Trooper G8 6*
MINI Techno Union,648966762,11,0,11,Dooku+Asajj: Dooku AV G1
Gloom Walker,516227655,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Gloom Walker,516227655,11,6,5,Dooku+Asajj: Dooku G8 AV G11
Tantema Garnik,788233588,15,10,5,Geos: GBA Poggle Geo Soldier Sun Fac G9 Geo Spy G10
Naga Sadów,936392725,19,19,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Naga Sadów,936392725,12,0,12,Dooku+Asajj: Dooku G11 AV G1 4*
wookieguy69,912381174,6,6,0,Grievous: GG B2 B1 Droideka MagnaGuard
wookieguy69,912381174,1,1,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
wookieguy69,912381174,14,2,12,Troopers: Veers G11 Piett G10 5* Gideon G9 Dark Trooper G9 Range Trooper G9
wookieguy69,912381174,4,3,1,Dooku+Asajj: Dooku G11 AV
Fatbabyshark,456783236,6,4,2,Grievous: GG G10 B2 B1 Droideka MagnaGuard
Fatbabyshark,456783236,17,8,9,Dooku+Asajj: Dooku G6 AV G9
blactastic,281334117,13,0,13,Dooku+Asajj: Dooku G10 AV G1
blactastic,281334117,18,16,2,Geos: GBA Poggle G11 Geo Soldier Sun Fac G11 Geo Spy
B,948356963,19,19,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
B,948356963,19,19,0,Grievous: GG B2 B1 Droideka MagnaGuard
B,948356963,17,14,3,Dooku+Asajj: Dooku G9 AV
Iridium,812495668,13,13,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Iridium,812495668,1,1,0,Grievous: GG B2 B1 Nute MagnaGuard
Iridium,812495668,1,0,1,Dooku+Asajj: Dooku G11 AV
Iridium,812495668,4,1,3,Geos: GBA Poggle Geo Soldier G11 Sun Fac G11 Geo Spy G11
Bobmaloogax5,993486218,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Bobmaloogax5,993486218,6,5,1,Dooku+Asajj: Dooku AV G11
