Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Gerehe Zosma,441557869,58,27,31,Supreme Leader Kylo Ren: KRU Kylo FOST FOE G12 FOO G12 FOTP Phasma G13 Hux FOSFTP G12 Sith Trooper Vet Han G12 EP R1 Finalizer 4*
Willey,136186513,57,2,55,Sith Eternal Emperor: EP Vader RG Piett G12 Krennic G12 Sidious G12 Darth Maul G12 Dooku R4 Sith Marauder G6 4* Imperial TIE Bomber 5* JKA R5 Thrawn R5 Tarkin G12 Veers G12 Starck G12
Willey,136186513,12,0,12,Supreme Leader Kylo Ren: KRU Kylo FOST G12 FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper G12 Vet Han EP Finalizer 4*
Danja,583496927,53,2,51,Jedi Master Luke Skywalker: Old Ben G12 JTR R1 C-3PO R3 Mon Mothma G11 Chewpio G12 JKL R2-D2 G12 Han R4 Chewbacca Rebel Y-wing Leia G12 HYoda R3 Wedge R1 Biggs G12 Lando R3
Iridium,812495668,35,35,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
Iridium,812495668,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing 6* Leia HYoda Wedge Biggs Lando
Sneaky Soy Boy 123,494765873,58,58,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 0*
SirSchuSchu,863647631,58,45,13,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator 5* GG Wat Tambor G11 5* MagnaGuard Clone Sergeant QGJ GMY R7 Jango Shaak Ti R6 Cad Cody R3
Hord,942644416,59,5,54,Jedi Master Luke Skywalker: Old Ben G11 JTR G12 C-3PO Mon Mothma G9 Chewpio JKL G12 R2-D2 G11 Han Chewbacca Rebel Y-wing Leia G11 HYoda Wedge G8 Biggs Lando
zyb,515612881,0,0,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
zyb,515612881,53,53,0,Jabba the Hutt: Krrsantan Han Gamorrean Guard Greedo Skiff Guard (Lando Calrissian) JKL Jawa URoRRuR'R'R C-3PO Boushh (Leia Organa) Aurra Fennec Shand Boba Mob Enforcer Outrider
zyb,515612881,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
zyb,515612881,0,0,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
zyb,515612881,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
zyb,515612881,0,0,0,Lord Vader: Hunter Tech Wrecker Tusken Raider Padme GAS Embo Echo (501st) Echo Dooku Zam BTL-B Y-wing Tarkin ARC Trooper Nute
zyb,515612881,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
Bski,938232767,59,59,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Bski,938232767,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
Bski,938232767,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
j13hall13,662956843,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
lucathepuka,812752189,59,30,29,Supreme Leader Kylo Ren: KRU Kylo FOST G12 FOE G12 FOO FOTP Phasma R2 Hux FOSFTP Sith Trooper R3 Vet Han G12 EP G12 Finalizer 0*
YeeterSkeeter,819259195,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
Millz,332392187,52,52,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
MINI Techno Union,648966762,58,58,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber 6* JKA Thrawn Tarkin Veers Starck
Valektra Jetberg,661932482,15,15,0,Rey: JTR R2-D2 C-3PO 5* BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
wookieguy69,912381174,41,41,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
