Player,Offense,Defense,GP,Name,Squad,Viable
"MeMeItsMe",,,169600,JMK,"zzzzzzJMK zJKA zzGMY zzShaak Ti, zGK",1
"MeMeItsMe",1,1,166344,GL Rey,"zzzzzzRey zzzJTR zzBB-8 zRH Poe, zRH Finn",1
"MeMeItsMe",,,538909,Executor,"Executor 5* HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"MeMeItsMe",1,1,104324,NS_Alt,"zzMT zzAV Talia zDaka Zombie",1
"MeMeItsMe",0,1,107832,DR,"zzzDR zzHK-47 zBSF Sith Marauder, Sith Empire Trooper G8",1
"MeMeItsMe",,,391881,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"MeMeItsMe",0,1,93939,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"MeMeItsMe",0,1,127629,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"MeMeItsMe",1,0,132228,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zzC-3PO",1
"MeMeItsMe",1,1,125568,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"MeMeItsMe",1,1,96143,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"MeMeItsMe",0,1,146319,BH,"zzBossk zIG-88 zJango zBoba zDengar",1
"MeMeItsMe",1,1,85534,Carth,"zCarth Onasi, zMission Zaalbar G8, zJuhani Canderous G8",1
"MeMeItsMe",1,1,130545,zEP,"zzEP zzzVader zzTarkin IPD G8, TFP",1
"MeMeItsMe",1,0,121582,Troopers,"zVeers zStarck zDT Magma zzPiett",1
"MeMeItsMe",0,1,87572,FO,"zzKRU zKylo FOE FOO zFOST",1
"MeMeItsMe",0,1,83254,Phoenix,"zHera zEzra Sabine G8, Zeb zKanan",1
"MeMeItsMe",1,1,71396,Rogue1,"zJyn G8, Chirrut G8, Baze G8, Cassian G8, K-2SO G8",1
"MeMeItsMe",1,0,70517,Jawas,"Nebit G8, Jawa Engineer G9, Jawa Scavenger G8, Jawa G9, Dathcha",1
"MeMeItsMe",1,0,24397,SionSolo (Counter),"zSion",1
"MeMeItsMe",,,468128,Negotiator,"Negotiator BTL-B Y-wing 5*, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",0
"MeMeItsMe",,,277208,Malevolence,"Malevolence Hyena Bomber 4*, Vulture Droid 3*, Sun Fac SF, Soldier SF, Spy SF",0
"MeMeItsMe",,,77755,Mon Mothma,"Mon Mothma 6* G8, Lando Biggs Wedge zCara Dune G9",0
"MeMeItsMe",,,79391,Bad Batch,"zHunter zEcho 6* G9, Omega G7, zTech 6* zWrecker G9",0
"MeMeItsMe",,,66519,Mando,"The Mandalorian (Beskar Armor) G9, Dash Rendar 4* G7, Nest G7, IG-11 Kuiil G9",0
"SithGoldblum",,,329849,HansMF,"Home One, Han's MF 6*, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"SithGoldblum",0,1,128780,DR,"zzzDR HK-47 zBSF Sith Marauder, zzThrawn",1
"SithGoldblum",0,1,108556,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"SithGoldblum",1,1,109069,Revan,"zzzJKR zBS GMY zJolee GK G9",1
"SithGoldblum",1,1,95884,Carth,"zCarth Onasi, Mission Zaalbar zJuhani zCanderous",1
"SithGoldblum",0,1,116633,BH,"zzBossk zIG-88 zGreedo zzJango zBoba",1
"SithGoldblum",1,1,133550,zEP,"zzEP zzzVader zzTarkin zKrennic TFP",1
"SithGoldblum",0,1,108031,FO,"zzKRU zKylo FOE FOO FOST",1
"SithGoldblum",0,1,89734,Phoenix,"zHera Ezra Zeb Chopper zKanan",1
"SithGoldblum",1,0,17737,SionSolo (Counter),"Sion",1
"SithGoldblum",1,1,73262,JTR,"JTR G7, Scav Rey, BB-8 G8, R2-D2 Finn",0
"SithGoldblum",1,1,69330,NS,"MT G8, AV Daka Zombie G8, Spirit G8",0
"SithGoldblum",,,386311,Executrix,"Executrix Tie Adv, Emperor's Shuttle 4*, TIE Reaper 3*, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter 1*, FO TIE Fighter",0
"SithGoldblum",1,0,73229,CLS,"zzCLS Han G8, Chewbacca G8, Leia G8, C-3PO G7",0
"SithGoldblum",1,0,67228,ShaakClones,"Shaak Ti 5* G6, Rex Echo (501st) G8, Fives Clone Sergeant G8",0
"SithGoldblum",1,0,100466,Troopers,"zVeers zStarck Snowtrooper G8, Shoretrooper G8, zzPiett",0
"SithGoldblum",1,1,58939,Rogue1,"Jyn 5* G8, Chirrut G8, Baze G8, Cassian G9, K-2SO G8",0
"Talin Vandor",1,1,158830,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Talin Vandor",,,164411,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Talin Vandor",0,1,144459,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Talin Vandor",,,490316,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing, Clone Sergeant's ARC-170, Plo's SF",1
"Talin Vandor",,,286661,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Talin Vandor",1,1,109811,NS_Alt,"zzMT zzAV Talia zDaka Zombie",1
"Talin Vandor",,,430271,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Talin Vandor",1,1,128382,JTR,"zzzJTR zzR2-D2 zzBB-8 RH Finn G9, zRH Poe",1
"Talin Vandor",0,1,93996,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Talin Vandor",0,1,114377,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Talin Vandor",1,0,116256,Traya,"zzTraya zzDN zSion zzEP Sith Empire Trooper",1
"Talin Vandor",,,95719,Mon Mothma,"zzMon Mothma, Hoth Rebel Scout, Baze Chirrut zCara Dune",1
"Talin Vandor",,,526721,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",1
"Talin Vandor",,,115300,Disintegration,"Aurra Greef zBoba zzBossk zzThe Mandalorian",1
"Talin Vandor",1,1,155158,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"Talin Vandor",1,1,96673,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Talin Vandor",1,0,111996,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Talin Vandor",1,1,104904,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"Talin Vandor",0,1,123368,BH,"zzJango zIG-88 Cad zzEmbo zDengar",1
"Talin Vandor",1,0,128965,Troopers,"zVeers zStarck zDT zzPiett zzGideon",1
"Talin Vandor",1,0,131139,CLS,"zzzCLS zHan zLeia zzOld Ben, zzChewbacca",1
"Talin Vandor",0,1,83851,Phoenix,"zHera zEzra Sabine Zeb G8, Kanan G8",1
"Talin Vandor",1,0,119910,zMaul,"zDarth Maul, zDooku zSidious Sith Assassin, zSavage",1
"Talin Vandor",1,0,81872,Jawas,"Nebit G8, Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"Talin Vandor",1,0,14886,NestSolo (Counter),"Nest G9",1
"Talin Vandor",,,131219,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",0
"Talin Vandor",,,97773,Admiral Raddus,"zzAdmiral Raddus, zCassian zzJyn zK-2SO Bistan G8",0
"Talin Vandor",,,64646,Bad Batch,"Hunter G9, Echo 4* G8, Omega G9, Tech 6* G9, Wrecker 6* G8",0
"SithMasterFlex35",,,122867,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"SithMasterFlex35",0,1,85727,Qira,"Qira L3-37 Vandor Chewbacca, zMission zZaalbar",1
"SithMasterFlex35",,,170714,JMLS,"zzzJKR zzJKL zzzzzzJMLS zzHYoda zzzzGAS",1
"SithMasterFlex35",1,0,147109,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"SithMasterFlex35",0,1,129075,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"SithMasterFlex35",1,1,101711,NestSisters,"zzAV zzMT Daka Zombie zNest",1
"SithMasterFlex35",0,1,114479,padme,"zzPadme zGK zJKA zAhsoka CW Chewbacca G8",1
"SithMasterFlex35",,,434706,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing 6*, Clone Sergeant's ARC-170, Plo's SF",1
"SithMasterFlex35",,,416379,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"SithMasterFlex35",1,1,121856,JTR,"zzzJTR zzR2-D2 BB-8 zRH Finn, zRH Poe",1
"SithMasterFlex35",0,1,93334,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"SithMasterFlex35",0,1,109646,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"SithMasterFlex35",1,0,116545,Traya,"zzTraya zDN zSion zzEP zThrawn",1
"SithMasterFlex35",,,106992,Mon Mothma,"zMon Mothma, Lando Biggs Wedge Cara Dune",1
"SithMasterFlex35",1,1,83070,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"SithMasterFlex35",1,0,111678,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"SithMasterFlex35",0,1,115330,BH,"zzBossk zzGreef zJango zBoba Dengar G9",1
"SithMasterFlex35",0,1,73310,Phoenix,"Hera G9, Ezra Sabine G9, Zeb G8, Kanan",1
"SithMasterFlex35",,,68977,Admiral Raddus,"Admiral Raddus 4* G8, Cassian Jyn G8, K-2SO G9, Chirrut G8",0
"SithMasterFlex35",,,283083,Malevolence,"Malevolence Hyena Bomber 5*, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",0
"SithMasterFlex35",,,385881,Executrix,"Executrix Tie Adv, Emperor's Shuttle 4*, TIE Reaper 4*, Imperial TIE Fighter, Gauntlet Starfighter 6*, FOSF TIE Fighter 3*, FO TIE Fighter",0
"SithMasterFlex35",1,0,84108,Troopers,"Veers zzPiett zGideon Dark Trooper G9, Range Trooper 6* G7",0
"SithMasterFlex35",,,70915,Iden Troopers,"zIden Versio, Stormtrooper G8, Snowtrooper G7, Magma G9, DT G9",0
"SithMasterFlex35",,,82051,Bad Batch,"zHunter G9, zEcho G9, Omega G9, zTech G9, zWrecker G8",0
"SithMasterFlex35",1,0,68828,Jawas,"Nebit G8, Jawa Engineer G9, Jawa Scavenger G7, Jawa G8, Dathcha G9",0
"GhostGhostGG",,,170198,JMK,"zzzzzzJMK zJKA zzGMY zzShaak Ti, zGK",1
"GhostGhostGG",,,126616,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"GhostGhostGG",,,504603,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing, Clone Sergeant's ARC-170, Plo's SF",1
"GhostGhostGG",,,309375,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"GhostGhostGG",0,1,128402,Grievous-Wat,"zzGG zB2 zB1 MagnaGuard zWat Tambor",1
"GhostGhostGG",1,0,115950,CLS,"zzzCLS zHan zzChewbacca R2-D2 zC-3PO",1
"GhostGhostGG",1,1,87955,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"GhostGhostGG",0,1,130992,BH,"zzBossk Cad zzJango zBoba Dengar G8",1
