Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"J Croft",741411986,5632615,3368457,2264158,148,147,41,158,1925505,1433922,103,6,117,0,214,21,24,42,58,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,8
"Shadowtrap",337228443,7552022,4321290,3230732,133,-42,245,416,2270783,2047857,178,4,439,3,246,57,97,130,150,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,25,11,11
"Tflynn4141",967139667,5528389,3348282,2180107,153,-27,240,327,1772799,1574807,115,3,265,1,208,32,57,71,98,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,15,8,7
"Odog916",568143631,7109954,4246477,2863477,148,75,119,366,2352805,1884321,182,9,309,2,234,35,86,113,138,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,21,10,10
"Harbe Fulcrum",542331974,6163721,3436665,2727056,126,302,128,381,2102162,1334503,102,2,405,2,204,60,71,83,113,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,17,9,6
"KillerKemphfer",249539328,7521715,4437339,3084376,143,29,173,250,2405168,2018433,187,6,162,0,262,24,27,129,183,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,25,12,12
"Gundy",234294868,5523228,3199084,2324144,137,116,200,399,1808377,1390031,129,1,297,1,194,35,64,97,112,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,20,13,10
"QuarterwayHook",367747775,4422283,2369752,2052531,115,-125,282,260,1197443,1172309,78,1,131,0,160,12,32,57,81,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,12,7,5
"SithMasterFlex35",316494546,6628569,3985771,2642798,150,109,225,265,2234769,1729038,129,2,239,1,232,30,53,75,125,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,18,10,6
"Cade Doneeta",619547922,8132637,4550453,3582184,127,61,448,435,2509200,2038603,187,10,517,4,251,73,112,139,168,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,26,12,12
