Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
halfwayhook,486729994,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
halfwayhook,486729994,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Gundy,234294868,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Gundy,234294868,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
MeMeItsMe,213144715,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
MeMeItsMe,213144715,0,0,0,Seps (1%): Dooku Jango MagnaGuard AV GG
MeMeItsMe,213144715,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Shadowtrap,337228443,0,0,0,Seps (1%): Dooku Jango MagnaGuard GG GBA
Shadowtrap,337228443,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Shadowtrap,337228443,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Shadowtrap,337228443,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Shadowtrap,337228443,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Shadowtrap,337228443,0,0,0,SEE P1 5%: SEE Malak Vader Sith Marauder DR
Shadowtrap,337228443,0,0,0,Padme 3%: Padme JKA GK Ahsoka CAT
микаким,292677973,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Mandigo Duco,938411964,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Mandigo Duco,938411964,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Joshua I K Wilson,172459436,6,6,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Joshua I K Wilson,172459436,0,0,0,JKL + JML (6%): JKL JMLS GAS Jolee Old Ben
Joshua I K Wilson,172459436,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Joshua I K Wilson,172459436,0,0,0,SEE P1 5%: SEE Malak Vader Sith Marauder EP
Tflynn4141,967139667,8,8,0,JMK (8%): JMK GK Ahsoka CAT GAS
T B3AR 14,391652249,0,0,0,JKL + JML (6%): JKL JMLS GAS GMY Old Ben
Talin Vandor,777742531,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Talin Vandor,777742531,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
LukebinSolo,957766271,0,0,0,Rey+Jawa (8%): Rey Dathcha Nebit Jawa Engineer Jawa Scavenger
Ashla Bogan,378192553,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ashla Bogan,378192553,6,6,0,Padme 3%: Padme JKA GK Ahsoka CAT
IHL,852181738,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
IHL,852181738,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
IHL,852181738,0,0,0,Seps (1%): Dooku Jango Nute MagnaGuard GG
IHL,852181738,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
IHL,852181738,0,0,0,JKL + JML (6%): JKL JMLS Mace GMY Old Ben
Chaarisma,226344937,0,0,0,Seps (1%): Dooku Jango Nute AV GG
Chaarisma,226344937,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
Chaarisma,226344937,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Chaarisma,226344937,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Chaarisma,226344937,0,0,0,JKL + JML (6%): JKL JMLS BS GMY Old Ben
Chaarisma,226344937,0,0,0,SEE P1 5%: SEE Malak Darth Talon Sith Marauder Sith Trooper
Chaarisma,226344937,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Chaarisma,226344937,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Cade Doneeta,619547922,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Cade Doneeta,619547922,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Cade Doneeta,619547922,0,0,0,JKL + JML (6%): JKL JMLS JKA BS Old Ben
Cade Doneeta,619547922,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Cade Doneeta,619547922,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
Cade Doneeta,619547922,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
GhostGhostGG,146892488,4,4,0,Padme 3%: Padme JKA GK Ahsoka GMY
GhostGhostGG,146892488,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
CT5555,294933721,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Gundy,234294868,15,9,6,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G12
Gundy,234294868,8,4,4,p1: Padme 3%: Padme JKA R2 GK Ahsoka R4 C-3PO
Gundy,234294868,9,0,9,p2: Shaak 6%: Shaak Ti G12 Fives Rex R4 Echo (501st) R4 ARC Trooper R4
Joshua I K Wilson,172459436,14,2,12,p2: Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya
Ashla Bogan,378192553,11,3,8,p4: Rebels (2%): CLS Chewbacca Han Chewpio G10 5* C-3PO
микаким,292677973,10,0,10,p4: GG (2%): GG B1 G12 Droideka R3 B2 R3 HK-47
микаким,292677973,2,1,1,p1: Padme 3%: Padme JKA GK Ahsoka R4 GMY
микаким,292677973,9,7,2,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn R3
halfwayhook,486729994,6,1,5,p1: Padme 3%: Padme R3 JKA R4 GK Ahsoka R3 CAT
IHL,852181738,2,0,2,p1: Padme 3%: Padme JKA R3 GK Ahsoka CAT
T B3AR 14,391652249,13,0,13,p3: Imperial Troopers 5%: Veers R3 Piett Starck R3 Range Trooper R3 Dark Trooper G11 6*
T B3AR 14,391652249,3,0,3,p2: Shaak 6%: Shaak Ti R4 Fives Rex R3 Echo (501st) ARC Trooper
T B3AR 14,391652249,2,0,2,p1: SEE P1 5%: SEE Malak R3 Vader Sith Marauder EP
GhostGhostGG,146892488,15,5,10,p4: GG (2%): GG B1 R3 Droideka R3 B2 G12 MagnaGuard
GhostGhostGG,146892488,7,0,7,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G11 5*
GhostGhostGG,146892488,15,0,15,p2: Shaak 6%: Shaak Ti Fives R2 Rex Echo (501st) G12 ARC Trooper G12
Tflynn4141,967139667,18,6,12,p2: Shaak 6%: Shaak Ti Fives R3 Rex R3 Echo (501st) G12 ARC Trooper R3
MeMeItsMe,213144715,1,0,1,p1: Padme 3%: Padme JKA GK Ahsoka R4 GMY
LukebinSolo,957766271,10,0,10,p1: Vader P1 10%: Vader KRU Wat Tambor G10 C-3PO R3 BB-8
Black Wülf,466981931,24,0,24,p1: Vader P1 10%: Vader KRU R3 Wat Tambor G8 C-3PO G9 Shaak Ti R2
Black Wülf,466981931,22,0,22,p2: Shaak 6%: Shaak Ti R2 Fives R2 Rex R2 Echo (501st) G11 ARC Trooper G12
Talin Vandor,777742531,14,3,11,p4: GG (2%): GG G12 B1 R3 Droideka R2 B2 IG-88
Mandigo Duco,938411964,7,0,7,p1: Padme 3%: Padme R4 JKA R2 GK R3 Ahsoka R4 GMY
Mandigo Duco,938411964,12,1,11,p3: Vader+Wat 8%: Vader EP Thrawn R2 Wat Tambor G10 Malak
Rhînò,338841631,13,0,13,p4: Seps (1%): Dooku G8 Jango Geo Spy R4 Geo Soldier R4 GBA R4
KillerKemphfer,249539328,15,3,12,p4: Rebels (2%): CLS Chewbacca Han Chewpio G12 C-3PO G12
KillerKemphfer,249539328,15,3,12,p1: Padme 3%: Padme JKA G12 GK Ahsoka G12 GMY
CT5555,294933721,7,1,6,p2: Shaak 6%: Shaak Ti R3 Fives R4 Rex R4 Echo (501st) R3 ARC Trooper
CT5555,294933721,6,0,6,p1: Padme 3%: Padme JKA GK Ahsoka C-3PO G12
CT5555,294933721,7,0,7,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G11
J Croft,741411986,29,6,23,p1: Padme 3%: Padme G11 6* JKA GK G11 5* Ahsoka G9 GMY
QuarterwayHook,367747775,13,0,13,p4: GG (2%): GG R4 B1 R4 Droideka R3 B2 R3 BB-8 G11
QuarterwayHook,367747775,5,0,5,p1: Padme 3%: Padme R4 JKA R4 GK R4 Ahsoka C-3PO R3
