Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Shadowtrap,337228443,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
микаким,292677973,24,8,16,Vader+Nute 12%: Vader Nute G10 Thrawn R3 Wat Tambor G12 Traya
MeMeItsMe,213144715,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Talin Vandor,777742531,19,2,17,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor R1 Traya G12
Rhînò,338841631,22,0,22,Vader+Nute 12%: Vader Nute G9 Thrawn G12 Wat Tambor G11 Traya
LukebinSolo,957766271,24,0,24,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor G10 Traya R2
QuarterwayHook,367747775,56,29,27,Vader+Nute 12%: Vader Nute G11 Thrawn G8 Wat Tambor G9 Traya R4
Joshua I K Wilson,172459436,18,6,12,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya
halfwayhook,486729994,31,6,25,Vader+Nute 12%: Vader Nute G12 Thrawn G10 Wat Tambor G8 Traya R4
Mandigo Duco,938411964,25,4,21,Vader+Nute 12%: Vader Nute G9 Thrawn R2 Wat Tambor G10 Traya R4
Ashla Bogan,378192553,33,1,32,Vader+Nute 12%: Vader Nute G9 Thrawn Wat Tambor G5 Traya G8
T B3AR 14,391652249,18,0,18,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya G12
IHL,852181738,13,0,13,Vader+Nute 12%: Vader Nute Thrawn R1 Wat Tambor Traya G9
KillerKemphfer,249539328,25,1,24,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor G12 Traya G12
Chaarisma,226344937,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Black Wülf,466981931,27,0,27,Vader+Nute 12%: Vader Nute G7 Thrawn G12 Wat Tambor G8 Traya
Cade Doneeta,619547922,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
GhostGhostGG,146892488,33,10,23,Vader+Nute 12%: Vader Nute G11 Thrawn G11 5* Wat Tambor Traya G9
Gundy,234294868,26,8,18,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor Traya G12
Tflynn4141,967139667,27,9,18,Vader+Nute 12%: Vader Nute G11 Thrawn G8 Wat Tambor Traya R4
