Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Chaarisma,226344937,0,0,0,GAS Special: GAS Ahsoka
Chaarisma,226344937,0,0,0,JKL: JKL HYoda GMY Jolee GK
Chaarisma,226344937,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Chaarisma,226344937,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Chaarisma,226344937,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Chaarisma,226344937,4,0,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
CopsOutside,895322664,18,0,18,ROLO: ROLO G6 6* Chirrut G8 6* Han CLS Chewbacca
CopsOutside,895322664,13,1,12,Shaak Ti: Shaak Ti G10 6* Rex Echo (501st) ARC Trooper G10 Fives
Gundy,234294868,0,0,0,GAS Special: GAS Ahsoka
Gundy,234294868,0,0,0,JKL: JKL HYoda GMY Jolee GK
Gundy,234294868,8,8,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Gundy,234294868,20,16,4,Finn: Finn G12 RT RH Finn RH Poe JTR
Gundy,234294868,4,0,4,Shaak Ti: Shaak Ti G12 Rex Echo (501st) ARC Trooper Fives
Ashla Bogan,378192553,0,0,0,ROLO: ROLO Cpt Solo Han Chewbacca Lando
Ashla Bogan,378192553,8,8,0,JKL: JKL HYoda GMY Jolee GK
Ashla Bogan,378192553,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
halfwayhook,486729994,1,1,0,GAS Special: GAS Ahsoka
halfwayhook,486729994,7,7,0,JKL: JKL HYoda GMY Jolee GK
halfwayhook,486729994,1,1,0,CLS: CLS Han Chewbacca Chewpio C-3PO
halfwayhook,486729994,14,0,14,ROLO: ROLO Cpt Solo Biggs Baze G2 Lando
halfwayhook,486729994,15,3,12,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G12 Fives
T B3AR 14,391652249,0,0,0,JKL: JKL HYoda GMY Jolee GAS
T B3AR 14,391652249,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
T B3AR 14,391652249,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Odog916,568143631,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
