Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Shadowtrap,337228443,10,10,0,JMLS: JMLS JKL JKR GMY HYoda
Shadowtrap,337228443,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Shadowtrap,337228443,4,0,4,EP: EP Mara Jade, The Emperor's Hand R1 Vader Thrawn Malak
Revenant SubZero,217859353,7,0,7,EP: EP Mara Jade, The Emperor's Hand G11 5* Vader Thrawn Malak
Revenant SubZero,217859353,34,16,18,Troopers: Veers R3 Piett Dark Trooper G11 6* Range Trooper G11 6* Starck R3
Revenant SubZero,217859353,34,0,34,Padme/BB: Padme Hunter G11 5* Echo G9 4* Tech G9 5* Wrecker G9 5*
Jadenhawke,797846433,28,4,24,EP: EP G11 Mara Jade, The Emperor's Hand G9 Vader Thrawn G12 Malak R3
Jadenhawke,797846433,25,2,23,CLS: CLS C-3PO G11 6* Han G12 Chewbacca R3 Chewpio G10
Jadenhawke,797846433,38,2,36,Padme/BB: Padme G13 Hunter G12 Echo G10 Tech G12 Wrecker G7
Jadenhawke,797846433,48,1,47,Troopers: Veers G10 Piett G11 Dark Trooper G9 Range Trooper G6 Gideon G7
Cade Doneeta,619547922,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Cade Doneeta,619547922,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Cade Doneeta,619547922,12,4,8,EP: EP Mara Jade, The Emperor's Hand G12 Vader Thrawn Malak R3
Cade Doneeta,619547922,17,0,17,Troopers: Veers R3 Piett Dark Trooper G11 Range Trooper G12 Starck R3
Chaarisma,226344937,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Chaarisma,226344937,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Chaarisma,226344937,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Chaarisma,226344937,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Chaarisma,226344937,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Chaarisma,226344937,10,0,10,Troopers: Veers R3 Piett Dark Trooper Range Trooper G12 Starck R3
Odog916,568143631,9,9,0,JMLS: JMLS JKL JKR GMY HYoda
Odog916,568143631,10,0,10,EP: EP Mara Jade, The Emperor's Hand G8 5* Vader Thrawn Malak
Odog916,568143631,2,0,2,CLS: CLS R3 C-3PO Han Chewbacca Chewpio
Odog916,568143631,22,0,22,Troopers: Veers R3 Piett Dark Trooper G7 6* Range Trooper G11 6* Starck R3
Odog916,568143631,45,1,44,Padme/BB: Padme R3 Hunter G8 5* Echo G7 4* Tech G8 5* Wrecker G7 4*
