Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Shadowtrap,337228443,0,0,0,142610,Shaak Ti Fives Rex Echo (501st) ARC Trooper
GhostGhostGG,146892488,38,20,18,118080,Shaak Ti Fives G12 Rex Echo (501st) G12 ARC Trooper G12
Joshua I K Wilson,172459436,16,3,13,128159,Shaak Ti R4 Fives Rex Echo (501st) G12 ARC Trooper G12
Gundy,234294868,9,0,9,126015,Shaak Ti G12 Fives Rex R4 Echo (501st) R4 ARC Trooper R4
Cade Doneeta,619547922,0,0,0,140043,Shaak Ti Fives Rex Echo (501st) ARC Trooper
KillerKemphfer,249539328,32,2,30,109990,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Odog916,568143631,36,0,36,92613,Shaak Ti R1 Fives R1 Rex R1 Echo (501st) G12 ARC Trooper G0 0*
sharks198,449632632,59,32,27,108099,Shaak Ti R4 Fives R1 Rex R1 Echo (501st) G9 ARC Trooper G9
Obimaul,874151592,54,5,49,65793,Shaak Ti G12 Fives G8 Rex G7 Echo (501st) G7 ARC Trooper G7
Revenant SubZero,217859353,0,0,0,142880,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ashla Bogan,378192553,0,0,0,134646,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jadenhawke,797846433,42,1,41,90617,Shaak Ti G12 Fives G10 Rex G12 Echo (501st) G8 ARC Trooper G7
микаким,292677973,39,3,36,91958,Shaak Ti R4 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G1 4*
MeMeItsMe,213144715,35,17,18,120687,Shaak Ti Fives G11 Rex R1 Echo (501st) R4 ARC Trooper G12
QuarterwayHook,367747775,44,10,34,98128,Shaak Ti G12 Fives R2 Rex G10 Echo (501st) G7 ARC Trooper G12
halfwayhook,486729994,38,20,18,118793,Shaak Ti Fives Rex G12 Echo (501st) G12 ARC Trooper G12
Chaarisma,226344937,0,0,0,156113,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Tflynn4141,967139667,32,20,12,126950,Shaak Ti Fives R3 Rex R3 Echo (501st) G12 ARC Trooper R3
Mandigo Duco,938411964,32,1,31,104242,Shaak Ti R3 Fives G11 Rex G12 Echo (501st) G12 ARC Trooper G8
CopsOutside,895322664,21,1,20,109492,Shaak Ti G10 6* Fives R4 Rex R4 Echo (501st) R3 ARC Trooper G10
Black Wülf,466981931,22,0,22,111994,Shaak Ti R2 Fives R2 Rex R2 Echo (501st) G11 ARC Trooper G12
Talin Vandor,777742531,24,0,24,111996,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
J Croft,741411986,39,0,39,87188,Shaak Ti Fives G9 Rex G8 Echo (501st) G8 ARC Trooper G8
CT5555,294933721,7,0,7,128479,Shaak Ti R2 Fives R4 Rex R4 Echo (501st) R3 ARC Trooper
Rhînò,338841631,28,0,28,105376,Shaak Ti Fives G11 Rex G11 Echo (501st) G11 ARC Trooper G11
LukebinSolo,957766271,30,0,30,108773,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Captainblinx,613873926,0,0,0,136654,Shaak Ti Fives Rex Echo (501st) ARC Trooper
T B3AR 14,391652249,3,0,3,138613,Shaak Ti R4 Fives Rex R3 Echo (501st) ARC Trooper
IHL,852181738,0,0,0,151724,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Sarith LeKit,468758227,19,0,19,117444,Shaak Ti Fives G12 Rex R4 Echo (501st) G12 ARC Trooper G12
