Player,Offense,Defense,GP,Name,Squad,Viable
"Rick Sher Wood",,,182097,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Rick Sher Wood",,,177472,LV,"zzzzzzLord Vader, zzPiett zzzVader zRG zzTarkin",1
"Rick Sher Wood",,,163797,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), zKrrsantan zBoba",1
"Rick Sher Wood",,,143004,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller zzOld Ben, zVisas",1
"Rick Sher Wood",1,0,154234,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Rick Sher Wood",0,1,120306,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Assassin G8",1
"Rick Sher Wood",1,1,110171,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Rick Sher Wood",,,494990,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing, Clone Sergeant's ARC-170, Plo's SF",1
"Rick Sher Wood",,,430271,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Rick Sher Wood",1,1,119442,JTR,"zzzJTR zzR2-D2 zzBB-8 RH Finn G8, RH Poe G9",1
"Rick Sher Wood",0,1,139152,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Rick Sher Wood",1,0,141656,Traya,"zzTraya zzDN zSion zDooku zzThrawn",1
"Rick Sher Wood",,,112218,Mon Mothma,"zzMon Mothma, Wedge Lando Biggs Chirrut",1
"Rick Sher Wood",1,1,146816,Revan Offense,"zzzJKR zzGMY zzHYoda zJolee zJKA",1
"Rick Sher Wood",1,1,91816,Ewoks,"zChirpa Elder Paploo Wicket zLogray",1
"Rick Sher Wood",1,0,142161,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Rick Sher Wood",1,1,90274,Carth,"zCarth Onasi, zMission zZaalbar zVandor Chewbacca G9, Canderous G8",1
"Rick Sher Wood",0,1,150822,BH,"zzBossk zzJango zDengar zZam zFennec Shand",1
"Rick Sher Wood",0,1,103987,FO,"zzKRU zKylo zHux FOO FOE",1
"Rick Sher Wood",0,1,76061,Phoenix,"Hera G8, zEzra Kanan G8, Zeb G8, Sabine G8",1
"Rick Sher Wood",1,0,78830,Jawas,"Nebit G8, Jawa Engineer G8, Jawa Scavenger G9, Jawa Dathcha",1
"Rick Sher Wood",,,71946,Admiral Raddus,"Admiral Raddus G8, Cassian G9, Jyn G8, Baze G8, Bistan G8",0
"Rick Sher Wood",,,148049,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL Barriss G8",0
"Rick Sher Wood",,,321002,Malevolence,"Malevolence Hyena Bomber 5*, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",0
"Rick Sher Wood",0,1,110833,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Rick Sher Wood",,,473090,Executrix,"Executrix Tie Adv, Emperor's Shuttle 5*, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",0
"Rick Sher Wood",1,0,96379,Troopers,"zVeers zStarck Iden Versio G9, zzGideon Dark Trooper G9",0
"Rick Sher Wood",,,110236,Bad Batch,"zHunter zEcho Omega 5* G3, zTech zWrecker",0
"Bradshoe02",,,122967,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Bradshoe02",1,1,164124,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"Bradshoe02",,,160041,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Bradshoe02",0,1,138840,padme,"zzPadme zGK zJKA zAhsoka zzzCAT",1
"Bradshoe02",,,176948,JMLS,"zzzJKR zzJKL zzzzzzJMLS zzHYoda zzzzGAS",1
"Bradshoe02",1,0,145799,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
