Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Rick Sher Wood,635327491,25,25,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Drakorhuin,184851337,39,11,28,Vader+Nute 12%: Vader Nute G5 Thrawn Wat Tambor G13 Traya G8
Whitezilla,123158749,12,12,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
White Devil,834598883,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
The Hawk 28,238562913,32,4,28,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor G9 6* Traya G12
EthanDB123,927925635,33,0,33,Vader+Nute 12%: Vader Nute G8 Thrawn G12 Wat Tambor G7 5* Traya G12
ST2618,514475855,30,13,17,Vader+Nute 12%: Vader Nute R1 Thrawn G11 Wat Tambor Traya G12
Busan Kaz,249938994,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Tharius Dawnbreaker,554516524,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
TheyCallMeMrB,823529494,36,20,16,Vader P1 10%: Vader KRU Wat Tambor G8 C-3PO BB-8 G12
Troan Ziroc,542169378,21,0,21,Vader+Nute 12%: Vader Nute G11 Thrawn R3 Wat Tambor G12 Traya G12
Pvaulter175,182511842,39,20,19,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor Traya G12
LetTheWookieWin,964467523,33,33,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
DaveSkywalker,438297254,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Samus,469558863,29,29,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Pro Bono,747932311,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Sherman8erx,797288318,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
FrostyTacos,526353323,15,2,13,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G11 Traya
Tau Beta,454169494,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
DarthKevin,519821548,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
LegistheBEAST,763257271,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
KLUTCHxPLAGUEIS,227646131,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Raiders,896535542,10,10,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
MasterMiller,851324396,35,22,13,Vader+Nute 12%: Vader R4 Nute G12 Thrawn Wat Tambor Traya G12
Zeta,999133947,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Obi Bells,926869286,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
FrogMan,687277858,34,18,16,Vader+Nute 12%: Vader R3 Nute G10 Thrawn Wat Tambor Traya G12
Fosachi Walker,295449912,30,5,25,Vader+Nute 12%: Vader R4 Nute G11 Thrawn G12 Wat Tambor G8 6* Traya R4
RevNon,525662462,14,14,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Dawnbreaker,895889781,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Gorgatron,369351434,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Beats4dayz,738694156,6,6,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Enterthez,667311672,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Tag1turn2,586129226,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Tryptamine,196559132,21,21,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
serChetnik,279986735,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Dawnstriker,716135386,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Ahhhchhoooo,233943766,18,0,18,Vader P1 10%: Vader KRU G10 Wat Tambor G8 C-3PO BB-8
YodaRoy,343537915,19,0,19,Vader P1 10%: Vader KRU G6 2* Wat Tambor C-3PO G11 Shaak Ti
JAXDEN,791163596,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Waldo,288837662,26,10,16,Vader P1 10%: Vader R4 KRU Wat Tambor G7 C-3PO Shaak Ti R1
Easy E,221724179,23,1,22,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor G12 Traya R1
AndyJediDude,256488565,24,12,12,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya
Frankie,441226825,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Kozisms formerly owen,834478884,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Nick,444371281,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Giran Ozzel,392189276,27,0,27,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G12 Traya G7
