Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Gorgatron,369351434,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Gorgatron,369351434,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Gorgatron,369351434,0,0,0,Dooku+Asajj: Dooku AV
Gorgatron,369351434,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
EthanDB123,927925635,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
EthanDB123,927925635,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
EthanDB123,927925635,16,2,14,Troopers: Veers G10 5* Piett Gideon G8 4* Dark Trooper G9 6* Range Trooper G7 4*
EthanDB123,927925635,1,0,1,Dooku+Asajj: Dooku G11 AV
JAXDEN,791163596,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
JAXDEN,791163596,0,0,0,Dooku+Asajj: Dooku AV
JAXDEN,791163596,5,5,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
JAXDEN,791163596,13,3,10,Troopers: Veers Piett Starck Dark Trooper G9 5* Range Trooper G5 6*
Kozisms formerly owen,834478884,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Kozisms formerly owen,834478884,0,0,0,Dooku+Asajj: Dooku AV
Kozisms formerly owen,834478884,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Tau Beta,454169494,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Tau Beta,454169494,0,0,0,Dooku+Asajj: Dooku AV
Tau Beta,454169494,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Tau Beta,454169494,6,0,6,Troopers: Veers Piett Starck Dark Trooper G10 Range Trooper G8
ST2618,514475855,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
ST2618,514475855,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
ST2618,514475855,0,0,0,Dooku+Asajj: Dooku AV
ST2618,514475855,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Zeta,999133947,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Zeta,999133947,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Zeta,999133947,4,0,4,Dooku+Asajj: Dooku G8 AV
Enterthez,667311672,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Enterthez,667311672,0,0,0,Dooku+Asajj: Dooku AV
Enterthez,667311672,9,1,8,Geos: GBA G10 Poggle G11 Geo Soldier G11 Sun Fac G9 Geo Spy G11
FrogMan,687277858,8,8,0,Grievous: GG B2 B1 Droideka MagnaGuard
FrogMan,687277858,1,0,1,Dooku+Asajj: Dooku G11 AV
FrogMan,687277858,2,0,2,Geos: GBA Poggle Geo Soldier Sun Fac G11 Geo Spy G11
Fosachi Walker,295449912,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Fosachi Walker,295449912,0,0,0,Dooku+Asajj: Dooku AV
Fosachi Walker,295449912,2,2,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
The Hawk 28,238562913,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
The Hawk 28,238562913,0,0,0,Dooku+Asajj: Dooku AV
The Hawk 28,238562913,20,0,20,Troopers: Veers G9 Piett G7 5* Gideon G9 Dark Trooper G8 5* Range Trooper G7 6*
The Hawk 28,238562913,7,1,6,Geos: GBA Poggle Geo Soldier Sun Fac G9 Geo Spy G9
Drakorhuin,184851337,20,20,0,Grievous: GG B2 B1 Droideka MagnaGuard
Drakorhuin,184851337,8,8,0,Dooku+Asajj: Dooku AV
Drakorhuin,184851337,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Drakorhuin,184851337,3,0,3,Troopers: Veers Piett Gideon Dark Trooper G9 Range Trooper
Beats4dayz,738694156,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Beats4dayz,738694156,1,1,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Beats4dayz,738694156,0,0,0,Dooku+Asajj: Dooku AV
Beats4dayz,738694156,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Pvaulter175,182511842,1,1,0,Grievous: GG B2 B1 Droideka MagnaGuard
Pvaulter175,182511842,1,1,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Pvaulter175,182511842,15,12,3,Troopers: Veers Piett Gideon Dark Trooper Range Trooper G9
Pvaulter175,182511842,2,0,2,Dooku+Asajj: Dooku G10 AV
Dawnbreaker,895889781,18,18,0,Grievous: GG B2 B1 Droideka MagnaGuard
Dawnbreaker,895889781,2,0,2,Troopers: Veers Piett Gideon G11 Dark Trooper Range Trooper G11
Dawnbreaker,895889781,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Dawnbreaker,895889781,8,4,4,Dooku+Asajj: Dooku G8 AV
Tryptamine,196559132,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Tryptamine,196559132,0,0,0,Dooku+Asajj: Dooku AV
Tryptamine,196559132,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Obi Bells,926869286,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Obi Bells,926869286,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Obi Bells,926869286,0,0,0,Dooku+Asajj: Dooku AV
Obi Bells,926869286,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
