Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Gorgatron,369351434,0,0,0,Finn: Finn RT RH Finn RH Poe Rey
Gorgatron,369351434,0,0,0,GAS Special: GAS Ahsoka
Gorgatron,369351434,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Gorgatron,369351434,0,0,0,JKL: JKL HYoda GMY Jolee GK
Gorgatron,369351434,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Karnish,242539527,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Karnish,242539527,16,0,16,JKL: JKL HYoda GMY G11 JKR G10 Jolee G11
Ahhhchhoooo,233943766,1,1,0,Finn: Finn RT RH Finn RH Poe Rey
Ahhhchhoooo,233943766,9,9,0,GAS Special: GAS Ahsoka
Ahhhchhoooo,233943766,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Ahhhchhoooo,233943766,0,0,0,JKL: JKL HYoda GMY JKR GK
Ahhhchhoooo,233943766,18,18,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Easy E,221724179,7,7,0,Finn: Finn RT RH Finn RH Poe JTR
Easy E,221724179,0,0,0,GAS Special: GAS Ahsoka
Easy E,221724179,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Easy E,221724179,0,0,0,JKL: JKL HYoda GMY Jolee GK
Easy E,221724179,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Bradshoe02,816917778,7,7,0,GAS Special: GAS Ahsoka
Bradshoe02,816917778,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Bradshoe02,816917778,13,5,8,JKL: JKL HYoda GMY G12 Jolee G12 GK
Bradshoe02,816917778,20,16,4,Shaak Ti: Shaak Ti G12 Rex Echo (501st) ARC Trooper Fives
Tharius Dawnbreaker,554516524,12,12,0,GAS Special: GAS Ahsoka
Tharius Dawnbreaker,554516524,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Tharius Dawnbreaker,554516524,0,0,0,JKL: JKL HYoda GMY JKR GK
Tharius Dawnbreaker,554516524,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
PrincessKitana,551729285,1,0,1,ROLO: ROLO Cpt Solo Leia Chewpio Lando
PrincessKitana,551729285,2,1,1,Shaak Ti: Shaak Ti Rex Echo (501st) R2 ARC Trooper Fives
Frankie,441226825,0,0,0,Finn: Finn RT RH Finn RH Poe Rey
Frankie,441226825,0,0,0,GAS Special: GAS Ahsoka
Frankie,441226825,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Frankie,441226825,0,0,0,JKL: JKL HYoda GMY JKR GK
Frankie,441226825,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Obi Bells,926869286,0,0,0,GAS Special: GAS Ahsoka
Obi Bells,926869286,0,0,0,JKL: JKL HYoda GMY Jolee GK
Obi Bells,926869286,9,9,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Obi Bells,926869286,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Obi Bells,926869286,14,3,11,ROLO: ROLO Cpt Solo Leia Baze G5 Lando
Obi Bells,926869286,13,0,13,Shaak Ti: Shaak Ti G12 Rex R2 Echo (501st) G12 ARC Trooper G12 Fives
Enterthez,667311672,0,0,0,Finn: Finn RT RH Finn RH Poe Rey
Enterthez,667311672,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Enterthez,667311672,14,12,2,GAS Special: GAS R1 Ahsoka
Enterthez,667311672,16,6,10,JKL: JKL HYoda GMY G12 JKR R2 Jolee G11
Pro Bono,747932311,7,7,0,GAS Special: GAS Ahsoka
Pro Bono,747932311,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Pro Bono,747932311,0,0,0,JKL: JKL HYoda GMY JKR GK
Pro Bono,747932311,20,16,4,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives G12
Giran Ozzel,392189276,19,0,19,ROLO: ROLO G7 6* Cpt Solo G6 4* Han CLS Chewbacca
serChetnik,279986735,0,0,0,GAS Special: GAS Ahsoka
serChetnik,279986735,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
serChetnik,279986735,0,0,0,JKL: JKL HYoda GMY Jolee GK
serChetnik,279986735,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Nick,444371281,0,0,0,GAS Special: GAS Ahsoka
Nick,444371281,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Nick,444371281,1,0,1,ROLO: ROLO Cpt Solo Han Chewbacca Lando
Nick,444371281,15,8,7,JKL: JKL HYoda GMY Jolee G9 GK
Tag1turn2,586129226,1,1,0,Finn: Finn RT RH Finn RH Poe Rey
Tag1turn2,586129226,0,0,0,GAS Special: GAS Ahsoka
Tag1turn2,586129226,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Tag1turn2,586129226,0,0,0,JKL: JKL HYoda GMY Jolee GK
Tag1turn2,586129226,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
shausrath,944524846,16,0,16,Finn: Finn RT G12 RH Finn G10 RH Poe G10 BB-8
shausrath,944524846,17,9,8,Shaak Ti: Shaak Ti G12 Rex Echo (501st) ARC Trooper G12 Fives
Busan Kaz,249938994,0,0,0,GAS Special: GAS Ahsoka
Busan Kaz,249938994,0,0,0,JKL: JKL HYoda GMY JKR GK
Busan Kaz,249938994,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Busan Kaz,249938994,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Busan Kaz,249938994,12,0,12,Finn: Finn G12 RT G12 RH Finn RH Poe G12 JTR
Busan Kaz,249938994,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
DarthKevin,519821548,0,0,0,GAS Special: GAS Ahsoka
DarthKevin,519821548,0,0,0,JKL: JKL HYoda GMY JKR GK
DarthKevin,519821548,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
DarthKevin,519821548,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
DarthKevin,519821548,6,0,6,ROLO: ROLO Cpt Solo Leia Baze G10 Lando
Drakorhuin,184851337,9,9,0,GAS Special: GAS Ahsoka
Drakorhuin,184851337,18,18,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Drakorhuin,184851337,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Samus,469558863,20,20,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Samus,469558863,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
AndyJediDude,256488565,0,0,0,Finn: Finn RT RH Finn RH Poe Rey
AndyJediDude,256488565,5,5,0,GAS Special: GAS Ahsoka
AndyJediDude,256488565,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
AndyJediDude,256488565,4,4,0,JKL: JKL HYoda GMY Jolee GK
AndyJediDude,256488565,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Dawnbreaker,895889781,7,7,0,GAS Special: GAS Ahsoka
Dawnbreaker,895889781,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Dawnbreaker,895889781,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Tau Beta,454169494,2,2,0,GAS Special: GAS Ahsoka
Tau Beta,454169494,2,1,1,ROLO: ROLO Cpt Solo Han CLS Lando
Tau Beta,454169494,12,7,5,JKL: JKL HYoda GMY JKR R2 Jolee G12
YodaRoy,343537915,6,6,0,GAS Special: GAS Ahsoka
YodaRoy,343537915,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
YodaRoy,343537915,20,0,20,CLS: CLS Han G11 Chewbacca G12 Chewpio G10 6* C-3PO G11
LetTheWookieWin,964467523,7,7,0,GAS Special: GAS Ahsoka
LetTheWookieWin,964467523,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
LetTheWookieWin,964467523,18,18,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Kozisms formerly owen,834478884,2,2,0,GAS Special: GAS Ahsoka
Kozisms formerly owen,834478884,11,11,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Kozisms formerly owen,834478884,17,1,16,ROLO: ROLO G8 Cpt Solo G10 Han CLS R1 Chewbacca
White Devil,834598883,9,9,0,GAS Special: GAS Ahsoka
White Devil,834598883,0,0,0,ROLO: ROLO Cpt Solo Han CLS Lando
White Devil,834598883,9,9,0,JKL: JKL HYoda GMY Jolee GK
White Devil,834598883,19,17,2,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives R1
Pvaulter175,182511842,6,6,0,GAS Special: GAS Ahsoka
Pvaulter175,182511842,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Pvaulter175,182511842,8,8,0,JKL: JKL HYoda GMY Jolee GK
Pvaulter175,182511842,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Raiders,896535542,0,0,0,GAS Special: GAS Ahsoka
Raiders,896535542,0,0,0,JKL: JKL HYoda GMY Jolee GK
Raiders,896535542,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Raiders,896535542,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
RemusQui Spiuar,229461428,0,0,0,GAS Special: GAS Ahsoka
RemusQui Spiuar,229461428,0,0,0,JKL: JKL HYoda GMY JKR GK
RemusQui Spiuar,229461428,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
