Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Zeta,999133947,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Zeta,999133947,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Zeta,999133947,12,6,6,EP: EP G12 Mara Jade, The Emperor's Hand Vader Thrawn Malak
LetTheWookieWin,964467523,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
LetTheWookieWin,964467523,42,28,14,Padme/BB: Padme Hunter Echo G10 Tech Wrecker G12
Gorgatron,369351434,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Gorgatron,369351434,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Gorgatron,369351434,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Gorgatron,369351434,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Gorgatron,369351434,24,24,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Gorgatron,369351434,4,0,4,Troopers: Veers Piett Dark Trooper Range Trooper R3 Gideon R3
DaveSkywalker,438297254,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
DaveSkywalker,438297254,8,8,0,JMK: JMK CAT GK GAS Ahsoka
DaveSkywalker,438297254,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
DaveSkywalker,438297254,28,7,21,EP: EP R4 Mara Jade, The Emperor's Hand G8 6* Vader Thrawn R3 RG G10
FrostyTacos,526353323,11,0,11,EP: EP Mara Jade, The Emperor's Hand G9 3* Vader Thrawn RG R3
FrostyTacos,526353323,20,2,18,Troopers: Veers R3 Piett Dark Trooper G9 5* Range Trooper G11 5* Starck
FrostyTacos,526353323,21,0,21,CLS: CLS G12 C-3PO R3 Han Chewbacca R3 Chewpio G7 5*
FrostyTacos,526353323,35,0,35,Padme/BB: Padme R3 Hunter G11 5* Echo G9 3* Tech G10 5* Wrecker G9 4*
Rick Sher Wood,635327491,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Rick Sher Wood,635327491,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Rick Sher Wood,635327491,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Rick Sher Wood,635327491,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Rick Sher Wood,635327491,3,0,3,JMK: JMK CAT GK GAS Ahsoka R2
Rick Sher Wood,635327491,31,0,31,Troopers: Veers G12 Piett Dark Trooper G9 Range Trooper G8 Gideon G12
Enterthez,667311672,8,6,2,CLS: CLS R3 C-3PO Han Chewbacca Chewpio
White Devil,834598883,11,1,10,EP: EP Mara Jade, The Emperor's Hand G8 4* Vader Thrawn Malak
White Devil,834598883,17,0,17,CLS: CLS C-3PO R3 Han R3 Chewbacca R3 Chewpio G7 6*
