Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Dawnstriker,716135386,0,0,0,padme: Padme GK JKA Ahsoka C-3PO
Dawnstriker,716135386,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Dawnstriker,716135386,8,0,8,Grievous: GG B2 G12 B1 MagnaGuard G12 Droideka
Dawnstriker,716135386,0,0,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Dawnstriker,716135386,48,0,48,Phasma: Phasma G7 FOTP G8 FOSFTP G1 FOST G8 Kylo G8
Dawnstriker,716135386,5,0,5,GAS: GAS G11 5* Rex Echo (501st) Fives ARC Trooper
Bradshoe02,816917778,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Bradshoe02,816917778,18,18,0,padme: Padme GK JKA Ahsoka CAT
Bradshoe02,816917778,4,0,4,Grievous: GG B2 B1 MagnaGuard Droideka G12
Bradshoe02,816917778,16,16,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Bradshoe02,816917778,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Bradshoe02,816917778,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Bradshoe02,816917778,1,0,1,Negotiator: Negotiator BTL-B Y-wing 2* Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
FrostyTacos,526353323,10,6,4,padme: Padme GK JKA Ahsoka G12 C-3PO
FrostyTacos,526353323,37,0,37,Phasma: Phasma G9 FOTP G7 FOSFTP G7 FOST G8 6* Kylo G12
FrostyTacos,526353323,1,0,1,Negotiator: Negotiator BTL-B Y-wing 3* Anakin's Eta-2 5* Rex's ARC-170 4* Umbaran SF 6* Ahsoka's SF Plo's SF Clone Sergeant's ARC-170 5*
FrostyTacos,526353323,16,1,15,Grievous: GG B2 R1 B1 G11 6* MagnaGuard G12 Nute G12
FrostyTacos,526353323,12,0,12,Troopers: Veers Piett Starck Dark Trooper G9 5* Range Trooper G11 5*
FrostyTacos,526353323,38,17,21,CLS: CLS G12 Han Chewbacca Chewpio G7 5* R2-D2 G8
Gorgatron,369351434,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Gorgatron,369351434,0,0,0,padme: Padme GK JKA Ahsoka CAT
Gorgatron,369351434,1,1,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Gorgatron,369351434,1,1,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Gorgatron,369351434,0,0,0,Grievous: GG B2 B1 MagnaGuard Nute
Gorgatron,369351434,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Gorgatron,369351434,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Gorgatron,369351434,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
ST2618,514475855,0,0,0,padme: Padme GK JKA Ahsoka CAT
ST2618,514475855,1,1,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
ST2618,514475855,1,1,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
ST2618,514475855,6,0,6,Grievous: GG B2 G12 B1 MagnaGuard Nute R1
ST2618,514475855,11,8,3,Troopers: Veers R1 Piett Gideon Dark Trooper Range Trooper R2
ST2618,514475855,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
ST2618,514475855,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Sherman8erx,797288318,8,0,8,padme: Padme GK JKA G12 Ahsoka G12 C-3PO
Sherman8erx,797288318,16,8,8,Grievous: GG B2 G12 B1 MagnaGuard Droideka G12
Sherman8erx,797288318,15,15,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Sherman8erx,797288318,8,0,8,GAS: GAS Rex Echo (501st) G12 Fives ARC Trooper G12
Sherman8erx,797288318,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Sherman8erx,797288318,1,0,1,Negotiator: Negotiator BTL-B Y-wing 3* Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Sherman8erx,797288318,38,6,32,Troopers: Veers G12 Piett Starck G12 Dark Trooper G1 1* Range Trooper G7 5*
FrogMan,687277858,15,9,6,padme: Padme R2 GK JKA Ahsoka G11 C-3PO
FrogMan,687277858,20,8,12,Grievous: GG B2 G12 B1 G12 MagnaGuard Droideka G12
FrogMan,687277858,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
FrogMan,687277858,1,0,1,Negotiator: Negotiator BTL-B Y-wing 2* Anakin's Eta-2 3* Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
FrogMan,687277858,40,0,40,Troopers: Veers G9 Piett G4 3* Gideon G11 6* Dark Trooper G7 5* Range Trooper G9 6*
FrogMan,687277858,10,0,10,CLS: CLS Han R2 Chewbacca Chewpio G11 5* R2-D2 G12
Rick Sher Wood,635327491,3,3,0,padme: Padme GK JKA Ahsoka CAT
Rick Sher Wood,635327491,1,1,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Rick Sher Wood,635327491,0,0,0,Grievous: GG B2 B1 MagnaGuard Nute
Rick Sher Wood,635327491,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Rick Sher Wood,635327491,6,1,5,GAS: GAS Rex R2 Echo (501st) Fives G12 ARC Trooper
Rick Sher Wood,635327491,32,0,32,Phasma: Phasma G8 FOTP G12 FOSFTP G9 FOST G7 Kylo G12
Rick Sher Wood,635327491,1,0,1,Malevolence: Malevolence Hyena Bomber 4* Vulture Droid Sun Fac SF Soldier SF Spy SF
Rick Sher Wood,635327491,26,3,23,Troopers: Veers G12 Piett Gideon G12 Dark Trooper G9 Range Trooper G8
Waldo,288837662,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Waldo,288837662,4,0,4,padme: Padme GK JKA G12 Ahsoka C-3PO
Waldo,288837662,1,1,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Waldo,288837662,13,13,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Waldo,288837662,9,2,7,Grievous: GG G10 B2 B1 R2 MagnaGuard Droideka
Waldo,288837662,7,0,7,GAS: GAS G9 Rex Echo (501st) Fives ARC Trooper
Zeta,999133947,24,24,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Zeta,999133947,4,0,4,padme: Padme G12 GK JKA Ahsoka C-3PO
Zeta,999133947,1,1,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Zeta,999133947,1,0,1,Malevolence: Malevolence 5* Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Zeta,999133947,4,0,4,Grievous: GG B2 B1 MagnaGuard Nute G12
Zeta,999133947,0,0,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Zeta,999133947,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Zeta,999133947,42,15,27,Troopers: Veers G12 Piett Starck G12 Dark Trooper G1 Range Trooper G12
Busan Kaz,249938994,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Busan Kaz,249938994,0,0,0,padme: Padme GK JKA Ahsoka CAT
Busan Kaz,249938994,1,1,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Busan Kaz,249938994,2,2,0,Grievous: GG B2 B1 MagnaGuard Nute
Busan Kaz,249938994,11,2,9,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper G12
Busan Kaz,249938994,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Busan Kaz,249938994,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Busan Kaz,249938994,1,0,1,Malevolence: Malevolence Hyena Bomber 5* Vulture Droid 6* Sun Fac SF Soldier SF Spy SF
YodaRoy,343537915,0,0,0,padme: Padme GK JKA Ahsoka CAT
YodaRoy,343537915,1,1,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
YodaRoy,343537915,1,1,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
YodaRoy,343537915,23,19,4,Grievous: GG B2 G12 B1 MagnaGuard Nute
YodaRoy,343537915,19,0,19,CLS: CLS Han G12 Chewbacca G12 Chewpio G10 C-3PO G11
YodaRoy,343537915,6,6,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
YodaRoy,343537915,25,6,19,Troopers: Veers G12 Piett Starck G11 6* Dark Trooper G11 Range Trooper G11 5*
AndyJediDude,256488565,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
AndyJediDude,256488565,0,0,0,padme: Padme GK JKA Ahsoka C-3PO
