Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"SomethingForceSomething",595368594,4914877,2777214,2137663,129,-198,174,272,1356947,1419591,85,3,134,0,192,12,37,70,101,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,17,12,7
"Cao Hao",829115695,4806331,2976886,1829445,162,210,77,283,1757327,1218883,98,2,152,0,183,15,43,63,89,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,16,11,10
"TrippyWolverine",622373122,4702407,2899663,1802744,160,243,157,340,1735780,1163883,105,4,210,1,160,31,45,73,91,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,11,8,5
"Hadriel Jetberg",569819222,8029743,4705990,3323753,141,21,438,421,2552124,2143476,170,7,546,3,254,85,98,131,154,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,24,10,10
"Eternal sitch",522652534,4482535,2405483,2077052,115,302,266,252,1475276,929531,68,6,152,0,163,21,32,51,72,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,15,6,6
"Darthspartan",839624411,5080503,2949247,2131256,138,-77,155,295,1529985,1418586,104,2,230,2,180,28,45,59,83,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,13,8,6
"Seasu Gohay",241156488,7636298,4498553,3137745,143,152,337,422,2589300,1905490,184,10,410,3,254,40,97,144,160,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,25,11,11
"0duin",968657684,5743366,3328417,2414949,137,201,195,333,1957362,1370379,127,7,208,1,236,27,43,107,127,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,21,10,7
"Demetree",267345447,7635583,4429426,3206157,138,26,137,432,2404914,2009232,163,2,485,4,260,65,100,133,163,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,24,11,12
"Mol Rammal",396298591,7318453,4373498,2944955,148,186,193,437,2552589,1814450,164,2,502,4,245,72,96,124,149,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,24,9,12
"Krooked",115786486,6961119,3999213,2961906,135,38,116,367,2189812,1808725,161,6,309,2,240,37,74,120,135,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,24,12,10
"Icyshadowz26",767521765,5754610,3488028,2266582,153,9,217,314,1883963,1601415,131,4,256,2,207,30,51,79,109,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,16,7,7
"Oichtmüna",669558336,6243196,3782636,2460560,153,37,85,401,2068050,1709758,162,9,328,2,208,43,84,101,119,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,15,6,6
"Gpa luis",544653239,7448127,4262196,3185931,133,-76,429,453,2212853,2048667,171,7,493,4,245,62,99,140,152,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,23,9,8
"Dannyslr",172647166,4759114,2857490,1901624,150,-74,151,382,1484640,1372399,99,4,270,0,170,35,58,70,84,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,15,12,7
"Tamecula",577128238,6023718,3486278,2537440,137,-124,141,249,1763499,1712896,78,10,240,1,222,39,48,54,102,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,17,8,9
"Tiberius",161338733,6048708,3435828,2612880,131,190,105,297,2010018,1421763,116,7,254,2,194,35,54,75,93,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,18,10,7
