Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
anOOrmaly,232971818,4,0,4,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer G12
anOOrmaly,232971818,8,0,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
anOOrmaly,232971818,2,0,2,L2 BH: Boba Jango Cad The Mandalorian G12 Embo
anOOrmaly,232971818,15,0,15,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G9 Dathcha G11 Jawa G8
anOOrmaly,232971818,12,11,1,L0 Tuskens: Tusken Chieftain 4* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Execute Order 69,743154738,6,0,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Execute Order 69,743154738,2,0,2,L2 BH: Boba Jango Cad The Mandalorian Greedo G12
Execute Order 69,743154738,1,0,1,L1 Jawas: Nebit Jawa Engineer Jawa Scavenger Dathcha G11 Jawa
Execute Order 69,743154738,7,6,1,L0 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer 4*
Execute Order 69,743154738,4,0,4,L0 Tuskens: Tusken Chieftain G7 3* Tusken Raider G7 Tusken Shaman G7 Tusken Warrior G7 3* URoRRuR'R'R
CaptainCoom,791749373,1,0,1,L4 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous R4 Armorer
CaptainCoom,791749373,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
CaptainCoom,791749373,1,0,1,L4 BH: Boba Jango Cad The Mandalorian R4 Embo
CaptainCoom,791749373,17,0,17,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G8 Dathcha G9 Jawa G9
CaptainCoom,791749373,7,6,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 4* URoRRuR'R'R
TobiwanKenobi,696297162,6,0,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
TobiwanKenobi,696297162,8,0,8,L1 Maul: Maul The Mandalorian (Beskar Armor) G8 Bo-Katan Canderous Armorer G8
TobiwanKenobi,696297162,3,0,3,L1 Old Republic: JKR BS G11 Jolee Mission Zaalbar G10
TobiwanKenobi,696297162,8,0,8,L1 Jawas: Nebit G11 Jawa Engineer Jawa Scavenger G9 Dathcha G8 Jawa
TobiwanKenobi,696297162,6,5,1,L0 Tuskens: Tusken Chieftain 4* Tusken Raider Tusken Shaman Tusken Warrior URoRRuR'R'R
Schembro,994614716,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Schembro,994614716,4,0,4,L2 BH: Boba G12 Jango Cad The Mandalorian G12 Embo
Schembro,994614716,3,0,3,L0 Jawas: Nebit G7 Jawa Engineer Jawa Scavenger G7 Dathcha Jawa G7
Schembro,994614716,7,0,7,L0 Tuskens: Tusken Chieftain G6 3* Tusken Raider Tusken Shaman G6 Tusken Warrior G7 3* URoRRuR'R'R G6
Wsummerspring,594122685,6,0,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Wsummerspring,594122685,2,0,2,L3 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous R2 Armorer R2
Wsummerspring,594122685,2,0,2,L1 Old Republic: JKR BS Jolee Mission Zaalbar G10
Wsummerspring,594122685,1,0,1,L0 Jawas: Nebit G7 Jawa Engineer Jawa Scavenger Dathcha Jawa
Wsummerspring,594122685,2,1,1,L0 Tuskens: Tusken Chieftain 4* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Imnotgood,171813996,5,0,5,L2 Old Republic: JKR BS G13 Jolee Mission G12 Zaalbar G12
Imnotgood,171813996,2,0,2,L2 BH: Boba Jango Cad The Mandalorian G12 Greedo
Imnotgood,171813996,15,0,15,L1 Jawas: Nebit G9 Jawa Engineer G9 Jawa Scavenger G8 Dathcha G10 Jawa G9
Imnotgood,171813996,4,3,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Ping,669828157,5,0,5,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R6 Skiff Guard (Lando Calrissian) R5 Boba
Ping,669828157,6,0,6,L5 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan R5 Canderous R5 Armorer R5
Ping,669828157,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Ping,669828157,3,0,3,L1 Jawas: Nebit G11 Jawa Engineer G11 Jawa Scavenger Dathcha G11 Jawa
Ping,669828157,3,2,1,L0 Tuskens: Tusken Chieftain 5* Tusken Raider Tusken Shaman Tusken Warrior 4* URoRRuR'R'R
Sean Palgrave,167581191,3,0,3,L6 Jabba: Jabba Boushh (Leia Organa) R7 Krrsantan R7 Skiff Guard (Lando Calrissian) R7 Boba
Sean Palgrave,167581191,2,0,2,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer
Sean Palgrave,167581191,8,0,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
