Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Pokey,839995558,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Pokey,839995558,0,0,0,Dooku+Asajj: Dooku AV
Pokey,839995558,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Pokey,839995558,9,0,9,Troopers: Veers Piett Starck Dark Trooper G3 Range Trooper
Xile,788888212,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Xile,788888212,0,0,0,Dooku+Asajj: Dooku AV
Xile,788888212,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
SonnyOlivia,841834798,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
SonnyOlivia,841834798,0,0,0,Dooku+Asajj: Dooku AV
SonnyOlivia,841834798,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
SonnyOlivia,841834798,3,0,3,Troopers: Veers Piett Gideon Dark Trooper G9 Range Trooper
TobiwanKenobi,696297162,8,8,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
TobiwanKenobi,696297162,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
TobiwanKenobi,696297162,0,0,0,Dooku+Asajj: Dooku AV
TobiwanKenobi,696297162,1,0,1,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy G11
Jeremy,183451598,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Jeremy,183451598,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Jeremy,183451598,0,0,0,Dooku+Asajj: Dooku AV
Jeremy,183451598,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
MilHouse,245782881,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
MilHouse,245782881,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
MilHouse,245782881,0,0,0,Dooku+Asajj: Dooku AV
MilHouse,245782881,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
TheHamburglar,427599555,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
TheHamburglar,427599555,0,0,0,Dooku+Asajj: Dooku AV
TheHamburglar,427599555,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
TheHamburglar,427599555,9,0,9,Troopers: Veers Piett Starck Dark Trooper G7 5* Range Trooper G8
Woggex,437342655,3,3,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Woggex,437342655,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Woggex,437342655,0,0,0,Dooku+Asajj: Dooku AV
Woggex,437342655,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Sean Palgrave,167581191,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Sean Palgrave,167581191,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Sean Palgrave,167581191,0,0,0,Dooku+Asajj: Dooku AV
Sean Palgrave,167581191,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
thcspitfire,155359364,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
thcspitfire,155359364,0,0,0,Dooku+Asajj: Dooku AV
thcspitfire,155359364,1,0,1,Geos: GBA Poggle G11 Geo Soldier Sun Fac Geo Spy
Algandar,258979998,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Algandar,258979998,0,0,0,Dooku+Asajj: Dooku AV
Algandar,258979998,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Jean Luc Picard,797929232,2,1,1,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper
Jean Luc Picard,797929232,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Jean Luc Picard,797929232,0,0,0,Dooku+Asajj: Dooku AV
Jean Luc Picard,797929232,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
MINI Kovacs,262231432,1,0,1,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper
MINI Kovacs,262231432,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
MINI Kovacs,262231432,0,0,0,Dooku+Asajj: Dooku AV
MINI Kovacs,262231432,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Savagediva,497531654,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Savagediva,497531654,0,0,0,Dooku+Asajj: Dooku AV
Savagediva,497531654,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Savagediva,497531654,3,0,3,Troopers: Veers Piett Gideon Dark Trooper Range Trooper G9
Thommo,951131143,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Thommo,951131143,0,0,0,Dooku+Asajj: Dooku AV
Thommo,951131143,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Thommo,951131143,4,1,3,Troopers: Veers Piett Starck Dark Trooper Range Trooper G9
Stanleyclimbfall,349879784,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Stanleyclimbfall,349879784,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Stanleyclimbfall,349879784,0,0,0,Dooku+Asajj: Dooku AV
Stanleyclimbfall,349879784,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
CoffeeNCigarettes,343399131,1,1,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
CoffeeNCigarettes,343399131,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
CoffeeNCigarettes,343399131,0,0,0,Dooku+Asajj: Dooku AV
CoffeeNCigarettes,343399131,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
ZokyDawg CPR,224667393,1,0,1,Troopers: Veers Piett Gideon Dark Trooper G11 Range Trooper
ZokyDawg CPR,224667393,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
ZokyDawg CPR,224667393,0,0,0,Dooku+Asajj: Dooku AV
ZokyDawg CPR,224667393,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Jib Foresight,746842417,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Jib Foresight,746842417,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Jib Foresight,746842417,0,0,0,Dooku+Asajj: Dooku AV
Jib Foresight,746842417,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
IøT Theworldsgreatest,578185196,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
IøT Theworldsgreatest,578185196,0,0,0,Dooku+Asajj: Dooku AV
IøT Theworldsgreatest,578185196,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
IøT Theworldsgreatest,578185196,3,0,3,Troopers: Veers Piett Gideon Dark Trooper G9 Range Trooper
Mtb,632271723,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Mtb,632271723,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Mtb,632271723,0,0,0,Dooku+Asajj: Dooku AV
Mtb,632271723,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Slowmo,714927741,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Slowmo,714927741,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Slowmo,714927741,0,0,0,Dooku+Asajj: Dooku AV
Slowmo,714927741,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Sheev's  apprentice,282569775,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Sheev's  apprentice,282569775,0,0,0,Dooku+Asajj: Dooku AV
Sheev's  apprentice,282569775,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
