Player,Offense,Defense,GP,Name,Squad,Viable
"Ardilla",,,168887,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Ardilla",,,123422,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Ardilla",1,1,157543,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Ardilla",,,169566,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Ardilla",1,1,113501,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Ardilla",,,589242,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Ardilla",,,158096,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"Ardilla",1,0,150190,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Ardilla",,,517523,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Ardilla",,,334510,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Ardilla",,,467833,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Ardilla",0,1,131870,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Ardilla",1,0,123927,Traya,"zzTraya zDN zSion zzEP Sith Empire Trooper",1
"Ardilla",1,1,145085,JTR,"zzzJTR zScav Rey, zzBB-8 zzR2-D2 RT",1
"Ardilla",,,112661,Mon Mothma,"zzMon Mothma, Wedge zPao zCara Dune, Hoth Rebel Scout",1
"Ardilla",1,0,141991,Troopers,"zVeers zzPiett zzGideon zDark Trooper, Range Trooper",1
"Ardilla",1,1,102676,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Ardilla",1,0,150685,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Ardilla",0,1,149883,BH,"zzBossk zzJango zBoba zDengar zIG-88",1
"Ardilla",1,1,100097,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"Ardilla",1,0,131804,zMaul,"zDarth Maul, zSidious zDooku Sith Marauder, zNest",1
"Ardilla",,,91749,Iden Troopers,"zIden Versio, zStormtrooper Snowtrooper Magma DT",1
"Ardilla",0,1,83024,Phoenix,"Hera zSabine Kanan G9, zEzra Zeb G9",1
"Ardilla",1,0,85095,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
