Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Dr med den Rasen,374798737,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Dr med den Rasen,374798737,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GMY
Dr med den Rasen,374798737,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Dr med den Rasen,374798737,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Dr med den Rasen,374798737,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Dr med den Rasen,374798737,0,0,0,JKL + JML (6%): JKL JMLS JKA HYoda Old Ben
Dr med den Rasen,374798737,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
ScoobyDooku,866981378,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
ScoobyDooku,866981378,6,6,0,JMK (8%): JMK GK Ahsoka CAT GAS
ScoobyDooku,866981378,6,6,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
ScoobyDooku,866981378,0,0,0,Seps (1%): Dooku Jango GG Nute B1
ScoobyDooku,866981378,0,0,0,SEE P1 5%: SEE Malak Vader DR Sith Marauder
mugsy,796869384,0,0,0,DR/Malak 3%: DR Malak BSF HK-47 Sith Marauder
mugsy,796869384,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
mugsy,796869384,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
mugsy,796869384,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
mugsy,796869384,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GMY
mugsy,796869384,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
mugsy,796869384,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Starck Dark Trooper
mugsy,796869384,0,0,0,JKL + JML (6%): JKL JMLS JKA HYoda Old Ben
E2d2,963426871,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
E2d2,963426871,0,0,0,Seps (1%): Dooku Jango GG B2 Nute
E2d2,963426871,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
E2d2,963426871,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
E2d2,963426871,0,0,0,JKL + JML (6%): JKL JMLS JKR BS Old Ben
E2d2,963426871,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
CaptBlinky,152777395,0,0,0,Seps (1%): Dooku Jango GBA GG Nute
