Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Meetra Surik",989184811,7162577,3939593,3222984,122,132,201,409,2248008,1690898,142,10,436,3,261,66,87,119,141,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,22,12,10
"Zoltar",739779589,5891719,3618392,2273327,159,70,103,470,2008954,1608987,150,8,372,2,193,43,88,115,136,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,20,7,8
"TheWildKarrde",522914351,6883860,4093554,2790306,146,101,221,365,2298495,1783782,166,4,372,2,221,52,74,103,132,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,19,11,8
"Sleazy E",695822276,7289709,4379969,2909740,150,67,67,423,2428673,1951296,170,7,383,3,247,50,102,130,146,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,21,9,10
"Plagarian",974618589,7627194,4524738,3102456,145,-35,321,325,2384791,2124811,199,8,347,2,247,50,71,108,135,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,22,10,12
"Ronzool",498413548,6923846,4071540,2852306,142,182,70,273,2370236,1693654,157,8,213,0,231,26,52,95,124,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,18,12,9
"WWG1WG2PRISON",713375299,7536264,4555391,2980873,152,140,300,368,2602657,1942438,162,11,422,2,229,56,80,113,151,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,19,12,12
"Nearly Headless Nick",666842776,5731810,3399814,2331996,145,459,142,371,2216239,1183575,140,6,306,2,195,44,65,87,117,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,16,7,7
"Tim",682839262,5366762,3133664,2233098,140,-34,246,477,1658357,1475307,101,2,417,3,177,58,80,93,106,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,14,5,6
"Droguito",222224934,5620367,3174418,2445949,129,-21,108,256,1689494,1484248,87,8,171,1,234,19,42,68,101,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,18,9,11
"Will Obi1",215141515,6837641,4242025,2595616,163,173,77,361,2460421,1775757,185,8,361,3,219,50,76,99,126,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,18,8,6
"ClîtCommander12345",124661194,6382963,3899570,2483393,157,129,78,381,2222811,1676759,168,5,288,2,223,31,77,109,136,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,21,10,10
"Jason",576549933,8009069,4791616,3217453,148,-18,117,400,2552137,2235786,193,7,503,5,254,68,96,124,153,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,21,8,8
"JasonTheAsian",316261256,7181113,4440813,2740300,162,1,226,410,2382236,2043939,181,3,380,2,241,41,80,139,172,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,23,11,13
"name",779262258,5439462,3236464,2202998,146,364,68,385,2032821,1202967,141,5,303,2,195,43,61,88,103,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,15,5,5
"Tenzin",736547728,7119027,4219491,2899536,145,141,103,403,2416098,1800690,185,0,358,0,258,55,99,117,145,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,18,10,7
"Salacious Thumb",444544452,6541107,3799214,2741893,138,-10,93,347,2032437,1766101,132,2,328,2,216,47,69,93,125,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,18,10,9
"lottatrotta69",974943562,7480566,4423471,3057095,144,79,78,335,2461104,1952844,152,4,364,1,260,45,76,102,139,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,20,10,9
"Krumpch",961147939,4707385,2842146,1865239,152,419,176,323,1824825,1017321,84,2,252,2,166,36,46,56,72,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,12,7,5
"Berzerk Hobo",252285491,7938055,4824106,3113949,154,116,290,393,2725391,2082686,188,4,393,3,253,53,85,149,190,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,23,12,12
"Kilum Natta",569741419,3605567,2252583,1352984,166,-230,240,331,1081966,1170617,65,3,152,1,132,20,38,51,65,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,9,7,5
"Blak3oakfield",277384321,4498411,2918850,1579561,184,1,89,373,1569932,1348242,106,5,215,1,171,21,51,74,88,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,10,7,5
"Dannimadd",183382135,7115929,4166275,2949654,141,130,154,410,2374580,1791008,136,0,375,2,255,47,97,120,142,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,22,11,10
"Soko",418929655,5671223,3478954,2192269,158,121,44,246,1971387,1499704,69,4,184,0,201,28,38,65,100,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,14,11,7
"Micahtron",538511948,7676712,4666485,3010227,155,-38,243,411,2457900,2197064,171,7,528,3,236,79,91,119,148,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,21,9,10
"Bsville",424867781,7313115,4316717,2996398,144,17,116,361,2337689,1975277,149,3,347,2,244,38,78,117,142,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,21,11,12
"YungPepr",452134382,2683915,1887830,796085,237,247,139,340,1130817,756337,50,3,102,0,92,9,26,45,60,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,6,6,3
"MrDusty",754891619,5834319,3296962,2537357,129,-177,175,259,1626669,1669617,100,3,212,1,229,34,40,69,102,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,19,11,12
"Jason",721779418,6596366,4076596,2519770,161,165,271,481,2360194,1716402,151,6,509,5,232,72,104,112,137,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,18,10,8
"Delmon Ciiid'r",196981493,4947446,2886316,2061130,140,-116,155,196,1467910,1417730,73,7,110,0,209,13,28,47,81,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,12,7,5
"Adonis13",852276575,7686828,4667904,3018924,154,68,247,475,2586889,2077183,201,6,521,4,239,47,112,149,169,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,23,10,10
"Gero Zurn",397437123,7559997,4449001,3110996,143,85,106,480,2486125,1962200,168,10,567,3,225,75,108,142,168,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,22,9,11
"DarthSacaMando",522114916,6082419,3531831,2550588,138,-65,162,346,1841558,1690273,118,9,268,2,205,31,64,93,121,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,17,8,10
"Scarb Fir",872612614,5693079,3434356,2258723,152,118,308,401,1946335,1485596,123,6,358,2,196,52,70,87,119,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,19,8,8
"Wilk79",438582744,4061618,2447812,1613806,151,-331,75,273,1114771,1333041,81,4,156,1,146,20,32,48,81,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,10,7,6
"Scrotie McBoogerballs",832986271,5928681,3665672,2263009,161,1,95,297,1967947,1690123,120,3,216,1,196,26,41,92,103,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,14,7,9
"Jivan Mukti",928423758,6801974,3858404,2943570,131,34,290,319,2107818,1750586,132,9,281,2,253,40,57,104,129,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,23,11,11
"ObiJuan Keithnobi",355745111,7039801,4220783,2819018,149,-39,55,353,2223122,1988616,148,11,336,1,218,43,71,111,134,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,19,10,10
"polarariel",423666999,8180716,4917031,3263685,150,-84,235,466,2540378,2376653,203,5,629,4,262,84,116,140,164,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,26,9,12
"HarryTheHutt",683648442,4646775,2664613,1982162,134,-42,184,232,1404553,1259384,73,4,136,0,185,15,27,54,73,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,12,9,5
"The Great One F2P",816728211,4672779,2415698,2257081,107,-254,42,197,1145656,1269366,58,5,116,1,184,17,22,47,73,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,9,6,4
"TheFoggy",433616769,8468615,5027796,3440819,146,-71,172,448,2613532,2414264,208,5,622,5,267,92,113,142,164,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,25,8,12
"NuMex",331898292,7239849,4274513,2965336,144,65,301,389,2367782,1906731,178,0,254,0,259,28,63,168,183,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,25,13,11
"Thiffy Gorebreg",442479953,8602266,5183670,3418596,151,129,311,455,2948966,2224678,212,7,546,4,273,78,123,160,190,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,25,10,11
"Balakay",621546373,8775779,5109373,3666406,139,51,294,491,2810517,2294670,199,8,641,5,269,87,133,170,187,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,27,10,12
"ShadyT",558572552,6772692,3802891,2969801,128,154,69,410,2189290,1610700,149,1,456,4,233,66,86,101,116,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,16,8,6
"Sixx Shooter",536357128,5399910,3271701,2128209,153,-26,73,332,1737204,1533821,97,2,237,1,213,35,53,79,96,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,13,9,8
"DarthMaul5",783529757,4484950,2506992,1977958,126,-154,134,251,1251655,1255337,74,6,155,1,171,19,35,47,91,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,14,10,9
"Stephman Darksipper",864462482,7386637,4459342,2927295,152,157,121,382,2558739,1874875,169,4,308,1,265,42,76,145,160,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,26,13,12
"Rikka light side",549878449,9191592,5472923,3718669,147,52,361,479,3009149,2453546,222,12,607,5,283,88,125,194,213,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,28,8,13
