Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Delmon Ciiid'r,196981493,9,0,9,L1 BAM: The Mandalorian (Beskar Armor) G8 Jango G8 Cad The Mandalorian G11 Greedo
Delmon Ciiid'r,196981493,16,0,16,L1 Tuskens: Tusken Chieftain G8 3* Tusken Raider G8 Tusken Shaman G8 Tusken Warrior G8 3* URoRRuR'R'R
Delmon Ciiid'r,196981493,4,0,4,L0 Jawas: Nebit G7 Jawa Engineer G7 Jawa Scavenger G7 Dathcha G7 Jawa
DarthMaul5,783529757,12,0,12,L0 BAM: The Mandalorian (Beskar Armor) G2 Jango Cad The Mandalorian Greedo G2
polarariel,423666999,2,0,2,L4 BAM: The Mandalorian (Beskar Armor) R4 Jango Cad The Mandalorian R4 Greedo
polarariel,423666999,2,0,2,L2 Maul: Maul Sabine Bo-Katan Canderous Armorer G12
polarariel,423666999,12,0,12,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G9 Dathcha G10 Jawa
polarariel,423666999,6,0,6,L1 Tuskens: Tusken Chieftain G11 4* Tusken Raider Tusken Shaman G9 Tusken Warrior G10 3* URoRRuR'R'R
MrDusty,754891619,6,0,6,L1 BAM: The Mandalorian (Beskar Armor) Jango G10 Cad The Mandalorian Greedo G8
MrDusty,754891619,12,0,12,L1 Jawas: Nebit G10 Jawa Engineer G10 Jawa Scavenger G10 Dathcha G9 Jawa G9
MrDusty,754891619,13,0,13,L1 Tuskens: Tusken Chieftain G9 5* Tusken Raider G8 Tusken Shaman G10 Tusken Warrior G9 3* URoRRuR'R'R G11
Tim,682839262,5,0,5,L1 BAM: The Mandalorian (Beskar Armor) G10 Jango Cad The Mandalorian G9 Embo
Jason,576549933,6,0,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Jason,576549933,2,0,2,L1 BAM: The Mandalorian (Beskar Armor) G10 Jango Cad The Mandalorian Greedo
Jason,576549933,8,0,8,L1 Maul: Maul Sabine G8 Bo-Katan Canderous Armorer G8 6*
Jason,576549933,9,0,9,L1 Jawas: Nebit G10 Jawa Engineer G10 Jawa Scavenger G9 Dathcha G10 Jawa
Jason,721779418,2,0,2,L6 Jabba: Jabba Boushh (Leia Organa) Krrsantan Skiff Guard (Lando Calrissian) R7 Boba R7
Jason,721779418,2,0,2,L2 Tuskens: Tusken Chieftain G12 Tusken Raider Tusken Shaman Tusken Warrior URoRRuR'R'R
Jason,721779418,8,0,8,L1 BAM: The Mandalorian (Beskar Armor) G8 Jango Cad The Mandalorian G8 Greedo
Jason,721779418,4,0,4,L1 Jawas: Nebit G11 Jawa Engineer G11 Jawa Scavenger G11 Dathcha G11 Jawa
Tenzin,736547728,3,0,3,L1 BAM: The Mandalorian (Beskar Armor) G9 Jango Cad The Mandalorian Greedo
Tenzin,736547728,8,0,8,L0 Jawas: Nebit G7 Jawa Engineer G5 Jawa Scavenger G7 Dathcha Jawa G5
JasonTheAsian,316261256,2,0,2,L1 BAM: The Mandalorian (Beskar Armor) G10 Jango Cad The Mandalorian Greedo
JasonTheAsian,316261256,13,0,13,L1 Jawas: Nebit G8 Jawa Engineer G11 Jawa Scavenger G10 Dathcha G9 Jawa G9
JasonTheAsian,316261256,11,0,11,L1 Tuskens: Tusken Chieftain G9 3* Tusken Raider G9 Tusken Shaman G10 Tusken Warrior G9 URoRRuR'R'R
Salacious Thumb,444544452,2,0,2,L1 BAM: The Mandalorian (Beskar Armor) G10 Jango Cad The Mandalorian Greedo
Salacious Thumb,444544452,2,0,2,L0 Jawas: Nebit G7 Jawa Engineer Jawa Scavenger G7 Dathcha Jawa
Salacious Thumb,444544452,2,0,2,L0 Tuskens: Tusken Chieftain 3* Tusken Raider G7 Tusken Shaman G7 Tusken Warrior 3* URoRRuR'R'R 6*
Zoltar,739779589,1,0,1,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian Greedo G11
Zoltar,739779589,4,0,4,L1 Tuskens: Tusken Chieftain G11 3* Tusken Raider G11 Tusken Shaman Tusken Warrior G11 6* URoRRuR'R'R G11 5*
DarthSacaMando,522114916,5,0,5,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian G10 Greedo G9
DarthSacaMando,522114916,16,0,16,L1 Tuskens: Tusken Chieftain G8 3* Tusken Raider G10 Tusken Shaman G8 Tusken Warrior G8 3* URoRRuR'R'R G10
DarthSacaMando,522114916,2,0,2,L0 Jawas: Nebit Jawa Engineer G7 Jawa Scavenger G7 Dathcha Jawa
The Great One F2P,816728211,3,0,3,L0 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian Greedo G5
Krumpch,961147939,7,0,7,L1 BAM: The Mandalorian (Beskar Armor) G11 Jango Cad The Mandalorian G9 Greedo G9
Scarb Fir,872612614,4,0,4,L6 Jabba: Jabba R7 Boushh (Leia Organa) R7 Krrsantan R7 Skiff Guard (Lando Calrissian) R7 Boba
Scarb Fir,872612614,5,0,5,L1 BAM: The Mandalorian (Beskar Armor) G9 Jango Cad The Mandalorian G10 Greedo
HarryTheHutt,683648442,7,0,7,L1 BAM: The Mandalorian (Beskar Armor) G9 Jango Cad The Mandalorian Greedo G8
HarryTheHutt,683648442,11,0,11,L1 Jawas: Nebit Jawa Engineer G9 Jawa Scavenger G9 Dathcha G9 Jawa G10
HarryTheHutt,683648442,2,0,2,L0 Tuskens: Tusken Chieftain 4* Tusken Raider G7 Tusken Shaman Tusken Warrior 5* URoRRuR'R'R G7
ShadyT,558572552,3,0,3,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian Greedo G9
TheWildKarrde,522914351,7,0,7,L1 BAM: The Mandalorian (Beskar Armor) G8 Jango Cad The Mandalorian Greedo G9
TheWildKarrde,522914351,3,0,3,L0 Jawas: Nebit G7 Jawa Engineer Jawa Scavenger G6 Dathcha Jawa 6*
Rikka light side,549878449,2,0,2,L1 Jabba: Jabba G10 Boushh (Leia Organa) Krrsantan Skiff Guard (Lando Calrissian) Boba
Rikka light side,549878449,2,0,2,L2 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian G12 Greedo
Rikka light side,549878449,4,0,4,L1 Maul: Maul Sabine Bo-Katan Canderous Armorer G8
