Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Jivan Mukti,928423758,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Jivan Mukti,928423758,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Jivan Mukti,928423758,0,0,0,Padme 3%: Padme JKA GK Ahsoka R2-D2
Scarb Fir,872612614,0,0,0,JKL + JML (6%): JKL JMLS JKR GMY Old Ben
Scarb Fir,872612614,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Scarb Fir,872612614,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Scarb Fir,872612614,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Scarb Fir,872612614,8,8,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
name,779262258,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
name,779262258,6,6,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
name,779262258,0,0,0,JKL + JML (6%): JKL JMLS Shaak Ti GMY Old Ben
NuMex,331898292,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
NuMex,331898292,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
ClîtCommander12345,124661194,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
ClîtCommander12345,124661194,10,10,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
The Great One F2P,816728211,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Thiffy Gorebreg,442479953,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GMY
Thiffy Gorebreg,442479953,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Thiffy Gorebreg,442479953,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Thiffy Gorebreg,442479953,0,0,0,JKL + JML (6%): JKL JMLS JKA Mace Old Ben
Thiffy Gorebreg,442479953,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Thiffy Gorebreg,442479953,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Krumpch,961147939,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS BS
Krumpch,961147939,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
ObiJuan Keithnobi,355745111,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
ObiJuan Keithnobi,355745111,0,0,0,Padme 3%: Padme JKA GK Ahsoka R2-D2
Will Obi1,215141515,0,0,0,JKL + JML (6%): JKL JMLS HYoda GMY Old Ben
Will Obi1,215141515,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Will Obi1,215141515,9,9,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Will Obi1,215141515,11,11,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
DarthMaul5,783529757,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Stephman Darksipper,864462482,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Stephman Darksipper,864462482,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Stephman Darksipper,864462482,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Stephman Darksipper,864462482,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Nearly Headless Nick,666842776,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Mace
Nearly Headless Nick,666842776,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Nearly Headless Nick,666842776,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Gero Zurn,397437123,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Mace
Gero Zurn,397437123,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Gero Zurn,397437123,0,0,0,Seps (1%): Dooku Jango AV GBA MagnaGuard
Gero Zurn,397437123,0,0,0,GG (2%): GG B1 Droideka B2 HK-47
Gero Zurn,397437123,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Gero Zurn,397437123,0,0,0,SEE P1 5%: SEE Malak Sidious DR Sith Marauder
Gero Zurn,397437123,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Bsville,424867781,6,6,0,JMK (8%): JMK GK Ahsoka CAT JKA
Bsville,424867781,0,0,0,SEE P1 5%: SEE Malak Sidious Dooku Sith Marauder
Bsville,424867781,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Micahtron,538511948,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Micahtron,538511948,0,0,0,SEE P1 5%: SEE Malak Sidious Sith Marauder Darth Talon
Micahtron,538511948,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Micahtron,538511948,1,1,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Micahtron,538511948,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Micahtron,538511948,0,0,0,Seps (1%): Dooku Jango GG GBA Nute
Salacious Thumb,444544452,8,8,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Salacious Thumb,444544452,14,14,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Salacious Thumb,444544452,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Salacious Thumb,444544452,1,1,0,Padme 3%: Padme JKA GK Ahsoka C-3PO
Salacious Thumb,444544452,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Zoltar,739779589,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Zoltar,739779589,15,15,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Zoltar,739779589,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Zoltar,739779589,1,1,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
ShadyT,558572552,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
ShadyT,558572552,0,0,0,JKL + JML (6%): JKL JMLS Shaak Ti GAS Old Ben
ShadyT,558572552,1,1,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
ShadyT,558572552,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GMY
ShadyT,558572552,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Tenzin,736547728,10,10,0,Padme 3%: Padme JKA GK Ahsoka GMY
Tenzin,736547728,7,7,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Tenzin,736547728,4,4,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
