Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Ronzool,498413548,42,1,41,Vader+Nute 12%: Vader Nute G8 Thrawn G9 6* Wat Tambor G5 Traya G9
Tenzin,736547728,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Gero Zurn,397437123,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Scrotie McBoogerballs,832986271,44,21,23,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor G12 Traya G9
WWG1WG2PRISON,713375299,34,12,22,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor Traya G8
Dannimadd,183382135,13,13,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
ShadyT,558572552,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Salacious Thumb,444544452,39,15,24,Vader+Nute 12%: Vader Nute G10 Thrawn R2 Wat Tambor R2 Traya G8
Meetra Surik,989184811,27,27,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
MrDusty,754891619,30,8,22,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G9 5* Traya G12
Soko,418929655,26,7,19,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya G11
NuMex,331898292,26,0,26,Vader+Nute 12%: Vader R3 Nute G12 Thrawn G12 Wat Tambor G12 Traya G12
Balakay,621546373,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
ObiJuan Keithnobi,355745111,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
ClîtCommander12345,124661194,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
TheFoggy,433616769,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
polarariel,423666999,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Adonis13,852276575,15,5,10,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor R2 Traya R4
Jason,576549933,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Jason,721779418,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Blak3oakfield,277384321,48,22,26,Vader+Nute 12%: Vader R3 Nute G8 Thrawn G8 Wat Tambor Traya R1
Jivan Mukti,928423758,26,2,24,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor G12 Traya G12
Will Obi1,215141515,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Krumpch,961147939,40,12,28,Vader+Nute 12%: Vader Nute G9 Thrawn G9 Wat Tambor Traya G8
Plagarian,974618589,30,18,12,Vader+Nute 12%: Vader Nute R2 Thrawn Wat Tambor R2 Traya G12
Bsville,424867781,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Delmon Ciiid'r,196981493,39,0,39,Vader+Nute 12%: Vader Nute G8 Thrawn G9 Wat Tambor G5 5* Traya G11
Scarb Fir,872612614,33,33,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
The Great One F2P,816728211,33,8,25,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G12 Traya G9
Thiffy Gorebreg,442479953,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
name,779262258,36,18,18,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor Traya G12
Micahtron,538511948,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Zoltar,739779589,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
TheWildKarrde,522914351,30,30,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Sleazy E,695822276,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
JasonTheAsian,316261256,19,1,18,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya G12
Wilk79,438582744,28,5,23,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G10 6* Traya G10
Nearly Headless Nick,666842776,31,16,15,Vader+Nute 12%: Vader Nute G12 Thrawn R2 Wat Tambor Traya G12
Berzerk Hobo,252285491,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
DarthMaul5,783529757,40,3,37,Vader+Nute 12%: Vader Nute G5 Thrawn G10 Wat Tambor G12 Traya G8
DarthSacaMando,522114916,31,12,19,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor Traya G12
Sixx Shooter,536357128,34,0,34,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G2 5* Traya G7
Droguito,222224934,37,7,30,Vader+Nute 12%: Vader R3 Nute G12 Thrawn G12 Wat Tambor G10 Traya G10
Rikka light side,549878449,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
YungPepr,452134382,37,15,22,Vader P1 10%: Vader R3 KRU G8 5* Wat Tambor R3 C-3PO G12 Shaak Ti R3
Kilum Natta,569741419,48,1,47,Vader+Nute 12%: Vader R3 Nute G10 Thrawn G7 6* Wat Tambor G9 Traya G1
lottatrotta69,974943562,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
HarryTheHutt,683648442,27,4,23,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor Traya G7
Stephman Darksipper,864462482,14,1,13,Vader+Nute 12%: Vader Nute G13 Thrawn G12 Wat Tambor Traya R3
Tim,682839262,38,15,23,Vader+Nute 12%: Vader Nute Thrawn G8 Wat Tambor R3 Traya G7
