Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
ShadyT,558572552,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
ShadyT,558572552,0,0,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
ShadyT,558572552,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
ShadyT,558572552,0,0,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
WWG1WG2PRISON,713375299,59,59,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
WWG1WG2PRISON,713375299,58,58,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Bsville,424867781,59,12,47,Supreme Leader Kylo Ren: KRU R3 Kylo R3 FOST G12 FOE R3 FOO G13 FOTP G13 Phasma G13 Hux G13 FOSFTP G13 Sith Trooper G12 Vet Han G12 EP Finalizer 5*
Bsville,424867781,59,59,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
Bsville,424867781,56,0,56,Jedi Master Luke Skywalker: Old Ben G12 JTR R4 C-3PO R3 Mon Mothma G10 Chewpio G12 JKL R5 R2-D2 G12 Han R5 Chewbacca R3 Rebel Y-wing Leia G12 HYoda R3 Wedge G11 Biggs G12 Lando R3
Bsville,424867781,49,49,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber 6* JKA Thrawn Tarkin Veers Starck
Kilum Natta,569741419,58,58,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
Micahtron,538511948,0,0,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
