Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Droguito,222224934,9,9,0,GAS Special: GAS Ahsoka
Droguito,222224934,2,2,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Droguito,222224934,9,0,9,JKL: JKL G12 HYoda GMY Jolee G11 GK
Droguito,222224934,17,13,4,Shaak Ti: Shaak Ti G12 Rex Echo (501st) ARC Trooper Fives
Jason,576549933,0,0,0,GAS Special: GAS Ahsoka
Jason,576549933,0,0,0,JKL: JKL HYoda GMY Jolee GK
Jason,576549933,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Jason,576549933,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Jason,576549933,8,0,8,ROLO: ROLO Cpt Solo Biggs Baze G8 Lando
MrDusty,754891619,19,19,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
MrDusty,754891619,12,8,4,GAS Special: GAS Ahsoka G12
Jason,721779418,1,1,0,Finn: Finn RT RH Finn RH Poe Rey
Jason,721779418,6,6,0,GAS Special: GAS Ahsoka
Jason,721779418,0,0,0,JKL: JKL HYoda GMY JKR GK
Jason,721779418,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Jason,721779418,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Nearly Headless Nick,666842776,0,0,0,GAS Special: GAS Ahsoka
Nearly Headless Nick,666842776,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Nearly Headless Nick,666842776,0,0,0,JKL: JKL HYoda GMY JKR GK
Nearly Headless Nick,666842776,8,7,1,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper R2 Fives
Krumpch,961147939,0,0,0,JKL: JKL HYoda GMY GK GAS
Krumpch,961147939,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Krumpch,961147939,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 6* Lando
Krumpch,961147939,19,1,18,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G10 Fives G12
Scarb Fir,872612614,0,0,0,GAS Special: GAS Ahsoka
Scarb Fir,872612614,0,0,0,JKL: JKL HYoda GMY JKR GK
Scarb Fir,872612614,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Scarb Fir,872612614,14,14,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Blak3oakfield,277384321,0,0,0,GAS Special: GAS Ahsoka
Ronzool,498413548,8,8,0,GAS Special: GAS Ahsoka
Ronzool,498413548,0,0,0,ROLO: ROLO Cpt Solo Han Chewbacca Lando
