Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Scrotie McBoogerballs,832986271,31,30,1,148993,Padme R4 JKA Ahsoka GK GMY
Plagarian,974618589,18,18,0,145945,Padme JKA Ahsoka GK GMY
Delmon Ciiid'r,196981493,22,0,22,107169,Padme R1 JKA G12 Ahsoka G12 GK GMY G12
Wangchuk Neem,723392997,11,0,11,136992,Padme R2 JKA G12 Ahsoka R3 GK GMY
Berzerk Hobo,252285491,8,0,8,135661,Padme R4 JKA G12 Ahsoka R4 GK GMY
Balakay,621546373,2,0,2,146366,Padme R3 JKA Ahsoka GK GMY
Gero Zurn,397437123,0,0,0,156704,Padme JKA Ahsoka GK GMY
Salacious Thumb,444544452,2,0,2,135452,Padme JKA Ahsoka GK GMY R3
Soko,418929655,31,27,4,127619,Padme JKA R4 Ahsoka R3 GK GMY R4
WWG1WG2PRISON,713375299,9,7,2,143181,Padme JKA R3 Ahsoka GK GMY
Kilum Natta,569741419,16,0,16,114138,Padme R3 JKA G11 Ahsoka G12 GK R4 GMY
TheWildKarrde,522914351,0,0,0,157520,Padme JKA Ahsoka GK GMY
Jason,721779418,40,30,10,139144,Padme G12 JKA R1 Ahsoka GK GMY
Scarb Fir,872612614,4,4,0,144325,Padme JKA Ahsoka GK GMY
Wsummerspring,594122685,0,0,0,156156,Padme JKA Ahsoka GK GMY
ObiJuan Keithnobi,355745111,1,0,1,141026,Padme JKA Ahsoka GK GMY R4
JayJay,994332822,3,0,3,136970,Padme JKA Ahsoka R2 GK GMY
lottatrotta69,974943562,8,0,8,140096,Padme R4 JKA G12 Ahsoka R4 GK GMY
Zoltar,739779589,1,1,0,147677,Padme JKA Ahsoka GK GMY
DarthSacaMando,522114916,8,2,6,139311,Padme R3 JKA R1 Ahsoka GK GMY
Nearly Headless Nick,666842776,0,0,0,156127,Padme JKA Ahsoka GK GMY
Jason,576549933,3,1,2,149129,Padme R4 JKA Ahsoka R4 GK GMY
Wilk79,438582744,37,31,6,136492,Padme JKA Ahsoka GK GMY G12
JasonTheAsian,316261256,5,2,3,138655,Padme R4 JKA Ahsoka R4 GK GMY R4
ClîtCommander12345,124661194,4,4,0,150106,Padme JKA Ahsoka GK GMY
Micahtron,538511948,0,0,0,158530,Padme JKA Ahsoka GK GMY
Adonis13,852276575,5,1,4,135262,Padme JKA Ahsoka R3 GK R3 GMY
YungPepr,452134382,20,5,15,115011,Padme R4 JKA G12 Ahsoka G12 GK GMY R3
Krumpch,961147939,24,18,6,143941,Padme JKA Ahsoka G12 GK GMY
Sixx Shooter,536357128,36,30,6,130202,Padme JKA Ahsoka GK GMY G12
Rezn,283285294,6,3,3,145064,Padme R4 JKA Ahsoka R3 GK GMY
Droguito,222224934,2,0,2,132796,Padme JKA Ahsoka GK GMY R3
name,779262258,14,7,7,144578,Padme R4 JKA G12 Ahsoka GK GMY
Dannimadd,183382135,0,0,0,147959,Padme JKA Ahsoka GK GMY
Tenzin,736547728,13,13,0,148498,Padme JKA Ahsoka GK GMY
Belisarius,362364277,71,40,31,99686,Padme G12 JKA G11 Ahsoka G12 GK G8 GMY R3
Excrothe,966199257,0,0,0,161868,Padme JKA Ahsoka GK GMY
Meetra Surik,989184811,14,14,0,132504,Padme JKA Ahsoka GK GMY
Bsville,424867781,0,0,0,158479,Padme JKA Ahsoka GK GMY
DinoSmash,839958624,32,7,25,106507,Padme G12 JKA G11 Ahsoka R1 GK R3 GMY G12
Tim,682839262,0,0,0,147641,Padme JKA Ahsoka GK GMY
Sleazy E,695822276,9,9,0,144205,Padme JKA Ahsoka GK GMY
Ronzool,498413548,3,2,1,144190,Padme JKA R4 Ahsoka GK GMY
Will Obi1,215141515,11,11,0,147566,Padme JKA Ahsoka GK GMY
MrDusty,754891619,16,1,15,122037,Padme R4 JKA Ahsoka G12 GK GMY G10
Blak3oakfield,277384321,7,6,1,146093,Padme JKA R4 Ahsoka GK GMY
