Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Scrotie McBoogerballs,832986271,58,26,32,99711,Shaak Ti R4 Fives R2 Rex G12 Echo (501st) G8 ARC Trooper G6 5*
Plagarian,974618589,24,24,0,135702,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Delmon Ciiid'r,196981493,36,0,36,89423,Shaak Ti G12 Fives G11 Rex G12 Echo (501st) G9 ARC Trooper G10
Wangchuk Neem,723392997,0,0,0,146593,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Berzerk Hobo,252285491,24,24,0,138723,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Balakay,621546373,0,0,0,144001,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Gero Zurn,397437123,21,1,20,110902,Shaak Ti Fives R4 Rex R4 Echo (501st) R4 ARC Trooper G1 4*
Salacious Thumb,444544452,18,18,0,135006,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Soko,418929655,53,7,46,73940,Shaak Ti G12 Fives G9 Rex G12 Echo (501st) G11 ARC Trooper G0 0*
WWG1WG2PRISON,713375299,10,10,0,139738,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Kilum Natta,569741419,34,32,2,125483,Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper
TheWildKarrde,522914351,1,1,0,140210,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jason,721779418,0,0,0,147306,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Scarb Fir,872612614,21,21,0,141957,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Wsummerspring,594122685,0,0,0,155195,Shaak Ti Fives Rex Echo (501st) ARC Trooper
ObiJuan Keithnobi,355745111,40,24,16,115733,Shaak Ti Fives R2 Rex R2 Echo (501st) R2 ARC Trooper G11 5*
JayJay,994332822,35,0,35,81424,Shaak Ti G12 Fives G11 Rex G11 Echo (501st) G11 ARC Trooper G10
lottatrotta69,974943562,30,26,4,133046,Shaak Ti Fives R4 Rex R4 Echo (501st) R4 ARC Trooper R4
Zoltar,739779589,17,17,0,137835,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DarthSacaMando,522114916,17,5,12,126820,Shaak Ti Fives R3 Rex R3 Echo (501st) R1 ARC Trooper R1
Nearly Headless Nick,666842776,22,19,3,135405,Shaak Ti Fives Rex Echo (501st) ARC Trooper R2
Jason,576549933,2,1,1,137837,Shaak Ti Fives R4 Rex Echo (501st) ARC Trooper
Wilk79,438582744,53,4,49,65640,Shaak Ti G12 Fives G7 Rex G7 Echo (501st) G7 ARC Trooper G8
JasonTheAsian,316261256,10,6,4,130910,Shaak Ti Fives R4 Rex R4 Echo (501st) R4 ARC Trooper R4
ClîtCommander12345,124661194,31,23,8,129264,Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
Micahtron,538511948,0,0,0,156731,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Adonis13,852276575,22,0,22,105229,Shaak Ti R4 Fives R4 Rex R4 Echo (501st) R4 ARC Trooper G0 0*
YungPepr,452134382,42,10,32,88701,Shaak Ti R3 Fives G10 Rex G12 Echo (501st) G10 ARC Trooper G10
Krumpch,961147939,45,19,26,109603,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G10
Sixx Shooter,536357128,54,54,0,134316,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Rezn,283285294,6,6,0,138477,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Droguito,222224934,69,37,32,93118,Shaak Ti G11 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G11
name,779262258,4,1,3,145873,Shaak Ti Fives Rex Echo (501st) ARC Trooper R2
Dannimadd,183382135,0,0,0,138095,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Tenzin,736547728,42,42,0,133344,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Belisarius,362364277,89,24,65,32075,Shaak Ti G1 4* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Excrothe,966199257,13,13,0,137783,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Meetra Surik,989184811,46,46,0,135094,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Bsville,424867781,28,3,25,115045,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G11
DinoSmash,839958624,27,2,25,104346,Shaak Ti R1 Fives G12 Rex R3 Echo (501st) R2 ARC Trooper G8
Tim,682839262,9,0,9,127017,Shaak Ti G9 Fives Rex Echo (501st) ARC Trooper
Sleazy E,695822276,11,11,0,138364,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ronzool,498413548,29,13,16,121538,Shaak Ti Fives R3 Rex R3 Echo (501st) G12 ARC Trooper G12
Will Obi1,215141515,24,24,0,138615,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MrDusty,754891619,47,41,6,126796,Shaak Ti Fives Rex Echo (501st) ARC Trooper G12
Blak3oakfield,277384321,51,23,28,103768,Shaak Ti Fives R3 Rex G12 Echo (501st) R3 ARC Trooper G0 0*
