Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Balakay,621546373,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Balakay,621546373,0,0,0,padme: Padme GK JKA Ahsoka CAT
Balakay,621546373,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Balakay,621546373,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Balakay,621546373,5,0,5,Geonosians Omicron: GBA Sun Fac Geo Soldier R2 Geo Spy Poggle G12
Balakay,621546373,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Balakay,621546373,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Balakay,621546373,1,0,1,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Balakay,621546373,16,0,16,Troopers: Veers Piett Starck Dark Trooper G1 Range Trooper R2
Wilk79,438582744,4,0,4,padme: Padme GK JKA Ahsoka C-3PO G12
Wilk79,438582744,39,0,39,Phasma: Phasma G7 FOTP G11 FOSFTP G7 6* FOST G7 5* Kylo G9
Wilk79,438582744,9,0,9,Grievous Omicron: GG B2 R2 B1 G12 MagnaGuard G12 Droideka
Wilk79,438582744,23,0,23,Geonosians Omicron: GBA G11 Sun Fac G11 Geo Soldier G12 Geo Spy G11 Poggle G12
Wilk79,438582744,21,0,21,Troopers: Veers Piett Starck Dark Trooper G1 2* Range Trooper G10
Wilk79,438582744,29,0,29,CLS: CLS G12 Han G10 Chewbacca G8 Chewpio G10 5* R2-D2 G11
Wilk79,438582744,38,0,38,GAS: GAS G7 6* Rex G9 Echo (501st) G9 Fives G9 ARC Trooper G8
MrDusty,754891619,8,0,8,padme: Padme GK JKA Ahsoka G12 C-3PO G12
MrDusty,754891619,12,0,12,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy Poggle G12
MrDusty,754891619,9,0,9,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper G12
MrDusty,754891619,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
MrDusty,754891619,40,0,40,Phasma: Phasma G8 FOTP G8 FOSFTP G5 FOST G8 Kylo G11
